省份编码,省份,年份,餐饮业法人企业数(个),餐饮业企业从业人数(人),餐饮业企业营业额(亿元),餐饮业企业餐费收入(亿元)
640000,宁夏回族自治区,2014,79,7011,7.6356,6.1249
640000,宁夏回族自治区,2013,90,8081,8.62963,7.06313
640000,宁夏回族自治区,2012,94,10230,11.5,9.5
640000,宁夏回族自治区,2011,98,11059,12.5,9.7
640000,宁夏回族自治区,2010,88,10319,10.3,7.7
640000,宁夏回族自治区,2009,72,8364,8.0,6.1
640000,宁夏回族自治区,2008,75,8828,7.3,5.6
640000,宁夏回族自治区,2007,67,6941,6.0,4.7
640000,宁夏回族自治区,2006,71,7114,4.8,3.8
640000,宁夏回族自治区,2005,59,6431,3.9,3.1
640000,宁夏回族自治区,2004,51,5935,3.3801,2.39321
640000,宁夏回族自治区,2003,33,5894,,
640000,宁夏回族自治区,2002,21,7167,,
640000,宁夏回族自治区,2001,15,3273,,
640000,宁夏回族自治区,2000,12,2910,,
650000,新疆维吾尔自治区,2019,126,9434,21.3521,19.2596
650000,新疆维吾尔自治区,2018,94,9350,17.9,15.5
650000,新疆维吾尔自治区,2017,97,9577,16.7609,14.4371
650000,新疆维吾尔自治区,2016,95,9185,14.8979,12.6584
650000,新疆维吾尔自治区,2015,93,9686,14.5634,12.39
650000,新疆维吾尔自治区,2014,81,8738,12.1902,10.1445
650000,新疆维吾尔自治区,2013,77,8870,12.22021,10.06797
650000,新疆维吾尔自治区,2012,75,9909,14.2,11.9
650000,新疆维吾尔自治区,2011,56,7725,11.1,9.9
650000,新疆维吾尔自治区,2010,53,6420,8.0,7.3
650000,新疆维吾尔自治区,2009,56,6415,7.0,6.3
650000,新疆维吾尔自治区,2008,74,8430,8.9,8.1
650000,新疆维吾尔自治区,2007,66,11392,8.3,7.5
650000,新疆维吾尔自治区,2006,70,8002,7.4,6.8
650000,新疆维吾尔自治区,2005,65,6589,6.3,5.8
650000,新疆维吾尔自治区,2004,65,11731,4.76069,4.41225
650000,新疆维吾尔自治区,2003,35,9786,,
650000,新疆维吾尔自治区,2002,25,9356,,
650000,新疆维吾尔自治区,2001,23,9209,,
650000,新疆维吾尔自治区,2000,24,7216,,
