省份编码,省份,年份,企业法人单位数(个),内资企业法人单位数(个),国有企业法人单位数(个),集体企业法人单位数(个),股份合作企业法人单位数(个),联营企业法人单位数(个),有限责任公司法人单位数(个),股份有限公司法人单位数(个),私营企业法人单位数(个),港、澳、台商投资企业法人单位数(个),外商投资企业单位法人单位数(个)
510000,四川省,2005,,,,,,,,,,,
510000,四川省,2004,,,,,,,,,,,
510000,四川省,2003,,,,,,,,,,,
510000,四川省,2002,,,,,,,,,,,
510000,四川省,2001,,,,,,,,,,,
510000,四川省,2000,,,,,,,,,,,
520000,贵州省,2019,361163,360564,1714,2530,156,115,23422,1500,330745,313,286
520000,贵州省,2018,,,,,,,,,,,
520000,贵州省,2017,342972,342339,3761,2776,963,477,45636,2653,272765,345,288
520000,贵州省,2016,247409,246881,3765,2123,1061,518,42649,2717,181520,271,257
520000,贵州省,2015,199132,198649,3620,1934,1070,515,39514,2563,129120,244,239
520000,贵州省,2014,147403,146972,3407,1879,1042,506,36426,2336,86695,215,216
520000,贵州省,2013,,,,,,,,,,,
520000,贵州省,2012,76025,75609,3729,2250,909,255,19651,1924,43166,193,223
520000,贵州省,2011,60595,60177,3630,2258,886,253,16956,1816,31875,201,217
520000,贵州省,2010,54865,54454,3568,2287,849,232,14877,1632,29059,187,224
520000,贵州省,2009,,,,,,,,,,,
520000,贵州省,2008,,,,,,,,,,,
520000,贵州省,2007,,,,,,,,,,,
520000,贵州省,2006,,,,,,,,,,,
520000,贵州省,2005,,,,,,,,,,,
520000,贵州省,2004,,,,,,,,,,,
520000,贵州省,2003,,,,,,,,,,,
520000,贵州省,2002,,,,,,,,,,,
520000,贵州省,2001,,,,,,,,,,,
520000,贵州省,2000,,,,,,,,,,,
530000,云南省,2019,440778,439382,1941,3154,324,193,35624,4434,392590,542,854
530000,云南省,2018,,,,,,,,,,,
530000,云南省,2017,457374,455346,3738,4827,682,184,27509,2796,405613,791,1237
530000,云南省,2016,343742,342514,4318,3211,1204,503,61141,5227,232256,545,683
530000,云南省,2015,283491,282320,4037,3136,1146,475,55139,4432,175463,507,664
530000,云南省,2014,192072,190959,3093,3027,1064,402,42679,3604,116661,496,617
530000,云南省,2013,,,,,,,,,,,
530000,云南省,2012,150093,149102,3748,3719,1273,307,18527,3373,103651,403,588
530000,云南省,2011,135280,134302,3615,3883,1237,284,15516,3085,95797,402,576
530000,云南省,2010,111062,110144,3361,3796,1154,261,12295,2864,79200,367,551
530000,云南省,2009,,,,,,,,,,,
530000,云南省,2008,,,,,,,,,,,
530000,云南省,2007,,,,,,,,,,,
530000,云南省,2006,,,,,,,,,,,
530000,云南省,2005,,,,,,,,,,,
530000,云南省,2004,,,,,,,,,,,
530000,云南省,2003,,,,,,,,,,,
530000,云南省,2002,,,,,,,,,,,
530000,云南省,2001,,,,,,,,,,,
530000,云南省,2000,,,,,,,,,,,
540000,西藏自治区,2019,28257,28190,407,232,17,57,12529,670,14229,19,48
540000,西藏自治区,2018,,,,,,,,,,,
540000,西藏自治区,2017,9461,9405,698,373,70,101,1533,286,5424,24,32
540000,西藏自治区,2016,9593,9530,698,397,75,103,1428,279,5438,24,39
540000,西藏自治区,2015,9441,9379,678,388,74,103,1378,266,5393,20,42
540000,西藏自治区,2014,9030,8970,657,378,64,102,1276,236,5175,19,41
540000,西藏自治区,2013,,,,,,,,,,,
540000,西藏自治区,2012,3434,3396,595,245,55,45,539,182,1617,5,33
540000,西藏自治区,2011,3265,3227,588,244,54,48,487,175,1554,5,33
540000,西藏自治区,2010,3037,3002,582,244,52,42,442,175,1400,3,32
540000,西藏自治区,2009,,,,,,,,,,,
540000,西藏自治区,2008,,,,,,,,,,,
540000,西藏自治区,2007,,,,,,,,,,,
540000,西藏自治区,2006,,,,,,,,,,,
540000,西藏自治区,2005,,,,,,,,,,,
540000,西藏自治区,2004,,,,,,,,,,,
540000,西藏自治区,2003,,,,,,,,,,,
540000,西藏自治区,2002,,,,,,,,,,,
540000,西藏自治区,2001,,,,,,,,,,,
540000,西藏自治区,2000,,,,,,,,,,,
610000,陕西省,2019,444203,442557,2561,2921,275,161,33950,2709,399705,750,896
610000,陕西省,2018,,,,,,,,,,,
610000,陕西省,2017,333776,332050,5150,5200,1002,482,86844,4202,213363,739,987
610000,陕西省,2016,287034,285826,5320,4677,977,590,100128,4426,145512,417,791
610000,陕西省,2015,255984,254855,5291,4740,895,601,92665,3808,123679,375,754
610000,陕西省,2014,207718,206637,5101,4713,782,605,78454,3653,98157,341,740
610000,陕西省,2013,,,,,,,,,,,
610000,陕西省,2012,176977,175877,5303,5172,1722,400,52125,3287,95997,384,716
610000,陕西省,2011,147432,146387,5136,5251,1695,387,38746,2904,82866,366,679
610000,陕西省,2010,119935,118959,5080,5566,1788,311,25263,2664,71570,341,635
610000,陕西省,2009,,,,,,,,,,,
610000,陕西省,2008,,,,,,,,,,,
610000,陕西省,2007,,,,,,,,,,,
610000,陕西省,2006,,,,,,,,,,,
610000,陕西省,2005,,,,,,,,,,,
610000,陕西省,2004,,,,,,,,,,,
610000,陕西省,2003,,,,,,,,,,,
610000,陕西省,2002,,,,,,,,,,,
610000,陕西省,2001,,,,,,,,,,,
610000,陕西省,2000,,,,,,,,,,,
620000,甘肃省,2019,146197,146021,992,850,114,81,30581,3108,110103,68,108
620000,甘肃省,2018,,,,,,,,,,,
620000,甘肃省,2017,127899,127644,2298,1982,784,210,28299,2732,75902,109,146
620000,甘肃省,2016,125742,125492,2380,2028,814,214,25884,2694,68918,107,143
620000,甘肃省,2015,115557,115307,2389,2049,806,209,23895,2510,59508,102,148
620000,甘肃省,2014,93913,93658,2327,2144,779,207,20759,2396,47044,102,153
620000,甘肃省,2013,,,,,,,,,,,
620000,甘肃省,2012,66817,66535,2575,2640,891,211,11211,1990,41476,116,166
620000,甘肃省,2011,57616,57340,2431,2630,837,217,9041,1865,36227,116,160
620000,甘肃省,2010,52559,52292,2386,2680,823,213,7979,1757,33021,108,159
620000,甘肃省,2009,,,,,,,,,,,
620000,甘肃省,2008,,,,,,,,,,,
620000,甘肃省,2007,,,,,,,,,,,
620000,甘肃省,2006,,,,,,,,,,,
620000,甘肃省,2005,,,,,,,,,,,
620000,甘肃省,2004,,,,,,,,,,,
620000,甘肃省,2003,,,,,,,,,,,
620000,甘肃省,2002,,,,,,,,,,,
620000,甘肃省,2001,,,,,,,,,,,
620000,甘肃省,2000,,,,,,,,,,,
630000,青海省,2019,65128,65000,439,248,66,23,4990,497,58580,52,76
630000,青海省,2018,,,,,,,,,,,
630000,青海省,2017,76169,75889,946,552,165,36,4517,391,67546,90,190
630000,青海省,2016,41210,41049,982,460,206,64,5422,611,26448,73,88
630000,青海省,2015,36105,35951,976,463,191,64,4717,547,22378,66,88
630000,青海省,2014,29731,29586,956,466,167,67,3810,492,18618,62,83
630000,青海省,2013,,,,,,,,,,,
630000,青海省,2012,17567,17432,968,499,201,47,2600,429,11026,57,78
630000,青海省,2011,14977,14855,909,498,189,53,2518,401,9081,54,68
630000,青海省,2010,13225,13102,882,504,195,42,2264,376,8077,57,66
630000,青海省,2009,,,,,,,,,,,
630000,青海省,2008,,,,,,,,,,,
630000,青海省,2007,,,,,,,,,,,
630000,青海省,2006,,,,,,,,,,,
630000,青海省,2005,,,,,,,,,,,
630000,青海省,2004,,,,,,,,,,,
630000,青海省,2003,,,,,,,,,,,
630000,青海省,2002,,,,,,,,,,,
630000,青海省,2001,,,,,,,,,,,
630000,青海省,2000,,,,,,,,,,,
640000,宁夏回族自治区,2019,83411,83242,255,207,27,10,2626,348,79645,69,100
640000,宁夏回族自治区,2018,,,,,,,,,,,
640000,宁夏回族自治区,2017,63463,63277,364,200,77,20,3876,401,56699,79,107
640000,宁夏回族自治区,2016,56781,56617,382,109,164,70,7924,685,42069,65,99
640000,宁夏回族自治区,2015,44519,44375,321,97,144,72,6882,613,31094,53,91
640000,宁夏回族自治区,2014,33919,33777,562,201,104,43,5535,519,22832,44,98
640000,宁夏回族自治区,2013,,,,,,,,,,,
640000,宁夏回族自治区,2012,28802,28668,729,363,148,29,3553,421,21928,46,88
640000,宁夏回族自治区,2011,25476,25338,733,371,140,33,3092,395,19291,41,97
640000,宁夏回族自治区,2010,21446,21322,694,369,116,35,2516,341,16276,34,90
640000,宁夏回族自治区,2009,,,,,,,,,,,
640000,宁夏回族自治区,2008,,,,,,,,,,,
640000,宁夏回族自治区,2007,,,,,,,,,,,
640000,宁夏回族自治区,2006,,,,,,,,,,,
640000,宁夏回族自治区,2005,,,,,,,,,,,
640000,宁夏回族自治区,2004,,,,,,,,,,,
640000,宁夏回族自治区,2003,,,,,,,,,,,
640000,宁夏回族自治区,2002,,,,,,,,,,,
640000,宁夏回族自治区,2001,,,,,,,,,,,
640000,宁夏回族自治区,2000,,,,,,,,,,,
650000,新疆维吾尔自治区,2019,185993,185602,1725,455,77,54,16321,1306,165184,157,234
650000,新疆维吾尔自治区,2018,,,,,,,,,,,
650000,新疆维吾尔自治区,2017,176740,176253,3569,927,411,212,31228,1807,132114,174,313
650000,新疆维吾尔自治区,2016,151379,150918,3568,941,408,226,29381,1653,104979,163,298
650000,新疆维吾尔自治区,2015,129592,129148,3527,939,403,217,25568,1548,87929,155,289
650000,新疆维吾尔自治区,2014,110769,110328,3501,954,407,223,22884,1417,73691,152,289
650000,新疆维吾尔自治区,2013,,,,,,,,,,,
650000,新疆维吾尔自治区,2012,64883,64550,2543,949,176,95,10629,701,47573,134,199
650000,新疆维吾尔自治区,2011,57561,57234,2464,962,160,98,9076,666,42270,134,193
650000,新疆维吾尔自治区,2010,52915,52611,2391,1004,158,98,8157,583,39050,124,180
650000,新疆维吾尔自治区,2009,,,,,,,,,,,
650000,新疆维吾尔自治区,2008,,,,,,,,,,,
650000,新疆维吾尔自治区,2007,,,,,,,,,,,
650000,新疆维吾尔自治区,2006,,,,,,,,,,,
650000,新疆维吾尔自治区,2005,,,,,,,,,,,
650000,新疆维吾尔自治区,2004,,,,,,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,,,,,,
