省份编码,省份,年份,民用机动运输船数(艘),民用机动船净载重量(吨),民用机动船载客量(客位),民用机动船拖船功率(千瓦),民用驳船运输船数(艘),民用驳船净载重量(吨),民用驳船载客量(客位)
520000,贵州省,2000,1696,17563,21372,7062,203,29033,
530000,云南省,2019,1239,172886,30171,896,5,371,10
530000,云南省,2018,1241,168589,31070,896,5,371,10
530000,云南省,2017,1236,156276,28778,756,4,300,
530000,云南省,2016,1092,133035,24381,756,2,187,
530000,云南省,2015,1033,129210,22617,500,2,187,
530000,云南省,2014,1008,124110,21937,500,2,187,
530000,云南省,2013,951,120540,20303,500,1,100,
530000,云南省,2012,920,111444,17482,500,,,
530000,云南省,2011,894,100623,17656,396,2,164,
530000,云南省,2010,880,69080,16704,396,2,164,
530000,云南省,2009,848,65549,16521,396,2,164,30
530000,云南省,2008,843,57346,13439,396,2,164,30
530000,云南省,2007,1088,66017,23796,397,110,952,
530000,云南省,2006,1188,58488,25478,397,,,
530000,云南省,2005,1174,50647,24006,177,,,
530000,云南省,2004,1190,45731,23261,376,2,140,
530000,云南省,2003,1143,29012,22409,1755,21,4827,
530000,云南省,2002,1038,19923,19809,2285,24,5352,
530000,云南省,2001,975,21073,18775,2565,28,6969,
530000,云南省,2000,869,18968,18008,3188,47,10884,
540000,西藏自治区,2019,,,,,,,
540000,西藏自治区,2018,,,,,,,
540000,西藏自治区,2017,,,,,,,
540000,西藏自治区,2016,,,,,,,
540000,西藏自治区,2015,,,,,,,
540000,西藏自治区,2014,,,,,,,
540000,西藏自治区,2013,,,,,,,
540000,西藏自治区,2012,,,,,,,
540000,西藏自治区,2011,,,,,,,
540000,西藏自治区,2010,,,,,,,
540000,西藏自治区,2009,,,,,,,
540000,西藏自治区,2008,,,,,,,
540000,西藏自治区,2007,,,,,,,
540000,西藏自治区,2006,,,,,,,
540000,西藏自治区,2005,,,,,,,
540000,西藏自治区,2004,,,,,,,
540000,西藏自治区,2003,,,,,,,
540000,西藏自治区,2002,,,,,,,
540000,西藏自治区,2001,,,,,,,
540000,西藏自治区,2000,,,,,,,
610000,陕西省,2019,1072,34787,17983,395,198,1252,1110
610000,陕西省,2018,1135,31588,19810,395,198,1252,1110
610000,陕西省,2017,1159,31559,20205,395,196,1251,1084
610000,陕西省,2016,1160,31864,20161,405,199,1267,1126
610000,陕西省,2015,1173,30212,19890,519,267,1489,1126
610000,陕西省,2014,1175,29000,20102,519,267,1474,1114
610000,陕西省,2013,1094,28068,19863,335,251,1466,922
610000,陕西省,2012,1210,27590,19560,282,249,1579,866
610000,陕西省,2011,1236,27734,20034,282,180,540,796
610000,陕西省,2010,1208,26917,17240,282,118,1147,151
610000,陕西省,2009,1143,28751,19277,282,121,1326,147
610000,陕西省,2008,1106,20885,18544,282,100,69,245
610000,陕西省,2007,1011,15693,16949,473,168,480,1929
610000,陕西省,2006,1044,15899,17359,473,397,477,3343
610000,陕西省,2005,980,11312,17043,356,485,1083,4959
610000,陕西省,2004,1181,8065,19815,385,502,1161,4403
610000,陕西省,2003,1235,7721,19048,167,361,1065,3260
610000,陕西省,2002,1238,7710,18519,299,292,862,4321
610000,陕西省,2001,1155,6520,16601,294,293,728,3830
610000,陕西省,2000,938,6670,14187,243,185,1147,1712
620000,甘肃省,2019,489,1650,9403,,,,
620000,甘肃省,2018,476,1603,9153,,,,
620000,甘肃省,2017,414,1254,7020,,,,
620000,甘肃省,2016,449,1484,7563,,,,
620000,甘肃省,2015,449,1484,7563,,,,
620000,甘肃省,2014,454,1616,8075,,,,
620000,甘肃省,2013,434,1494,7675,,,,
620000,甘肃省,2012,503,2678,9885,,45,368,1639
620000,甘肃省,2011,512,2705,9710,,45,368,1639
620000,甘肃省,2010,495,2615,9506,,45,368,1639
620000,甘肃省,2009,502,2650,9388,,45,368,1639
620000,甘肃省,2008,483,1992,9086,118,45,368,1639
620000,甘肃省,2007,437,1782,10207,840,53,421,1628
620000,甘肃省,2006,420,1706,9385,840,53,421,1628
620000,甘肃省,2005,380,2020,8117,,53,421,1628
620000,甘肃省,2004,381,2087,8625,,43,414,1581
620000,甘肃省,2003,348,1938,9423,,42,413,1575
620000,甘肃省,2002,351,1941,9505,,26,179,895
620000,甘肃省,2001,315,1810,9049,,26,179,895
620000,甘肃省,2000,231,1017,6691,,43,127,908
630000,青海省,2019,117,1772,2977,,,,
630000,青海省,2018,117,1772,2977,,,,
630000,青海省,2017,105,1748,2794,,,,
630000,青海省,2016,81,,2646,,,,
630000,青海省,2015,76,,2578,,,,
630000,青海省,2014,72,,2020,,,,
630000,青海省,2013,65,,1943,,,,
630000,青海省,2012,62,,1391,,,,
630000,青海省,2011,35,,810,,,,
630000,青海省,2010,73,,1256,,,,
630000,青海省,2009,67,,948,,,,
630000,青海省,2008,53,,785,,,,
630000,青海省,2007,,,,,,,
630000,青海省,2006,67,,978,,,,
630000,青海省,2005,51,,768,,,,
630000,青海省,2004,61,,1074,,,,
630000,青海省,2003,82,,1405,,,,
630000,青海省,2002,105,,960,,7,720,
630000,青海省,2001,105,,960,1381,7,720,
630000,青海省,2000,,,,,,,
640000,宁夏回族自治区,2019,657,,12541,1014,,,
640000,宁夏回族自治区,2018,648,,12238,1014,,,
640000,宁夏回族自治区,2017,723,,13519,1014,,,
640000,宁夏回族自治区,2016,715,,13399,1014,,,
640000,宁夏回族自治区,2015,710,,11829,1014,,,
640000,宁夏回族自治区,2014,713,,11996,1014,,,
640000,宁夏回族自治区,2013,691,,11001,1014,,,
640000,宁夏回族自治区,2012,693,,4231,528,172,1373,
640000,宁夏回族自治区,2011,543,,3961,528,172,1373,
640000,宁夏回族自治区,2010,568,,3986,528,143,1144,
640000,宁夏回族自治区,2009,568,,3986,528,143,1144,
640000,宁夏回族自治区,2008,398,,5940,528,44,1144,
640000,宁夏回族自治区,2007,410,,7242,920,44,2640,2575
640000,宁夏回族自治区,2006,410,,7242,920,44,2640,2575
640000,宁夏回族自治区,2005,390,,7062,920,44,2640,2575
640000,宁夏回族自治区,2004,278,291,3485,1624,193,1735,5790
640000,宁夏回族自治区,2003,278,291,3485,1624,193,1735,5790
640000,宁夏回族自治区,2002,261,400,3050,889,193,,5790
640000,宁夏回族自治区,2001,196,,4529,1381,14,,1610
640000,宁夏回族自治区,2000,192,,2394,1171,13,390,810
650000,新疆维吾尔自治区,2019,,,,,,,
650000,新疆维吾尔自治区,2018,,,,,,,
650000,新疆维吾尔自治区,2017,,,,,,,
650000,新疆维吾尔自治区,2016,,,,,,,
650000,新疆维吾尔自治区,2015,,,,,,,
650000,新疆维吾尔自治区,2014,,,,,,,
650000,新疆维吾尔自治区,2013,,,,,,,
650000,新疆维吾尔自治区,2012,,,,,,,
650000,新疆维吾尔自治区,2011,,,,,,,
650000,新疆维吾尔自治区,2010,,,,,,,
650000,新疆维吾尔自治区,2009,,,,,,,
650000,新疆维吾尔自治区,2008,,,,,,,
650000,新疆维吾尔自治区,2007,,,,,,,
650000,新疆维吾尔自治区,2006,,,,,,,
650000,新疆维吾尔自治区,2005,,,,,,,
650000,新疆维吾尔自治区,2004,,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,,
