省份编码,省份,年份,人口出生率(‰),人口死亡率(‰),人口自然增长率(‰)
650000,新疆维吾尔自治区,2017,15.88,4.48,11.4
650000,新疆维吾尔自治区,2016,15.34,4.26,11.08
650000,新疆维吾尔自治区,2015,15.59,4.51,11.08
650000,新疆维吾尔自治区,2014,16.44,4.97,11.47
650000,新疆维吾尔自治区,2013,15.84,4.92,10.92
650000,新疆维吾尔自治区,2012,15.32,4.48,10.84
650000,新疆维吾尔自治区,2011,14.99,4.42,10.57
650000,新疆维吾尔自治区,2010,15.99,5.43,10.56
650000,新疆维吾尔自治区,2009,15.99,5.43,10.56
650000,新疆维吾尔自治区,2008,16.05,4.88,11.17
650000,新疆维吾尔自治区,2007,16.79,5.01,11.78
650000,新疆维吾尔自治区,2006,15.79,5.03,10.76
650000,新疆维吾尔自治区,2005,16.42,5.04,11.38
650000,新疆维吾尔自治区,2004,16,5.09,10.91
650000,新疆维吾尔自治区,2003,16.01,5.23,10.78
650000,新疆维吾尔自治区,2002,16.3,5.43,10.87
650000,新疆维吾尔自治区,2001,16.82,5.69,11.13
650000,新疆维吾尔自治区,2000,17.57,5.4,12.17
