省份编码,省份,年份,法人单位数(个),农、林、牧、渔业法人单位数(个),采矿业法人单位数(个),制造业法人单位数(个),电力、燃气及水的生产和供应业法人单位数(个),建筑业法人单位数(个),交通运输、仓储和邮政业法人单位数(个),信息传输、计算机服务和软件业法人单位数(个),批发和零售业法人单位数(个),住宿和餐饮业法人单位数(个),金融业法人单位数(个),房地产业法人单位数(个),租赁和商务服务业法人单位数(个),科学研究、技术服务和地质勘查业法人单位数(个),水利、环境和公共设施管理业法人单位数(个),居民服务和其他服务业法人单位数(个),教育业法人单位数(个),卫生、社会保障和社会福利业法人单位数(个),文化、体育和娱乐业法人单位数(个),公共管理和社会组织法人单位数(个),国际组织业法人单位数(个)
350000,福建省,2005,,,,,,,,,,,,,,,,,,,,,
350000,福建省,2004,,,,,,,,,,,,,,,,,,,,,
350000,福建省,2003,,,,,,,,,,,,,,,,,,,,,
350000,福建省,2002,,,,,,,,,,,,,,,,,,,,,
350000,福建省,2001,,,,,,,,,,,,,,,,,,,,,
350000,福建省,2000,,,,,,,,,,,,,,,,,,,,,
360000,江西省,2019,570196,70862,3006,69191,7415,34744,18704,19117,137446,7384,1670,15933,58559,19027,3608,9237,19511,8166,11180,55436,
360000,江西省,2018,454387,6779,2998,63136,7566,27569,17144,15310,119751,6697,1649,13547,48714,16779,3033,7990,19188,8524,10752,57261,
360000,江西省,2017,573013,69269,4354,79759,7228,32400,17798,18582,134553,7560,3509,14987,59671,15488,4145,10760,16699,10627,9369,56255,
360000,江西省,2016,464652,55064,4166,67565,5248,21165,14501,11354,104265,5988,3238,12404,44630,11727,3416,8882,15676,10410,7479,57474,
360000,江西省,2015,385517,40974,4168,60422,4532,14359,12533,6905,80263,4920,3467,10783,33561,9574,3018,7082,14760,10167,6586,57443,
360000,江西省,2014,326563,31064,4114,53806,4042,10902,10462,4287,63083,4085,3076,9457,24079,8546,2755,5517,14149,10130,6084,56925,
360000,江西省,2013,241367,4108,3635,44179,3758,7110,8097,2506,44458,3291,,7337,15567,6936,2414,3892,13457,9845,5098,55679,
360000,江西省,2012,249278,14632,4144,50775,4063,8698,8396,3182,46982,3404,2300,9260,16335,5479,2164,4751,9436,7351,2899,45027,
360000,江西省,2011,199355,8712,4052,43365,3776,6086,5846,2161,31922,3062,1352,7192,9839,4187,1760,3614,8914,7095,2357,44063,
360000,江西省,2010,184559,6774,4077,40899,3771,4857,4873,1884,25660,3145,1132,6077,7406,3999,1668,3047,9741,7984,2303,45262,
360000,江西省,2009,,,,,,,,,,,,,,,,,,,,,
360000,江西省,2008,,,,,,,,,,,,,,,,,,,,,
360000,江西省,2007,,,,,,,,,,,,,,,,,,,,,
360000,江西省,2006,,,,,,,,,,,,,,,,,,,,,
360000,江西省,2005,,,,,,,,,,,,,,,,,,,,,
360000,江西省,2004,,,,,,,,,,,,,,,,,,,,,
360000,江西省,2003,,,,,,,,,,,,,,,,,,,,,
360000,江西省,2002,,,,,,,,,,,,,,,,,,,,,
360000,江西省,2001,,,,,,,,,,,,,,,,,,,,,
360000,江西省,2000,,,,,,,,,,,,,,,,,,,,,
370000,山东省,2019,2309367,125306,2558,354725,6939,185133,66140,81022,728784,34177,8141,62011,232002,119160,14663,39141,52077,20243,43350,133795,
370000,山东省,2018,1801301,24243,2358,310428,6280,124512,52848,58722,598403,28234,5783,51380,171491,93529,10758,33873,43057,18784,37583,129035,
370000,山东省,2017,2015001,140418,3780,342582,8468,118990,52752,53407,661406,29390,12053,49233,177737,96850,9900,37021,35311,21775,27862,136066,
370000,山东省,2016,1652065,106857,3776,284344,6094,84503,42742,39025,543508,23469,10033,40442,141897,78175,8272,30633,31676,21068,21732,133819,
370000,山东省,2015,1269898,69181,3726,235765,3734,58283,33779,25610,403965,17774,6952,32596,101010,59213,6534,22923,25908,18964,15590,128391,
370000,山东省,2014,1042834,48678,3759,208334,2947,44962,27638,16620,310631,14296,5514,28633,74033,48629,5898,16531,24931,18638,13593,128569,
370000,山东省,2013,823846,12933,3733,183231,2399,29959,21632,10079,236206,12168,,21817,49917,40568,5025,11901,24364,18572,11541,127801,
370000,山东省,2012,906064,29760,5183,228076,2528,40418,21757,18621,252083,16993,6168,24972,53847,17830,4213,17604,21213,15981,6234,122583,
370000,山东省,2011,832499,21777,5210,220014,2326,36047,19284,16417,219046,16409,4859,22808,46418,15966,3876,15525,20908,15893,5263,124453,
370000,山东省,2010,773550,16083,5154,212151,2151,32419,17174,15138,194517,16745,3901,20209,39873,14485,3683,13944,20774,15810,4992,124347,
370000,山东省,2009,,,,,,,,,,,,,,,,,,,,,
370000,山东省,2008,,,,,,,,,,,,,,,,,,,,,
370000,山东省,2007,,,,,,,,,,,,,,,,,,,,,
370000,山东省,2006,,,,,,,,,,,,,,,,,,,,,
370000,山东省,2005,,,,,,,,,,,,,,,,,,,,,
370000,山东省,2004,,,,,,,,,,,,,,,,,,,,,
370000,山东省,2003,,,,,,,,,,,,,,,,,,,,,
370000,山东省,2002,,,,,,,,,,,,,,,,,,,,,
370000,山东省,2001,,,,,,,,,,,,,,,,,,,,,
370000,山东省,2000,,,,,,,,,,,,,,,,,,,,,
410000,河南省,2019,1418818,156664,3314,140757,4965,83586,26723,56383,415436,21297,2723,47074,129595,77074,11120,24305,60178,20560,33538,103526,
410000,河南省,2018,1279238,35426,3588,138461,4971,78034,26433,56112,408979,21284,3001,46303,126282,75709,9631,25048,60451,20369,34229,104927,
410000,河南省,2017,964944,90759,4746,124077,3753,42315,18979,25564,257404,15029,4921,31673,71012,47284,7865,15432,46326,36494,18163,103148,
410000,河南省,2016,816779,58830,4761,110992,2778,32006,16364,18203,206121,12911,4891,27501,57916,39894,7072,13368,45623,36862,15552,105134,
410000,河南省,2015,763210,57527,6487,127691,2892,22488,14402,11964,172392,14547,4159,22377,45465,36961,6094,11089,44940,38881,17609,105245,
410000,河南省,2014,623772,45427,6353,116185,2402,15510,11185,6306,118451,12223,3226,17160,29737,27150,4614,8029,42309,37933,15757,103815,
410000,河南省,2013,510502,10713,5741,100313,2181,12844,9392,4809,99916,11136,,14387,22923,24110,4033,6898,40079,34020,13048,93959,
410000,河南省,2012,425276,15825,7882,119630,1627,13132,6302,6434,67285,8671,2033,11360,16271,7005,2592,4790,23071,25235,4574,81557,
410000,河南省,2011,410810,15105,7933,117274,1599,12272,6060,5462,62431,8381,1972,10479,14815,6533,2496,4543,22915,25218,3856,81466,
410000,河南省,2010,400721,14315,7952,115632,1556,11522,5785,5266,58769,8240,1694,9330,13289,6207,2406,4445,22900,26174,3750,81489,
410000,河南省,2009,,,,,,,,,,,,,,,,,,,,,
410000,河南省,2008,,,,,,,,,,,,,,,,,,,,,
410000,河南省,2007,,,,,,,,,,,,,,,,,,,,,
410000,河南省,2006,,,,,,,,,,,,,,,,,,,,,
410000,河南省,2005,,,,,,,,,,,,,,,,,,,,,
410000,河南省,2004,,,,,,,,,,,,,,,,,,,,,
410000,河南省,2003,,,,,,,,,,,,,,,,,,,,,
410000,河南省,2002,,,,,,,,,,,,,,,,,,,,,
410000,河南省,2001,,,,,,,,,,,,,,,,,,,,,
410000,河南省,2000,,,,,,,,,,,,,,,,,,,,,
420000,湖北省,2019,1006945,72337,2711,100948,5593,74766,25439,50017,276174,18322,2804,34986,113372,62116,9743,20763,27838,12768,24354,71894,
420000,湖北省,2018,853168,13944,2579,92277,5520,57256,22591,39431,257986,17622,2875,31427,93706,56306,8162,20009,25978,12539,23539,69421,
420000,湖北省,2017,943502,98049,4771,100481,5910,60677,25551,40205,248575,17027,4944,31630,109524,43452,7940,19963,23317,13545,16360,71581,
420000,湖北省,2016,783356,75829,4614,88664,4822,44807,21776,25832,207587,14747,4750,26387,85194,34873,6823,18537,21728,12794,13358,70234,
420000,湖北省,2015,678384,57476,4740,83366,3968,31367,18409,19146,183287,13308,4114,22570,68232,30688,6110,15665,20637,12415,12279,70607,
420000,湖北省,2014,567795,44612,4757,76294,3553,23631,14207,10810,151599,12083,3192,19929,44965,24724,5573,13000,19842,12353,11787,70884,
420000,湖北省,2013,424368,7819,3749,60233,2969,16439,10062,7728,119635,10214,,15705,30386,20212,4821,9419,17774,11427,10128,65648,
420000,湖北省,2012,435964,15682,5384,71998,3167,21804,11904,9085,106428,8594,3238,17674,31783,15165,4644,9659,17743,11243,5913,64856,
420000,湖北省,2011,382113,10342,5222,66246,2890,18251,9176,7334,91518,7701,2410,15300,24208,13027,4117,8639,16753,11107,4806,63066,
420000,湖北省,2010,345826,7392,5026,61239,2541,15824,7489,7071,80274,7576,1457,12569,20117,11958,3794,7963,16426,10984,4486,61640,
420000,湖北省,2009,,,,,,,,,,,,,,,,,,,,,
420000,湖北省,2008,,,,,,,,,,,,,,,,,,,,,
420000,湖北省,2007,,,,,,,,,,,,,,,,,,,,,
420000,湖北省,2006,,,,,,,,,,,,,,,,,,,,,
420000,湖北省,2005,,,,,,,,,,,,,,,,,,,,,
420000,湖北省,2004,,,,,,,,,,,,,,,,,,,,,
420000,湖北省,2003,,,,,,,,,,,,,,,,,,,,,
420000,湖北省,2002,,,,,,,,,,,,,,,,,,,,,
420000,湖北省,2001,,,,,,,,,,,,,,,,,,,,,
420000,湖北省,2000,,,,,,,,,,,,,,,,,,,,,
430000,湖南省,2019,672298,77090,3575,63104,6798,30989,13531,24214,150912,11407,1928,21082,64185,45174,6644,12702,31653,11804,23584,71922,
430000,湖南省,2018,622764,20486,3779,62538,6800,30795,13686,24880,154878,11646,2011,20714,65296,45379,6462,13286,31778,11858,24155,72337,
430000,湖南省,2017,685025,76768,7413,75769,7490,28509,13482,22548,161068,12954,3570,19686,62762,28849,6036,14930,23726,16501,19582,83382,
430000,湖南省,2016,552659,45660,7077,68334,5901,18051,10394,14495,126236,11439,3431,15675,44047,21059,4901,12840,22782,16435,16344,87558,
430000,湖南省,2015,467954,35753,6836,62180,5419,12226,7907,8401,97477,9786,2996,13880,30928,16851,4441,10065,21891,16082,14899,89936,
430000,湖南省,2014,424939,22396,7154,61075,5506,8831,6605,5984,90441,9435,2304,12376,24417,13860,3965,7789,21751,16014,14328,90708,
430000,湖南省,2013,403026,7023,7122,59905,5339,8232,6398,5672,91397,9228,,11361,24175,13489,3866,7827,21741,16035,14474,89742,
430000,湖南省,2012,343869,14280,7685,62901,5255,8132,4965,10525,63606,7023,1989,10734,15525,9677,3227,5675,14873,8263,4998,84536,
430000,湖南省,2011,314853,9819,7947,60303,4996,7570,4703,8872,50020,7277,1511,9699,13344,8151,3012,5450,14847,8291,4346,84695,
430000,湖南省,2010,297153,7708,8151,60339,4834,6935,4317,8381,40943,7331,1223,8182,11022,7042,2896,5317,14810,8274,4199,85249,
430000,湖南省,2009,,,,,,,,,,,,,,,,,,,,,
430000,湖南省,2008,,,,,,,,,,,,,,,,,,,,,
430000,湖南省,2007,,,,,,,,,,,,,,,,,,,,,
430000,湖南省,2006,,,,,,,,,,,,,,,,,,,,,
430000,湖南省,2005,,,,,,,,,,,,,,,,,,,,,
430000,湖南省,2004,,,,,,,,,,,,,,,,,,,,,
430000,湖南省,2003,,,,,,,,,,,,,,,,,,,,,
430000,湖南省,2002,,,,,,,,,,,,,,,,,,,,,
430000,湖南省,2001,,,,,,,,,,,,,,,,,,,,,
430000,湖南省,2000,,,,,,,,,,,,,,,,,,,,,
440000,广东省,2019,3349156,45448,2643,613236,10171,126537,77590,172828,1043904,55598,29733,124439,535456,199286,12416,65169,72214,18401,63415,80672,
440000,广东省,2018,3126550,7173,2401,572121,9714,116949,72787,165633,966082,52913,30364,117254,514187,194574,11067,62395,71352,17810,61695,80079,
440000,广东省,2017,1955087,47531,4116,490284,11150,63397,49662,63781,607193,32729,12751,70369,221659,75646,8941,32250,45292,12472,25782,80082,
440000,广东省,2016,1521420,41000,4003,389552,10423,43877,38161,44114,434221,27458,10272,58807,180052,51475,7746,25957,42108,11746,20781,79667,
440000,广东省,2015,1397022,37250,3979,365811,10013,36124,35068,38168,391401,24390,9547,54716,165240,46376,7237,23892,40628,11399,18220,77563,
440000,广东省,2014,1295271,32259,3731,351166,9906,31623,32194,32964,354617,22232,7226,51159,152560,42616,6789,21772,39650,11075,16988,74744,
440000,广东省,2013,1070306,8613,2794,300938,8431,23939,26662,27126,291131,18606,,41719,131863,35982,5549,17589,36113,10362,14695,68194,
440000,广东省,2012,1008447,15611,3235,287010,8522,26249,25569,25038,285282,18283,4759,46107,96324,30938,5406,18981,32611,9397,9290,59835,
440000,广东省,2011,908008,12030,2975,265396,8295,23165,22784,21644,248484,16672,3984,42356,84173,26966,4967,17530,31500,9139,7762,58186,
440000,广东省,2010,802824,9650,2749,240121,7978,20172,20038,18622,205711,16105,3207,37573,72830,23373,4649,15975,30779,8949,7010,57333,
440000,广东省,2009,,,,,,,,,,,,,,,,,,,,,
440000,广东省,2008,,,,,,,,,,,,,,,,,,,,,
440000,广东省,2007,,,,,,,,,,,,,,,,,,,,,
440000,广东省,2006,,,,,,,,,,,,,,,,,,,,,
440000,广东省,2005,,,,,,,,,,,,,,,,,,,,,
440000,广东省,2004,,,,,,,,,,,,,,,,,,,,,
440000,广东省,2003,,,,,,,,,,,,,,,,,,,,,
440000,广东省,2002,,,,,,,,,,,,,,,,,,,,,
440000,广东省,2001,,,,,,,,,,,,,,,,,,,,,
440000,广东省,2000,,,,,,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2019,641503,83239,3257,44771,3399,29992,15801,23516,165974,10205,2781,26062,81127,32566,6432,13569,28171,6148,12679,51814,
450000,广西壮族自治区,2018,490277,6683,2672,37551,3290,23669,13253,18658,142714,8451,2387,21498,68961,28686,4524,11192,26800,5822,11599,51867,
450000,广西壮族自治区,2017,539342,85439,3854,38027,3328,20038,12514,13404,153421,7266,2703,18677,56993,21935,4344,8590,23151,5059,9168,51431,
450000,广西壮族自治区,2016,474480,76497,3686,34750,3055,15299,10650,9612,131838,6264,2509,16006,46247,18547,3887,7572,22010,5021,8818,52212,
450000,广西壮族自治区,2015,402587,61108,3443,31491,2885,10729,8512,6486,106962,5172,2972,13475,35285,15433,3496,6487,21541,6059,7962,53089,
450000,广西壮族自治区,2014,334563,49601,3386,28087,2750,7515,6647,3851,84623,4103,2321,11513,25498,12613,3129,4709,20043,5745,7302,51127,
450000,广西壮族自治区,2013,236831,3420,2988,24216,2587,4730,5092,2546,64262,3472,,8447,18610,10361,2762,3541,18301,5387,6665,49444,
450000,广西壮族自治区,2012,274666,23041,3656,27725,2771,5713,6107,6952,67375,3466,1643,11034,22108,9959,2748,4093,17788,6644,3489,48354,
450000,广西壮族自治区,2011,238512,10310,3396,27108,2700,5047,5459,6508,54824,3177,1649,10235,18798,9020,2571,3417,17497,6573,3180,47043,
450000,广西壮族自治区,2010,204970,4486,3079,24381,2628,3950,4634,5997,42383,2764,1249,9014,15392,8397,2376,2666,17126,6445,3005,44998,
450000,广西壮族自治区,2009,,,,,,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2008,,,,,,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2007,,,,,,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2006,,,,,,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2005,,,,,,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2004,,,,,,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2003,,,,,,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2002,,,,,,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2001,,,,,,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,,,,,,,,,,,,,,
460000,海南省,2019,125542,12295,182,3949,460,11196,2560,6401,25360,3260,657,12254,18049,6085,1163,3713,5306,1296,3807,7549,
460000,海南省,2018,100096,885,172,3719,418,9553,2254,5804,22146,2691,588,10393,14719,5537,876,3084,5239,1298,3140,7580,
460000,海南省,2017,100398,12992,414,4279,514,7961,2070,2957,21265,2536,695,9511,12811,3471,854,1930,4158,1372,2426,8182,
460000,海南省,2016,84923,11876,360,3833,438,5995,1777,1985,18000,2139,651,7578,9831,2771,662,1609,3819,1255,2027,8317,
460000,海南省,2015,76095,11045,350,3450,422,5151,1631,1541,15881,1908,562,6642,8321,2342,568,1381,3653,1194,1798,8255,
460000,海南省,2014,63619,9897,341,3148,390,3969,1355,976,12427,1655,502,5526,5819,1835,475,1073,3435,1141,1605,8050,
460000,海南省,2013,45679,784,240,2661,345,3174,1127,855,10880,1362,,4165,4543,1525,384,847,3110,1054,1343,7280,
460000,海南省,2012,49117,2964,264,2991,327,3729,1059,1319,10842,1457,347,5586,5357,1478,387,892,2358,812,832,6116,
460000,海南省,2011,42715,2115,258,2826,314,3079,879,1083,9096,1354,275,4956,4340,1284,351,756,2156,782,712,6099,
460000,海南省,2010,37648,1588,254,2684,295,2505,772,913,7622,1371,245,4022,3636,1178,311,645,2139,770,662,6036,
460000,海南省,2009,,,,,,,,,,,,,,,,,,,,,
460000,海南省,2008,,,,,,,,,,,,,,,,,,,,,
460000,海南省,2007,,,,,,,,,,,,,,,,,,,,,
460000,海南省,2006,,,,,,,,,,,,,,,,,,,,,
460000,海南省,2005,,,,,,,,,,,,,,,,,,,,,
460000,海南省,2004,,,,,,,,,,,,,,,,,,,,,
460000,海南省,2003,,,,,,,,,,,,,,,,,,,,,
460000,海南省,2002,,,,,,,,,,,,,,,,,,,,,
460000,海南省,2001,,,,,,,,,,,,,,,,,,,,,
460000,海南省,2000,,,,,,,,,,,,,,,,,,,,,
500000,重庆市,2019,591369,78687,1292,53772,2231,21728,12578,23871,174491,24797,1906,17884,64823,21783,4142,16836,17374,6750,16681,29743,
500000,重庆市,2018,512470,3590,1428,55196,2291,19330,11711,22734,176115,26373,1818,16578,64049,21164,3162,17501,16561,6476,16975,29418,
500000,重庆市,2017,598575,111669,2655,64767,2616,17869,11134,19167,166014,29331,2976,15666,54829,15457,3728,16103,14573,6915,13588,29518,
500000,重庆市,2016,533104,99522,2734,60358,2424,15054,9316,15673,148631,26385,3565,13609,44328,12658,3058,15427,13339,6395,11155,29473,
500000,重庆市,2015,454877,80942,2654,55432,2294,12375,7840,11706,125316,21802,3478,12134,36399,10497,2552,12848,11938,5972,9173,29525,
500000,重庆市,2014,378003,59258,2557,50578,2161,10247,6615,8239,104519,16608,3242,10814,29351,8777,2181,10199,10854,5744,6896,29163,
500000,重庆市,2013,254834,2982,2206,42594,1929,7119,5035,5775,80603,12436,,8709,20506,6947,1710,7613,10133,5337,5682,27518,
500000,重庆市,2012,274165,35984,3085,42225,2061,8959,5431,6721,70126,10019,1525,9341,21127,5409,1868,6844,8815,6409,3156,25060,
500000,重庆市,2011,223752,23935,3035,37103,2003,7936,5046,5215,53381,7222,1250,8470,16729,4486,1676,5101,8035,5933,2394,24802,
500000,重庆市,2010,177894,13097,3101,31729,1968,6949,4527,4051,37348,4795,1169,7133,12963,4026,1504,3408,7761,5897,2128,24340,
500000,重庆市,2009,,,,,,,,,,,,,,,,,,,,,
500000,重庆市,2008,,,,,,,,,,,,,,,,,,,,,
500000,重庆市,2007,,,,,,,,,,,,,,,,,,,,,
500000,重庆市,2006,,,,,,,,,,,,,,,,,,,,,
500000,重庆市,2005,,,,,,,,,,,,,,,,,,,,,
500000,重庆市,2004,,,,,,,,,,,,,,,,,,,,,
500000,重庆市,2003,,,,,,,,,,,,,,,,,,,,,
500000,重庆市,2002,,,,,,,,,,,,,,,,,,,,,
500000,重庆市,2001,,,,,,,,,,,,,,,,,,,,,
500000,重庆市,2000,,,,,,,,,,,,,,,,,,,,,
510000,四川省,2019,867477,93884,3474,67442,5869,51219,19283,32672,192114,17323,3361,26831,95519,43156,6492,19588,34768,16899,25914,111669,
510000,四川省,2018,761937,6090,3411,65249,5982,46075,18551,31631,187084,16832,3394,25144,92162,42513,6044,19026,34127,16751,26469,115402,
510000,四川省,2017,629919,78902,4893,62199,6233,25065,13760,16198,116118,13068,3550,17947,52470,25808,5200,11354,28633,17699,17780,113042,
510000,四川省,2016,542897,53836,4921,60213,6181,17023,12020,11309,93544,11368,3600,15896,40743,22179,4605,9165,27020,18697,17190,113387,
510000,四川省,2015,490038,40698,4959,57055,6135,13673,10788,7850,80348,10241,3338,14505,33398,19315,4290,7714,26097,18357,15893,115384,
510000,四川省,2014,462084,32780,5445,57888,6248,12056,9609,6047,71240,9310,3195,13620,30079,17782,4091,6620,25604,18868,15232,116370,
510000,四川省,2013,373424,4505,4660,48284,5701,9808,7846,5120,56653,7794,,10927,25165,15817,3537,5285,23458,17582,12806,108476,
510000,四川省,2012,403208,21429,5724,56827,5863,10965,8394,12209,63642,8006,2585,12171,24629,11851,3510,5066,21254,14881,6505,107697,
510000,四川省,2011,366196,14322,5806,54709,5675,9987,7209,9386,56426,7217,1979,11056,18749,11302,3193,4327,19961,14169,4576,106147,
510000,四川省,2010,353042,11580,5698,53436,5587,9474,6821,9162,51501,6726,1842,10329,17363,11184,3239,4091,19749,14227,4394,106639,
510000,四川省,2009,,,,,,,,,,,,,,,,,,,,,
510000,四川省,2008,,,,,,,,,,,,,,,,,,,,,
510000,四川省,2007,,,,,,,,,,,,,,,,,,,,,
510000,四川省,2006,,,,,,,,,,,,,,,,,,,,,
510000,四川省,2005,,,,,,,,,,,,,,,,,,,,,
510000,四川省,2004,,,,,,,,,,,,,,,,,,,,,
510000,四川省,2003,,,,,,,,,,,,,,,,,,,,,
510000,四川省,2002,,,,,,,,,,,,,,,,,,,,,
510000,四川省,2001,,,,,,,,,,,,,,,,,,,,,
510000,四川省,2000,,,,,,,,,,,,,,,,,,,,,
520000,贵州省,2019,471151,103737,4280,47820,2181,23307,8270,9345,97150,17206,1501,12923,39758,11837,3613,14726,16440,5621,9162,42274,
520000,贵州省,2018,348149,1503,4326,46302,2089,19521,7709,8179,91682,17053,1509,11596,35243,11100,3373,13950,15828,5569,9258,42359,
520000,贵州省,2017,447650,100143,8003,50398,2610,19090,7698,8080,94259,16341,2535,11711,34597,9234,3123,12186,13557,5522,8782,39781,
520000,贵州省,2016,339564,71134,7636,40573,2386,12268,5619,4851,65613,11495,2417,9930,23830,6650,2311,9197,12807,5225,5829,39793,
520000,贵州省,2015,265382,46519,7361,33898,2125,7913,4392,3042,47828,8149,2163,8751,17043,5710,1904,6403,12180,4955,4616,40430,
520000,贵州省,2014,209860,32131,6917,26912,1877,4969,3300,1907,36267,5043,1761,7367,12131,4756,1510,4451,11290,4537,3476,39258,
520000,贵州省,2013,146514,1084,5575,21692,1606,3617,2648,1410,28382,4060,,5550,9129,3919,1224,3418,9880,3998,2853,36469,
520000,贵州省,2012,133415,10244,5630,14905,1403,2845,1946,2425,19843,2144,1062,5658,6576,3368,1258,2072,9821,4159,1765,36291,
520000,贵州省,2011,116423,4422,5269,11444,1307,2437,1740,2136,17073,1664,894,5126,5622,3194,1167,1770,9650,4049,1515,35944,
520000,贵州省,2010,110274,3365,4926,10490,1254,2144,1586,2051,15592,1542,759,4614,5001,3213,1119,1623,9592,3988,1480,35935,
520000,贵州省,2009,,,,,,,,,,,,,,,,,,,,,
520000,贵州省,2008,,,,,,,,,,,,,,,,,,,,,
520000,贵州省,2007,,,,,,,,,,,,,,,,,,,,,
520000,贵州省,2006,,,,,,,,,,,,,,,,,,,,,
520000,贵州省,2005,,,,,,,,,,,,,,,,,,,,,
520000,贵州省,2004,,,,,,,,,,,,,,,,,,,,,
520000,贵州省,2003,,,,,,,,,,,,,,,,,,,,,
520000,贵州省,2002,,,,,,,,,,,,,,,,,,,,,
520000,贵州省,2001,,,,,,,,,,,,,,,,,,,,,
520000,贵州省,2000,,,,,,,,,,,,,,,,,,,,,
530000,云南省,2019,571421,91192,5413,36016,3006,33365,12164,16934,151415,14549,2841,17669,53986,23728,4831,14557,16398,6005,14523,52829,
530000,云南省,2018,453286,5227,5434,34606,2975,28058,10675,15285,141696,14348,2948,14998,48736,21870,4061,13888,15492,5887,14315,52787,
530000,云南省,2017,579001,109423,7568,32978,3521,26555,11046,17568,166569,14873,4385,14489,54745,18964,4194,14686,12641,5956,12425,46415,
530000,云南省,2016,451891,78056,7080,26905,3206,18936,8685,11683,127986,11186,4080,12215,39115,14057,3220,12280,11604,5713,9216,46668,
530000,云南省,2015,372760,59970,6690,23311,2882,14632,6720,9055,99551,8134,3516,10950,31253,12532,2965,9186,10956,5575,7768,47114,
530000,云南省,2014,279007,36078,6492,20034,2561,11047,5210,5318,66547,4915,3022,9591,21345,9847,2655,5289,10521,5376,6212,46947,
530000,云南省,2013,190607,4541,5739,17148,2291,7760,4006,3433,41751,3572,,7488,14332,7507,2347,3122,9890,5171,5432,45077,
530000,云南省,2012,214490,19175,5801,17663,2351,8603,4201,5021,54080,3498,2607,9013,14924,6656,2210,3381,8203,4517,3393,39193,
530000,云南省,2011,197322,14416,5645,17252,2224,8042,3859,4320,48812,3324,2112,8421,13450,6209,2102,2882,7962,4435,2809,39046,
530000,云南省,2010,170893,10133,5282,16215,2085,6395,3178,3719,39075,3044,1541,6826,10324,5710,1926,2407,7618,4332,2561,38522,
530000,云南省,2009,,,,,,,,,,,,,,,,,,,,,
530000,云南省,2008,,,,,,,,,,,,,,,,,,,,,
530000,云南省,2007,,,,,,,,,,,,,,,,,,,,,
530000,云南省,2006,,,,,,,,,,,,,,,,,,,,,
530000,云南省,2005,,,,,,,,,,,,,,,,,,,,,
530000,云南省,2004,,,,,,,,,,,,,,,,,,,,,
530000,云南省,2003,,,,,,,,,,,,,,,,,,,,,
530000,云南省,2002,,,,,,,,,,,,,,,,,,,,,
530000,云南省,2001,,,,,,,,,,,,,,,,,,,,,
530000,云南省,2000,,,,,,,,,,,,,,,,,,,,,
540000,西藏自治区,2019,49191,2830,307,3761,284,7856,676,1060,7132,1130,321,637,5558,1423,203,669,1035,573,984,12752,
540000,西藏自治区,2018,47215,319,314,3758,261,7938,684,1097,7292,1139,336,627,5692,1461,205,673,1038,575,1013,12793,
540000,西藏自治区,2017,26600,643,251,1305,208,2287,351,174,2373,579,107,251,1154,538,88,205,1012,463,513,14098,
540000,西藏自治区,2016,26660,627,237,1221,170,2214,341,181,2488,609,109,234,1161,540,84,214,1041,468,515,14206,
540000,西藏自治区,2015,26512,617,230,1178,164,2201,335,175,2471,602,106,229,1160,539,82,210,1042,457,512,14202,
540000,西藏自治区,2014,26143,615,230,1148,150,2193,337,172,2253,537,107,214,1158,540,81,210,1042,467,485,14204,
540000,西藏自治区,2013,21162,44,160,981,119,2067,254,144,1913,461,,158,1004,445,72,125,791,318,363,11743,
540000,西藏自治区,2012,16664,42,129,394,95,451,188,162,1085,326,117,108,292,187,43,110,1046,505,173,11211,
540000,西藏自治区,2011,16474,35,126,375,94,416,182,159,1027,307,116,103,280,182,41,112,1045,504,172,11198,
540000,西藏自治区,2010,16218,26,119,355,94,380,175,158,923,303,115,102,251,169,40,108,1040,504,169,11187,
540000,西藏自治区,2009,,,,,,,,,,,,,,,,,,,,,
540000,西藏自治区,2008,,,,,,,,,,,,,,,,,,,,,
540000,西藏自治区,2007,,,,,,,,,,,,,,,,,,,,,
540000,西藏自治区,2006,,,,,,,,,,,,,,,,,,,,,
540000,西藏自治区,2005,,,,,,,,,,,,,,,,,,,,,
540000,西藏自治区,2004,,,,,,,,,,,,,,,,,,,,,
540000,西藏自治区,2003,,,,,,,,,,,,,,,,,,,,,
540000,西藏自治区,2002,,,,,,,,,,,,,,,,,,,,,
540000,西藏自治区,2001,,,,,,,,,,,,,,,,,,,,,
540000,西藏自治区,2000,,,,,,,,,,,,,,,,,,,,,
610000,陕西省,2019,587005,54499,4414,42745,3287,59942,13360,20883,149543,11363,2369,20600,57780,28029,5864,13689,20272,11412,13420,53534,
610000,陕西省,2018,532220,6065,4418,41926,3229,57251,13403,20798,147183,11321,2399,19993,57625,28134,5486,13423,20247,11463,13799,54057,
