省份编码,省份,年份,社会组织单位数(个),社会团体单位数(个),基金会单位数(个),民办非企业单位单位数(个),社会组织职工人数(人),社会组织女性职工人数(人),社会团体职工人数(人),基金会职工人数(人),民办非企业单位职工人数(人),社会组织增加值(亿元)
520000,贵州省,2017,12700,7127,53,5520,,,,,,
520000,贵州省,2016,11848,6785,51,5012,,,,,,
520000,贵州省,2015,10533,6236,46,4251,182063,47691,134592,209,47262,
520000,贵州省,2014,9424,5624,40,3760,173845,43795,131701,203,41941,
520000,贵州省,2013,8295,5141,32,3122,148577,34909,111874,203,36500,
520000,贵州省,2012,7460,4927,29,2504,134210,30545,105410,203,28597,4.57
520000,贵州省,2011,7153,4851,26,2276,129418,23001,104834,63,24521,6.35
520000,贵州省,2010,6600,4627,15,1958,122830,24828,100630,62,22138,3.43265
520000,贵州省,2009,6429,4581,14,1834,81172,21465,61567,77,19528,4.15821
520000,贵州省,2008,6130,4512,9,1609,83469,22829,65918,45,17506,13.05521
520000,贵州省,2007,,,,,,,,,,
520000,贵州省,2006,,,,,,,,,,
520000,贵州省,2005,,,,,,,,,,
520000,贵州省,2004,,,,,,,,,,
520000,贵州省,2003,,,,,,,,,,
520000,贵州省,2002,,,,,,,,,,
520000,贵州省,2001,,,,,,,,,,
520000,贵州省,2000,,,,,,,,,,
530000,云南省,2019,23640,14333,117,9190,,,,,,
530000,云南省,2018,23723,14647,116,8960,,,,,,
530000,云南省,2017,23184,14679,112,8393,,,,,,
530000,云南省,2016,22552,14973,98,7481,,,,,,
530000,云南省,2015,21128,14115,93,6920,447877,161007,378745,262,68870,
530000,云南省,2014,19207,12987,75,6145,448907,161589,386579,209,62119,
530000,云南省,2013,16954,11595,62,5297,379387,131954,322333,192,56862,
530000,云南省,2012,15295,10701,48,4546,309885,91115,254243,192,55450,13.11
530000,云南省,2011,13518,9669,44,3805,274593,48596,229416,180,44997,10.44
530000,云南省,2010,12618,9209,38,3371,632390,125770,592186,160,40044,5.99578
530000,云南省,2009,11143,8359,32,2752,451291,138458,415922,129,35240,19.34682
530000,云南省,2008,10258,7778,28,2452,88857,29393,61999,103,26755,5.79466
530000,云南省,2007,,,,,,,,,,
530000,云南省,2006,,,,,,,,,,
530000,云南省,2005,,,,,,,,,,
530000,云南省,2004,,,,,,,,,,
530000,云南省,2003,,,,,,,,,,
530000,云南省,2002,,,,,,,,,,
530000,云南省,2001,,,,,,,,,,
530000,云南省,2000,,,,,,,,,,
540000,西藏自治区,2019,536,478,22,36,,,,,,
540000,西藏自治区,2018,612,546,19,47,,,,,,
540000,西藏自治区,2017,604,545,18,41,,,,,,
540000,西藏自治区,2016,627,571,14,42,,,,,,
540000,西藏自治区,2015,572,536,13,23,11970,4476,11778,29,163,
540000,西藏自治区,2014,600,570,13,17,12452,4398,12224,71,157,
540000,西藏自治区,2013,589,560,10,19,9529,3395,9389,52,88,
540000,西藏自治区,2012,439,409,11,19,6227,2231,5997,36,194,0.1
540000,西藏自治区,2011,337,311,11,15,5872,2195,5708,36,128,0.1
540000,西藏自治区,2010,388,365,11,12,1451,178,1346,75,30,0.11226
540000,西藏自治区,2009,318,299,10,9,1350,131,1248,75,27,0.22464
540000,西藏自治区,2008,306,288,9,9,1350,131,1248,75,27,0.22464
540000,西藏自治区,2007,,,,,,,,,,
540000,西藏自治区,2006,,,,,,,,,,
540000,西藏自治区,2005,,,,,,,,,,
540000,西藏自治区,2004,,,,,,,,,,
540000,西藏自治区,2003,,,,,,,,,,
540000,西藏自治区,2002,,,,,,,,,,
540000,西藏自治区,2001,,,,,,,,,,
540000,西藏自治区,2000,,,,,,,,,,
610000,陕西省,2019,30548,16922,167,13459,,,,,,
610000,陕西省,2018,28410,16147,150,12113,,,,,,
610000,陕西省,2017,24725,13898,122,10705,,,,,,
610000,陕西省,2016,20758,11200,101,9457,,,,,,
610000,陕西省,2015,19699,10627,95,8977,277783,63573,182101,536,95146,
610000,陕西省,2014,18050,9907,88,8055,252343,52503,168539,480,83324,
610000,陕西省,2013,17360,9623,79,7658,252911,51448,173947,492,78472,
610000,陕西省,2012,16251,9162,71,7018,248664,52117,172048,445,76171,4.22
610000,陕西省,2011,15151,8736,65,6350,226359,47507,158243,220,67896,2.13
610000,陕西省,2010,13150,7823,45,5282,199994,49820,129561,203,70230,1.56446
610000,陕西省,2009,12201,7267,34,4900,157348,40247,97679,176,59493,1.49918
610000,陕西省,2008,11019,6375,23,4621,119894,33194,69044,122,50728,0.85649
610000,陕西省,2007,,,,,,,,,,
610000,陕西省,2006,,,,,,,,,,
610000,陕西省,2005,,,,,,,,,,
610000,陕西省,2004,,,,,,,,,,
610000,陕西省,2003,,,,,,,,,,
610000,陕西省,2002,,,,,,,,,,
610000,陕西省,2001,,,,,,,,,,
610000,陕西省,2000,,,,,,,,,,
620000,甘肃省,2019,24644,18148,79,6417,,,,,,
620000,甘肃省,2018,27028,20930,77,6021,,,,,,
620000,甘肃省,2017,27079,21614,68,5397,,,,,,
620000,甘肃省,2016,22763,17827,68,4868,,,,,,
620000,甘肃省,2015,18730,14306,54,4370,192871,29876,163954,558,28359,
620000,甘肃省,2014,14400,10742,53,3605,169563,32146,146582,9,22972,
620000,甘肃省,2013,13335,10206,40,3089,190626,42148,163808,409,26409,
620000,甘肃省,2012,10402,7768,29,2605,154991,34719,130036,357,24598,3.97
620000,甘肃省,2011,9983,7405,28,2550,162887,37898,138879,315,23693,2.89
620000,甘肃省,2010,10323,7228,25,3070,149446,40322,124728,315,24403,2.75888
620000,甘肃省,2009,10015,7115,23,2877,193807,59769,170911,288,22608,2.68166
620000,甘肃省,2008,10171,6836,21,3314,192463,57629,171575,194,20694,4.16089
620000,甘肃省,2007,,,,,,,,,,
620000,甘肃省,2006,,,,,,,,,,
620000,甘肃省,2005,,,,,,,,,,
620000,甘肃省,2004,,,,,,,,,,
620000,甘肃省,2003,,,,,,,,,,
620000,甘肃省,2002,,,,,,,,,,
620000,甘肃省,2001,,,,,,,,,,
620000,甘肃省,2000,,,,,,,,,,
630000,青海省,2019,6084,4264,32,1788,,,,,,
630000,青海省,2018,6028,4170,34,1824,,,,,,
630000,青海省,2017,5291,3649,32,1610,,,,,,
630000,青海省,2016,3658,2156,29,1473,,,,,,
630000,青海省,2015,3633,2320,30,1283,25717,6585,17320,30,8367,
630000,青海省,2014,3362,2209,27,1126,16880,3982,11725,45,5110,
630000,青海省,2013,3039,2022,22,995,18285,4289,13916,45,4324,
630000,青海省,2012,2921,1998,17,906,18206,4528,14280,45,3881,0.45
630000,青海省,2011,2698,1925,13,760,27253,7629,23593,38,3622,0.5
630000,青海省,2010,2546,1858,11,677,16968,4776,13409,38,3521,0.49411
630000,青海省,2009,2490,1810,9,671,18821,5081,13868,36,4917,0.48276
630000,青海省,2008,2373,1757,9,607,67518,27531,62795,36,4687,0.42246
630000,青海省,2007,,,,,,,,,,
630000,青海省,2006,,,,,,,,,,
630000,青海省,2005,,,,,,,,,,
630000,青海省,2004,,,,,,,,,,
630000,青海省,2003,,,,,,,,,,
630000,青海省,2002,,,,,,,,,,
630000,青海省,2001,,,,,,,,,,
630000,青海省,2000,,,,,,,,,,
640000,宁夏回族自治区,2019,6083,3483,74,2526,,,,,,
640000,宁夏回族自治区,2018,6300,3735,71,2494,,,,,,
640000,宁夏回族自治区,2017,6548,4207,71,2270,,,,,,
640000,宁夏回族自治区,2016,5751,3792,67,1892,,,,,,
640000,宁夏回族自治区,2015,4857,3285,59,1513,53289,8022,43433,295,9561,
640000,宁夏回族自治区,2014,4324,3129,55,1140,60510,11989,53168,275,7067,
640000,宁夏回族自治区,2013,4002,2958,51,993,36150,11035,29880,257,6013,
640000,宁夏回族自治区,2012,4127,3172,42,913,42505,11353,33454,229,8822,1.28
640000,宁夏回族自治区,2011,4288,3318,27,943,33672,10161,26653,106,6913,0.9
640000,宁夏回族自治区,2010,4533,3677,23,833,57653,20967,50301,78,7274,0.7223
640000,宁夏回族自治区,2009,4810,3953,18,839,52100,17710,45003,59,7038,0.60342
640000,宁夏回族自治区,2008,5118,4356,17,745,50424,15505,44027,53,6344,0.57444
640000,宁夏回族自治区,2007,,,,,,,,,,
640000,宁夏回族自治区,2006,,,,,,,,,,
640000,宁夏回族自治区,2005,,,,,,,,,,
640000,宁夏回族自治区,2004,,,,,,,,,,
640000,宁夏回族自治区,2003,,,,,,,,,,
640000,宁夏回族自治区,2002,,,,,,,,,,
640000,宁夏回族自治区,2001,,,,,,,,,,
640000,宁夏回族自治区,2000,,,,,,,,,,
650000,新疆维吾尔自治区,2019,8842,4820,39,3983,,,,,,
650000,新疆维吾尔自治区,2018,9071,5000,42,4029,,,,,,
650000,新疆维吾尔自治区,2017,9819,5621,43,4155,,,,,,
650000,新疆维吾尔自治区,2016,9641,5805,42,3794,,,,,,
650000,新疆维吾尔自治区,2015,9566,5993,41,3532,129671,23074,98826,243,30602,
650000,新疆维吾尔自治区,2014,9453,6072,37,3344,135524,28888,106004,204,29316,
650000,新疆维吾尔自治区,2013,9259,6212,33,3014,93939,29782,64549,204,29186,
650000,新疆维吾尔自治区,2012,8826,5997,31,2798,76456,28889,53185,261,23010,3.37
650000,新疆维吾尔自治区,2011,8226,5626,27,2573,75725,27861,57001,263,18461,2.31
650000,新疆维吾尔自治区,2010,8088,5581,24,2483,78801,27892,56090,263,22448,1.56569
650000,新疆维吾尔自治区,2009,7794,5488,22,2284,103083,28393,82283,268,20532,1.53656
650000,新疆维吾尔自治区,2008,7456,5174,18,2264,79275,26549,61577,251,17447,1.29011
650000,新疆维吾尔自治区,2007,,,,,,,,,,
650000,新疆维吾尔自治区,2006,,,,,,,,,,
650000,新疆维吾尔自治区,2005,,,,,,,,,,
650000,新疆维吾尔自治区,2004,,,,,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,,,,,
