省份编码,省份,年份,城市居民最低生活保障人数(万人),农村居民最低生活保障人数(万人),农村集中供养五保人数(万人),农村分散供养五保人数(万人),农村传统救济人数(万人)
650000,新疆维吾尔自治区,2018,53.0,197.6,1.1959,1.6615,
650000,新疆维吾尔自治区,2017,72.9,203.6,1.4,2.5,
650000,新疆维吾尔自治区,2016,86.9614,166.525,1.2165,4.2262,
650000,新疆维吾尔自治区,2015,86.5119,131.7586,1.2437,5.8701,
650000,新疆维吾尔自治区,2014,88.1113,132.6902,1.3739,6.8312,
650000,新疆维吾尔自治区,2013,91.7334,134.8235,1.3844,7.1587,0.4173
650000,新疆维吾尔自治区,2012,95.5,135.8,1.6,8.8,0.1
650000,新疆维吾尔自治区,2011,96.0,134.9,1.5,9.1,
650000,新疆维吾尔自治区,2010,,,,,
650000,新疆维吾尔自治区,2009,,,,,
650000,新疆维吾尔自治区,2008,,,,,
650000,新疆维吾尔自治区,2007,,,,,
650000,新疆维吾尔自治区,2006,,,,,
650000,新疆维吾尔自治区,2005,,,,,
650000,新疆维吾尔自治区,2004,,,,,
650000,新疆维吾尔自治区,2003,,,,,
650000,新疆维吾尔自治区,2002,,,,,
650000,新疆维吾尔自治区,2001,,,,,
650000,新疆维吾尔自治区,2000,,,,,
