省份编码,省份,年份,自治组织单位数(个),社区居委会单位数(个),村民委员会单位数(个),自治组织职工人数(人),自治组织女性职工人数(人),社区居委会职工人数(人),村民委员会职工人数(人),自治组织增加值(亿元)
540000,西藏自治区,2003,,,,,,,,
540000,西藏自治区,2002,,,,,,,,
540000,西藏自治区,2001,,,,,,,,
540000,西藏自治区,2000,,,,,,,,
610000,陕西省,2019,19858,2862,16996,,,,,
610000,陕西省,2018,19859,2837,17022,,,,,
610000,陕西省,2017,20887,2771,18116,,,,,
610000,陕西省,2016,22884,2607,20277,,,,,
610000,陕西省,2015,25257,2514,22743,97338,24562,12452,84886,
610000,陕西省,2014,28761,2153,26608,108010,26785,10727,97283,
610000,陕西省,2013,28823,2072,26751,107949,26470,10065,97884,
610000,陕西省,2012,28815,1925,26890,107000,26000,9000,98000,4.6
610000,陕西省,2011,28958,1858,27100,107000,26000,9000,99000,4.2
610000,陕西省,2010,29066,1753,27313,107000,27000,8000,98000,2.71563
610000,陕西省,2009,29088,1718,27370,106323,30844,7825,98498,2.39654
610000,陕西省,2008,29066,1670,27396,105000,30214,7000,97000,2.17845
610000,陕西省,2007,,,,,,,,
610000,陕西省,2006,,,,,,,,
610000,陕西省,2005,,,,,,,,
610000,陕西省,2004,,,,,,,,
610000,陕西省,2003,,,,,,,,
610000,陕西省,2002,,,,,,,,
610000,陕西省,2001,,,,,,,,
610000,陕西省,2000,,,,,,,,
620000,甘肃省,2019,17433,1422,16011,,,,,
620000,甘肃省,2018,17454,1392,16062,,,,,
620000,甘肃省,2017,17382,1343,16039,,,,,
620000,甘肃省,2016,17386,1359,16027,,,,,
620000,甘肃省,2015,17366,1334,16032,68023,12655,6551,61472,
620000,甘肃省,2014,17297,1340,15957,67921,12662,6576,61345,
620000,甘肃省,2013,17250,1228,16022,67120,12484,6162,60958,
620000,甘肃省,2012,17297,1244,16053,67000,13000,6000,61000,2.2
620000,甘肃省,2011,16997,1261,15736,65000,12000,6000,59000,1.4
620000,甘肃省,2010,17400,1250,16150,67000,12000,6000,61000,1.3978
620000,甘肃省,2009,17377,1228,16149,66515,12204,5955,60560,1.31336
620000,甘肃省,2008,17366,1223,16143,67000,11507,6000,61000,1.32726
620000,甘肃省,2007,,,,,,,,
620000,甘肃省,2006,,,,,,,,
620000,甘肃省,2005,,,,,,,,
620000,甘肃省,2004,,,,,,,,
620000,甘肃省,2003,,,,,,,,
620000,甘肃省,2002,,,,,,,,
620000,甘肃省,2001,,,,,,,,
620000,甘肃省,2000,,,,,,,,
630000,青海省,2019,4622,478,4144,,,,,
630000,青海省,2018,4622,478,4144,,,,,
630000,青海省,2017,4624,477,4147,,,,,
630000,青海省,2016,4622,476,4146,,,,,
630000,青海省,2015,4619,476,4143,18331,3978,2177,16154,
630000,青海省,2014,4608,451,4157,18207,3970,2021,16186,
630000,青海省,2013,4630,460,4170,18815,3855,2012,16803,
630000,青海省,2012,4620,450,4170,19000,4000,2000,17000,0.3
630000,青海省,2011,4582,412,4170,19000,4000,2000,17000,0.2
630000,青海省,2010,4562,402,4160,20000,4000,2000,18000,0.08716
630000,青海省,2009,4562,401,4161,19169,3787,1648,17521,0.06104
630000,青海省,2008,4539,386,4153,19000,3722,2000,18000,0.05216
630000,青海省,2007,,,,,,,,
630000,青海省,2006,,,,,,,,
630000,青海省,2005,,,,,,,,
630000,青海省,2004,,,,,,,,
630000,青海省,2003,,,,,,,,
630000,青海省,2002,,,,,,,,
630000,青海省,2001,,,,,,,,
630000,青海省,2000,,,,,,,,
640000,宁夏回族自治区,2019,2799,540,2259,,,,,
640000,宁夏回族自治区,2018,2800,543,2257,,,,,
640000,宁夏回族自治区,2017,2801,541,2260,,,,,
640000,宁夏回族自治区,2016,2789,514,2275,,,,,
640000,宁夏回族自治区,2015,2754,482,2272,12504,4294,2874,9630,
640000,宁夏回族自治区,2014,2741,467,2274,11317,3702,2344,8973,
640000,宁夏回族自治区,2013,2745,476,2269,11678,3660,2818,8860,
640000,宁夏回族自治区,2012,2685,454,2231,12000,4000,3000,9000,0.4
640000,宁夏回族自治区,2011,2749,455,2294,12000,4000,2000,10000,0.4
640000,宁夏回族自治区,2010,2764,444,2320,12000,3000,2000,10000,0.3325
640000,宁夏回族自治区,2009,2760,444,2316,11884,3556,2225,9659,0.28186
640000,宁夏回族自治区,2008,2751,439,2312,12000,3233,2000,10000,0.25718
640000,宁夏回族自治区,2007,,,,,,,,
640000,宁夏回族自治区,2006,,,,,,,,
640000,宁夏回族自治区,2005,,,,,,,,
640000,宁夏回族自治区,2004,,,,,,,,
640000,宁夏回族自治区,2003,,,,,,,,
640000,宁夏回族自治区,2002,,,,,,,,
640000,宁夏回族自治区,2001,,,,,,,,
640000,宁夏回族自治区,2000,,,,,,,,
650000,新疆维吾尔自治区,2019,12115,3099,9016,,,,,
650000,新疆维吾尔自治区,2018,12342,3231,9111,,,,,
650000,新疆维吾尔自治区,2017,12330,3410,8920,,,,,
650000,新疆维吾尔自治区,2016,11912,3210,8702,,,,,
650000,新疆维吾尔自治区,2015,11833,3089,8744,60427,17189,17763,42664,
650000,新疆维吾尔自治区,2014,11691,2917,8774,58938,15964,17093,41845,
650000,新疆维吾尔自治区,2013,11454,2793,8661,58073,15737,16156,41917,
650000,新疆维吾尔自治区,2012,11362,2761,8601,57000,15000,15000,42000,1.8
650000,新疆维吾尔自治区,2011,11394,2585,8809,56000,16000,16000,40000,1.6
650000,新疆维吾尔自治区,2010,11322,2523,8799,57000,16000,15000,42000,1.20374
650000,新疆维吾尔自治区,2009,11206,2376,8830,55457,17330,14434,41023,1.15321
650000,新疆维吾尔自治区,2008,11090,2290,8800,54000,16496,14000,40000,0.95686
650000,新疆维吾尔自治区,2007,,,,,,,,
650000,新疆维吾尔自治区,2006,,,,,,,,
650000,新疆维吾尔自治区,2005,,,,,,,,
650000,新疆维吾尔自治区,2004,,,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,,,
