省份编码,省份,年份,产品质量优等品率(%),产品质量一等品率(%),产品质量合格品率(%),质量损失率(%),产品质量合格率(%)
610000,陕西省,2002,4.0,31.24,64.76,0.57,
610000,陕西省,2001,20.14,50.23,24.89,1.59,
610000,陕西省,2000,2.51,24.86,72.63,0.14,
620000,甘肃省,2019,,,,,92.0455848599451
620000,甘肃省,2018,34.5181,,,1.9282,93.68
620000,甘肃省,2017,54.6,,,1.75,97.1
620000,甘肃省,2016,52.8,,,1.77,96.49
620000,甘肃省,2015,64.8,,,0.99,95.2
620000,甘肃省,2014,15.94,69.83,14.23,0.17,
620000,甘肃省,2013,15.94,69.83,14.23,0.17,
620000,甘肃省,2012,15.78,83.78,0.44,0.11,
620000,甘肃省,2011,14.23,85.13,0.64,0.02,
620000,甘肃省,2010,22.52,76.22,1.26,12.51,
620000,甘肃省,2009,36.32,59.59,4.09,0.02,
620000,甘肃省,2008,73.11,11.3,15.59,0.05,
620000,甘肃省,2007,19.16,24.59,56.25,0.03,
620000,甘肃省,2006,17.75,39.3,42.95,0.09,
620000,甘肃省,2005,,,,,
620000,甘肃省,2004,25.07,53.58,21.35,0.85,
620000,甘肃省,2003,66.29,15.26,18.45,0.08,
620000,甘肃省,2002,21.37,35.5,43.13,0.47,
620000,甘肃省,2001,51.37,22.44,38.78,0.69,
620000,甘肃省,2000,7.16,30.73,62.1,0.66,
630000,青海省,2019,,,,,88.639291003499
630000,青海省,2018,27.5,,,2.9719,92.83
630000,青海省,2017,49.7,,,1.32,91.84
630000,青海省,2016,56.6,,,1.5,96.48
630000,青海省,2015,70.2,,,1.3,92.64
630000,青海省,2014,19.7,21.54,58.76,0.11,
630000,青海省,2013,19.7,21.54,58.76,0.11,
630000,青海省,2012,22.78,22.49,54.73,0.15,
630000,青海省,2011,18.53,21.9,59.57,0.09,
630000,青海省,2010,21.75,18.91,59.33,0.06,
630000,青海省,2009,25.79,9.28,64.93,0.02,
630000,青海省,2008,29.74,7.37,62.89,0.02,
630000,青海省,2007,3.57,0.93,95.5,,
630000,青海省,2006,31.14,25.84,43.02,0.08,
630000,青海省,2005,20.52,0.94,78.53,,
630000,青海省,2004,2.37,17.14,91.21,0.38,
630000,青海省,2003,,,,,
630000,青海省,2002,2.54,16.71,69.57,1.32,
630000,青海省,2001,69.62,15.65,42.17,0.52,
630000,青海省,2000,,35.59,64.23,,
640000,宁夏回族自治区,2019,,,,,89.0476717044422
640000,宁夏回族自治区,2018,,,,,94.5
640000,宁夏回族自治区,2017,42.2,,,2.38,96.03
640000,宁夏回族自治区,2016,68.8,,,2.58,95.85
640000,宁夏回族自治区,2015,64.7,,,2.16,97.34
640000,宁夏回族自治区,2014,69.59,12.94,17.47,0.19,
640000,宁夏回族自治区,2013,13.86,23.9,62.24,0.08,
640000,宁夏回族自治区,2012,33.65,38.77,27.58,,
640000,宁夏回族自治区,2011,23.55,36.06,40.39,0.1,
640000,宁夏回族自治区,2010,79.44,5.17,15.39,,
640000,宁夏回族自治区,2009,15.05,34.06,50.89,0.12,
640000,宁夏回族自治区,2008,13.86,23.9,62.24,0.06,
640000,宁夏回族自治区,2007,18.18,38.72,43.11,0.23,
640000,宁夏回族自治区,2006,35.73,31.11,33.17,,
640000,宁夏回族自治区,2005,,,,,
640000,宁夏回族自治区,2004,,,,,
640000,宁夏回族自治区,2003,,,,,
640000,宁夏回族自治区,2002,,5.93,89.19,,
640000,宁夏回族自治区,2001,,,,,
640000,宁夏回族自治区,2000,,,,,
650000,新疆维吾尔自治区,2019,,,,,92.0223242600148
650000,新疆维吾尔自治区,2018,51.25,,,1.9602,92.15
650000,新疆维吾尔自治区,2017,49.8,,,3.43,92.15
650000,新疆维吾尔自治区,2016,53.6,,,3.8,91.07
650000,新疆维吾尔自治区,2015,50.0,,,1.86,90.42
650000,新疆维吾尔自治区,2014,46.56,28.28,25.17,0.3,
650000,新疆维吾尔自治区,2013,55.46,41.96,2.58,0.03,
650000,新疆维吾尔自治区,2012,37.0,62.59,0.41,0.03,
650000,新疆维吾尔自治区,2011,78.56,21.23,0.21,0.01,
650000,新疆维吾尔自治区,2010,16.39,83.36,0.25,,
650000,新疆维吾尔自治区,2009,77.64,22.08,0.28,,
650000,新疆维吾尔自治区,2008,55.46,41.96,2.58,0.02,
650000,新疆维吾尔自治区,2007,26.88,67.24,5.88,0.12,
650000,新疆维吾尔自治区,2006,10.93,61.33,27.74,0.82,
650000,新疆维吾尔自治区,2005,,,,,
650000,新疆维吾尔自治区,2004,,,,,
650000,新疆维吾尔自治区,2003,,,,,
650000,新疆维吾尔自治区,2002,,,,,
650000,新疆维吾尔自治区,2001,,,,,
650000,新疆维吾尔自治区,2000,,,,,
