省份编码,省份,年份,公有经济企事业单位专业技术人员数(人),公有经济企事业单位工程技术人员(人),公有经济企事业单位农业技术人员(人),公有经济企事业单位科学研究人员(人),公有经济企事业单位卫生技术人员(人),公有经济企事业单位教学人员(人)
630000,青海省,2011,109641,18253,8802,720,20826,61040
630000,青海省,2010,106063,17560,8860,682,20235,58726
630000,青海省,2009,104505,16354,8853,753,19712,58833
630000,青海省,2008,103258,15566,8833,666,19713,58480
630000,青海省,2007,102388,15016,8372,603,19501,58896
630000,青海省,2006,101162,14492,8173,645,19099,58753
630000,青海省,2005,97080,12832,7964,694,18477,57113
630000,青海省,2004,94492,12623,7528,679,18016,55646
630000,青海省,2003,92034,12875,5808,569,16915,55867
630000,青海省,2002,85184,12414,5680,482,15638,50970
630000,青海省,2001,90940,15337,5864,615,17136,51988
630000,青海省,2000,88846,15264,5821,609,16351,50801
640000,宁夏回族自治区,2019,,,,,,
640000,宁夏回族自治区,2018,,,,,,
640000,宁夏回族自治区,2017,,,,,,
640000,宁夏回族自治区,2016,,,,,,
640000,宁夏回族自治区,2015,,,,,,
640000,宁夏回族自治区,2014,,,,,,
640000,宁夏回族自治区,2013,,,,,,
640000,宁夏回族自治区,2012,,,,,,
640000,宁夏回族自治区,2011,111942,15357,8699,868,19756,67262
640000,宁夏回族自治区,2010,108376,14273,9155,667,18895,65386
640000,宁夏回族自治区,2009,111153,15372,9143,762,18316,67560
640000,宁夏回族自治区,2008,112598,14977,9819,825,19171,67806
640000,宁夏回族自治区,2007,117468,20079,10624,524,18580,67661
640000,宁夏回族自治区,2006,121378,21032,10861,681,20979,67825
640000,宁夏回族自治区,2005,121251,21316,9583,716,20859,68777
640000,宁夏回族自治区,2004,120270,21363,9935,714,20642,64616
640000,宁夏回族自治区,2003,118268,22541,8572,702,19837,66616
640000,宁夏回族自治区,2002,117460,23291,7105,694,19921,66449
640000,宁夏回族自治区,2001,115606,23776,7076,736,20435,63583
640000,宁夏回族自治区,2000,113612,22328,7070,725,19864,63625
650000,新疆维吾尔自治区,2019,,,,,,
650000,新疆维吾尔自治区,2018,,,,,,
650000,新疆维吾尔自治区,2017,,,,,,
650000,新疆维吾尔自治区,2016,,,,,,
650000,新疆维吾尔自治区,2015,,,,,,
650000,新疆维吾尔自治区,2014,,,,,,
650000,新疆维吾尔自治区,2013,,,,,,
650000,新疆维吾尔自治区,2012,,,,,,
650000,新疆维吾尔自治区,2011,421372,47357,27921,6728,80290,259076
650000,新疆维吾尔自治区,2010,407651,47734,28433,2071,77357,252056
650000,新疆维吾尔自治区,2009,411628,47525,30126,2518,72827,258632
650000,新疆维吾尔自治区,2008,413844,48769,31781,2260,71097,259937
650000,新疆维吾尔自治区,2007,411099,50286,33776,2452,69091,255494
650000,新疆维吾尔自治区,2006,412214,52118,33970,2458,68219,255449
650000,新疆维吾尔自治区,2005,403237,52888,32633,2449,67927,247340
650000,新疆维吾尔自治区,2004,398308,55411,32831,2928,68604,238534
650000,新疆维吾尔自治区,2003,387778,57599,30813,2399,65715,231252
650000,新疆维吾尔自治区,2002,390123,58141,31872,2461,65507,232142
650000,新疆维吾尔自治区,2001,387545,60068,30049,2626,65740,229062
650000,新疆维吾尔自治区,2000,370694,58730,27769,2542,62505,219148
