省份编码,省份,年份,居民消费水平(元),城镇居民消费水平(元),农村居民消费水平(元),居民消费水平指数(上年=100),城镇居民消费水平指数(上年=100),农村居民消费水平指数(上年=100)
450000,广西壮族自治区,2009,6968,12585,3424,115.8,114.2,111.6
450000,广西壮族自治区,2008,6152,11229,3143,110.9,110.4,103.9
450000,广西壮族自治区,2007,5114,9473,2721,111.8,114.5,102.2
450000,广西壮族自治区,2006,4280,7824,2443,108.5,108.3,103.9
450000,广西壮族自治区,2005,3899,7136,2329,114.9,107.1,118.5
450000,广西壮族自治区,2004,3341,6525,1951,108.6,108.0,103.5
450000,广西壮族自治区,2003,2974,5972,1768,105.3,108.4,100.3
450000,广西壮族自治区,2002,2755,5382,1720,107.6,106.9,108.2
450000,广西壮族自治区,2001,2572,5009,1616,104.4,104.3,102.7
450000,广西壮族自治区,2000,2437,4729,1564,106.0,100.3,108.0
460000,海南省,2019,,,,,,
460000,海南省,2018,,,,,,
460000,海南省,2017,20939,27683,11848,109.5,107.7,110.2
460000,海南省,2016,18431,24664,10512,106.6,103.1,112.3
460000,海南省,2015,17019.1258336549,23625.9820199239,9123.57538655117,108.500439147909,104.484317334052,116.940978400448
460000,海南省,2014,12915,16823,8371,108.7,104.8,115.7
460000,海南省,2013,11712,15877,7072,108.2,103.7,115.1
460000,海南省,2012,10634.4887014298,15068.4748777234,6019.62190804544,109.280697249643,107.02777878303,111.81321721506
460000,海南省,2011,9238,13272,5204,115.2,111.0,124.3
460000,海南省,2010,7553,11365,3846,111.8,110.6,109.8
460000,海南省,2009,6695,10215,3447,110.1,106.0,108.5
460000,海南省,2008,6134,9807,3130,110.3,104.7,109.6
460000,海南省,2007,5630,9422,2939,109.6,108.9,104.2
460000,海南省,2006,4819,8117,2646,109.1,106.6,105.8
460000,海南省,2005,4165,7183,2355,106.4,106.3,104.4
460000,海南省,2004,3847,6595,2261,107.5,106.1,107.6
460000,海南省,2003,3485,5964,2098,106.7,105.0,107.1
460000,海南省,2002,3233,5407,2058,108.0,107.5,107.1
460000,海南省,2001,2971,4968,1922,106.0,105.9,105.2
460000,海南省,2000,2849,4668,1912,106.7,106.2,106.9
500000,重庆市,2019,,,,,,
500000,重庆市,2018,,,,,,
500000,重庆市,2017,22927,30101,10527,108.6,106.4,110.9
500000,重庆市,2016,21032,28209,9433,110.0,107.9,111.5
500000,重庆市,2015,18860,25795,8337,110.6,108.5,113.0
500000,重庆市,2014,17262,24000,7577,111.1,108.8,113.7
500000,重庆市,2013,15423,21898,6604,112.2,109.4,114.9
500000,重庆市,2012,13655,19873,5741,111.9,107.8,117.7
500000,重庆市,2011,11832,17973,4615,114.1,110.3,119.4
500000,重庆市,2010,9723,15260,3652,114.1,111.8,113.3
500000,重庆市,2009,8494,13417,3413,112.4,110.6,109.0
500000,重庆市,2008,7637,12168,3254,110.0,108.4,105.8
500000,重庆市,2007,6453,10541,2752,115.3,113.6,111.8
500000,重庆市,2006,5323,8806,2360,111.1,111.0,103.3
500000,重庆市,2005,4702,7793,2236,109.2,106.8,109.2
500000,重庆市,2004,4155,7146,1925,109.2,104.0,113.9
500000,重庆市,2003,3591,6275,1733,109.7,107.3,107.2
500000,重庆市,2002,3204,5578,1708,106.2,102.1,106.6
500000,重庆市,2001,2937,5098,1696,106.4,102.4,108.1
500000,重庆市,2000,2705,4756,1604,105.6,105.7,102.2
510000,四川省,2019,,,,,,
510000,四川省,2018,,,,,,
510000,四川省,2017,17920,22983,12856,108.6,105.8,110.9
510000,四川省,2016,16013,21246,11094,107.3,104.2,110.2
510000,四川省,2015,14773.9748657016,20114.0417111464,10038.8788844254,107.971415939946,104.689920364263,110.959579879105
510000,四川省,2014,13755,19318,9092,108.4,106.6,110.0
510000,四川省,2013,12485,17899,8074,108.7,105.4,111.4
510000,四川省,2012,11280.1527948308,16649.1325606922,7146.51037722389,112.190106854552,105.878787560179,116.892587508822
510000,四川省,2011,9903,15687,5882,114.4,110.2,117.2
510000,四川省,2010,8182,13457,4748,113.7,109.6,116.5
510000,四川省,2009,6863,11701,3891,112.1,109.7,114.4
510000,四川省,2008,6072,10608,3362,107.1,102.9,106.1
510000,四川省,2007,5259,9559,2949,110.2,108.5,108.4
510000,四川省,2006,4501,8305,2572,106.5,107.1,103.3
510000,四川省,2005,4130,7577,2432,110.8,106.5,110.9
510000,四川省,2004,3656,6970,2153,106.1,102.8,105.8
510000,四川省,2003,3203,6312,1890,109.8,106.4,109.1
510000,四川省,2002,2914,5932,1729,108.7,106.4,106.4
510000,四川省,2001,2707,5661,1631,106.4,106.0,102.3
510000,四川省,2000,2550,5315,1614,111.0,110.4,106.2
520000,贵州省,2019,,,,,,
520000,贵州省,2018,,,,,,
520000,贵州省,2017,16349,24230,9879,112.2,109.4,111.9
520000,贵州省,2016,14666,22301,8887,112.6,109.6,112.0
520000,贵州省,2015,12876.28098375,20082.180769977,7866.08338713252,109.856878474841,106.736116472905,110.097917390057
520000,贵州省,2014,11362,18804,6620,113.1,110.2,111.9
520000,贵州省,2013,9541,16581,5383,112.7,106.7,118.7
520000,贵州省,2012,8371.95858498706,15441.2570507655,4448.43470483005,109.179460706096,105.461686468775,110.895634735671
520000,贵州省,2011,7389,13877,3986,109.9,103.0,111.5
520000,贵州省,2010,6218,12635,3221,111.6,103.8,114.6
520000,贵州省,2009,5456,11945,2741,114.3,110.4,117.2
520000,贵州省,2008,4880,11007,2418,105.7,103.1,106.1
520000,贵州省,2007,4263,9887,2094,104.8,102.3,105.8
520000,贵州省,2006,3797,9226,1771,115.0,117.2,107.3
520000,贵州省,2005,3256,7777,1621,115.9,111.9,116.6
520000,贵州省,2004,2723,6768,1336,104.2,106.7,100.8
520000,贵州省,2003,2502,6227,1226,106.3,107.5,105.0
520000,贵州省,2002,2337,5715,1165,106.5,106.8,105.7
520000,贵州省,2001,2178,5363,1086,103.2,100.6,104.1
520000,贵州省,2000,2084,5197,1039,104.8,106.1,103.5
530000,云南省,2019,,,,,,
530000,云南省,2018,,,,,,
530000,云南省,2017,15831,23490,9123,106.8,102.5,108.3
530000,云南省,2016,14534,22365,8336,106.8,104.3,106.7
530000,云南省,2015,13400.5019191024,20699.4548817288,7819.81244417982,110.860203432743,109.449797128515,108.570648350722
530000,云南省,2014,12235,19569,7116,107.7,102.3,114.8
530000,云南省,2013,11224,19089,6003,111.7,111.8,105.2
530000,云南省,2012,9781.55005382131,16513.6748027265,5645.03067271432,113.698167242479,108.850380136114,114.431212161975
530000,云南省,2011,8278,14464,4825,116.2,110.1,121.6
530000,云南省,2010,6811,12584,3783,112.7,109.9,113.9
530000,云南省,2009,5976,11585,3151,111.9,111.2,107.8
530000,云南省,2008,5465,10688,2972,110.8,110.2,106.4
530000,云南省,2007,4658,9234,2597,104.8,98.8,110.8
530000,云南省,2006,4172,8798,2189,106.6,101.6,109.6
530000,云南省,2005,3844,8514,1955,110.8,104.0,114.8
530000,云南省,2004,3315,7778,1634,121.9,119.2,120.8
530000,云南省,2003,2587,6199,1297,103.1,105.8,96.3
530000,云南省,2002,2463,5731,1348,109.3,109.6,104.1
530000,云南省,2001,2256,5294,1291,86.1,94.4,116.6
530000,云南省,2000,2603,5164,1202,109.3,120.1,139.0
540000,西藏自治区,2019,,,,,,
540000,西藏自治区,2018,,,,,,
540000,西藏自治区,2017,10990,20643,6676,110.6,108.0,109.7
540000,西藏自治区,2016,9743,18775,5952,108.0,104.1,107.1
540000,西藏自治区,2015,8755.74898910393,17466.3402692778,5411.78983340453,116.076068992363,109.11365419759,117.308383286939
540000,西藏自治区,2014,7204.5347189419,15009.1720679956,4497.83696666384,111.299686617352,103.647210627254,112.848787243248
540000,西藏自治区,2013,6275.47750288425,14000.5406135964,3874.3961352657,116.69380954346,108.701280999527,122.437684932136
540000,西藏自治区,2012,5339.51021477213,12958.3753420711,3098.17380619465,108.586155599362,109.537798041601,107.246950088084
540000,西藏自治区,2011,4730.24920466596,11393.3109390974,2774.65815079943,105.8,103.33,108.1
540000,西藏自治区,2010,4469,11026,2567,112.1,111.8,110.8
540000,西藏自治区,2009,3985,9862,2318,115.1,113.4,115.3
540000,西藏自治区,2008,3460,8694,2009,109.3,112.0,104.6
540000,西藏自治区,2007,3166,7761,1920,110.1,113.85,105.0
540000,西藏自治区,2006,2877,6817,1829,96.2,79.53,119.2
540000,西藏自治区,2005,2990,8571,1534,95.3,86.94,108.0
540000,西藏自治区,2004,3139,9859,1420,111.8,110.24,111.9
540000,西藏自治区,2003,2807,8942,1268,121.8,161.2,84.3
540000,西藏自治区,2002,2304,5547,1505,119.0,114.1,122.5
540000,西藏自治区,2001,1937,4861,1229,106.2,103.79,107.2
540000,西藏自治区,2000,1822.87421,4684,1147,109.2,106.43,110.3
610000,陕西省,2019,,,,,,
610000,陕西省,2018,,,,,,
610000,陕西省,2017,18485,25276,9819,108.1,105.9,109.8
610000,陕西省,2016,16657,23206,8768,107.3,104.9,109.4
610000,陕西省,2015,15363.3456659619,21876.5260545906,7944.43188241945,106.451011662769,104.240695944756,108.05750913541
610000,陕西省,2014,14812,21531,7552,110.1,107.9,111.4
610000,陕西省,2013,13206,19620,6620,110.4,106.6,113.1
610000,陕西省,2012,11852.1878335112,18254.3859649123,5782.74428274428,114.109547627987,109.366964263748,117.879996832566
610000,陕西省,2011,10053.4634929125,16213.3985048879,4697.4,112.3,108.5,113.7
610000,陕西省,2010,8473.52,14133.83,3916.79,111.7,108.9,110.0
610000,陕西省,2009,7154.33,12231.51,3356.28,109.7,107.2,109.0
610000,陕西省,2008,6483.41,11309.8,3080,109.9,106.6,110.8
610000,陕西省,2007,5480.44,9901.25,2549.44,110.6,108.1,108.3
610000,陕西省,2006,4742.21,8770.86,2254.29,110.9,107.7,111.1
610000,陕西省,2005,4182,7954,1987,106.8,103.2,111.3
610000,陕西省,2004,3733,7352,1703,108.1,104.8,111.7
610000,陕西省,2003,3335,6781,1473,107.6,107.5,102.4
610000,陕西省,2002,3093,6297,1434,106.9,106.1,102.4
610000,陕西省,2001,2857,5854,1385,107.3,106.6,106.0
610000,陕西省,2000,2210,5390,1271,106.6,104.8,106.6
620000,甘肃省,2019,,,,,,
620000,甘肃省,2018,,,,,,
620000,甘肃省,2017,14203,22344,7395,107.8,104.7,109.2
620000,甘肃省,2016,13086,21128,6781,108.8,107.3,106.4
620000,甘肃省,2015,11867.6727107596,19480.4398989728,6255.44373208063,109.568374607078,107.088668810884,109.008296610656
620000,甘肃省,2014,10678,17925,5661,110.8,109.6,107.3
620000,甘肃省,2013,9616,16327,5245,111.7,113.3,108.1
620000,甘肃省,2012,8541.97217284421,15047.6580916265,4562.71118438787,111.810959521703,108.610651487031,112.765510089601
620000,甘肃省,2011,7492.63296761628,13573.8256821112,3976.69175711135,120.185616782994,114.2494801997,127.229606841313
620000,甘肃省,2010,6234,11881,3126,109.3,103.6,108.5
620000,甘肃省,2009,5509,10765,2774,107.1,107.0,104.8
620000,甘肃省,2008,4947,9975,2480,105.2,100.9,111.4
620000,甘肃省,2007,4298,9150,2048,106.3,106.2,102.4
620000,甘肃省,2006,3810,8190,1883,108.9,109.2,102.5
620000,甘肃省,2005,3453,7410,1812,109.6,104.1,112.7
620000,甘肃省,2004,3015.8544979409,6923.35472400478,1496.5137693957,110.9,110.0,110.7
620000,甘肃省,2003,2592.35883464098,6160.18055716721,1295.01286162388,108.7,102.8,110.8
620000,甘肃省,2002,2301.22089988165,5742.91559638261,1139.42178582468,108.2,106.3,103.0
620000,甘肃省,2001,2099.42714797093,5147.57659878624,1123.03877916232,106.1,103.6,106.1
620000,甘肃省,2000,1946.66058706222,4735.77335448505,1063.95805174295,105.1,105.96479,104.316195
630000,青海省,2019,,,,,,
630000,青海省,2018,,,,,,
630000,青海省,2017,18020,23621,11868,106.6,102.9,111.6
630000,青海省,2016,16751,22761,10505,109.2,106.3,113.6
630000,青海省,2015,15167.340808629,21216.6172106825,9108.76545740247,110.080992924525,111.991238784392,108.023996624413
630000,青海省,2014,13534,19252,8007,109.7,106.7,113.2
630000,青海省,2013,12070,17617,6954,111.8,111.1,109.7
630000,青海省,2012,10289.1338251529,15026.3778201818,6116.01845748187,115.218431075964,110.631622316467,121.150670666287
630000,青海省,2011,8744,13348,4905,112.8,106.3,120.1
630000,青海省,2010,7326,11878,3848,107.0,103.4,107.8
630000,青海省,2009,6501,10845,3435,108.6,107.0,108.2
630000,青海省,2008,5830,9816,3121,106.6,102.7,112.6
630000,青海省,2007,4978,8819,2453,110.8,111.2,108.0
630000,青海省,2006,4229,7481,2128,106.6,105.8,106.6
630000,青海省,2005,3888,6947,1941,114.0,108.6,125.3
630000,青海省,2004,3443,6432,1583,109.2,111.2,102.4
630000,青海省,2003,3105,5768,1477,107.5,107.5,103.2
630000,青海省,2002,2828,5261,1399,105.5,103.1,104.0
630000,青海省,2001,2598,4925,1315,107.5,107.4,103.7
630000,青海省,2000,2384,4530,1245,107.0,109.4,102.0
640000,宁夏回族自治区,2019,,,,,,
640000,宁夏回族自治区,2018,,,,,,
640000,宁夏回族自治区,2017,21058,27887,11956,108.0,103.3,118.5
640000,宁夏回族自治区,2016,18570,25384,9980,107.2,104.9,109.6
640000,宁夏回族自治区,2015,17209.5682262675,24040.90657822,9049.85143611753,112.534256281119,108.227897371597,120.010167756262
640000,宁夏回族自治区,2014,15193,21212,8454,111.7,107.7,117.7
640000,宁夏回族自治区,2013,13537,19671,7062,108.8,105.0,116.1
640000,宁夏回族自治区,2012,12120.3643259038,18222.7927983666,5958.07822066725,109.198143448775,105.522812061601,114.699755162899
640000,宁夏回族自治区,2011,10937.1987753318,17038.4422620236,5100.20724685843,111.1,106.0,118.3
640000,宁夏回族自治区,2010,8991.72146439877,14729.9351357654,3895.95889929932,108.6,107.2,104.6
640000,宁夏回族自治区,2009,7917.79715796058,13151.1929619564,3541.33231215315,106.4,104.4,106.9
640000,宁夏回族自治区,2008,7108.2947723177,11851.5227411592,3304.63350117702,116.2,118.0,105.0
640000,宁夏回族自治区,2007,5742.75259202708,9555.35787707197,2808.01744230459,111.7,112.1,106.5
640000,宁夏回族自治区,2006,5069.94804878337,8573.48663726456,2467.4065012995,106.9,109.3,101.5
640000,宁夏回族自治区,2005,4469.40077138847,7502.54846983798,2322.45984560691,114.6,118.4,106.1
640000,宁夏回族自治区,2004,3873.0876661757,6771.84303616,2037.31240901983,115.9,118.8,110.2
640000,宁夏回族自治区,2003,3288.44776652281,6144.99013423494,1711.25341159081,113.7,113.7,113.7
640000,宁夏回族自治区,2002,2873.20996084895,5691.52290390341,1436.6158768805,112.4,116.7,104.6
640000,宁夏回族自治区,2001,2611.08637926522,5108.53393064218,1384.67177154864,105.9,112.1,96.3
640000,宁夏回族自治区,2000,2468.81749035746,3552.38414344506,1669.71070694867,124.3,132.7,109.5
650000,新疆维吾尔自治区,2019,,,,,,
650000,新疆维吾尔自治区,2018,,,,,,
650000,新疆维吾尔自治区,2017,16736,24230,9573,107.7,106.7,106.6
650000,新疆维吾尔自治区,2016,15247,22272,8816,110.4,107.6,113.2
650000,新疆维吾尔自治区,2015,13683.810554246,20531.9726513973,7693.81841596909,108.428997726494,106.157986679883,108.836452125915
650000,新疆维吾尔自治区,2014,12435,19176,6859,107.0,102.8,113.5
650000,新疆维吾尔自治区,2013,11401,18285,5942,103.7,106.1,102.1
650000,新疆维吾尔自治区,2012,10675.0872453,17441.6307378863,5409.79406206963,115.860832366791,114.821598788782,116.190662934994
650000,新疆维吾尔自治区,2011,8895.04346638751,14662.8870750589,4495.41873264975,110.8,107.9,109.7
650000,新疆维吾尔自治区,2010,7400,12665,3674,118.74494600691,115.98658124847,116.618328052644
650000,新疆维吾尔自治区,2009,5945.3,10366.13,3029.2,107.643931521769,105.541816278104,111.302507900769
650000,新疆维吾尔自治区,2008,5520.8,9881.56,2685.94,105.851220942279,104.629258063633,104.616876359852
650000,新疆维吾尔自治区,2007,4831.15,8833.12,2320.39,110.934615318781,109.974581631464,108.031599063883
650000,新疆维吾尔自治区,2006,4150.97,7728.36,2000.05,107.214973166697,105.749741726238,103.857604559711
650000,新疆维吾尔自治区,2005,3814.29,7221.02,1884.33,110.7,106.3,113.5
650000,新疆维吾尔自治区,2004,3445,6807.5,1652.3,105.9,106.9,100.5
650000,新疆维吾尔自治区,2003,3170.8,6199,1602.6,100.4,99.4,103.9
650000,新疆维吾尔自治区,2002,3150.3,6257.2,1524.7,109.7,111.5,105.8
650000,新疆维吾尔自治区,2001,2882,5668.2,1427,104.2,102.9,104.7
650000,新疆维吾尔自治区,2000,2650.3,5274.3,1307.6,103.5,109.8,94.9
