省份编码,省份,年份,工伤保险年末参保人数(万人),享受工伤待遇的人数(万人),工伤保险基金收入(万元),工伤保险基金支出(万元),工伤保险累计结余(万元)
610000,陕西省,2000,,,,,
620000,甘肃省,2019,244.1003,1.4738,101820,93036,184790
620000,甘肃省,2018,219.4267,2.0354,123191,80516,176006
620000,甘肃省,2017,198.577,1.937,92040,70882,155867
620000,甘肃省,2016,188.3507,2.4747,82279,67531,134710
620000,甘肃省,2015,182.6061,2.3348,78147,64291,119960
620000,甘肃省,2014,175.1366,2.2007,72289,60771,106102
620000,甘肃省,2013,167.7221,1.8485,70164,58674,111892
620000,甘肃省,2012,158.533,1.7906,51333,39894,85549
620000,甘肃省,2011,150.1855,1.3693,59085,42742,74491
620000,甘肃省,2010,130.1,1.1,29000,17000,58000
620000,甘肃省,2009,119.7264,0.7928,25946,17411,46505
620000,甘肃省,2008,108.8793,0.7758,19235,9354,37973
620000,甘肃省,2007,98.1682,0.3888,13551,6847,28092
620000,甘肃省,2006,86.2898,0.329,11205,4285,14664
620000,甘肃省,2005,,,,,
620000,甘肃省,2004,,,,,
620000,甘肃省,2003,,,,,
620000,甘肃省,2002,,,,,
620000,甘肃省,2001,,,,,
620000,甘肃省,2000,,,,,
630000,青海省,2019,73.9922,0.5451,44554,28821,118551
630000,青海省,2018,69.2373,0.5167,48109,27916,102818
630000,青海省,2017,64.8543,0.5101,39938,28006,82625
630000,青海省,2016,59.7527,0.4894,33483,25804,70694
630000,青海省,2015,58.0039,0.4897,34276,22970,63015
630000,青海省,2014,54.6917,0.5993,29665,22453,51708
630000,青海省,2013,52.263,0.5654,25308,21607,44495
630000,青海省,2012,49.2007,0.5648,22590,17366,40795
630000,青海省,2011,45.5741,0.4629,20421,14753,35572
630000,青海省,2010,43.2,0.5,16000,9000,30000
630000,青海省,2009,40.0741,0.4589,14045,7855,22885
630000,青海省,2008,29.929,0.4573,11309,5768,16695
630000,青海省,2007,25.3186,0.441,7435,4193,11154
630000,青海省,2006,23.058,0.3824,6540,3069,362
630000,青海省,2005,,,,,
630000,青海省,2004,,,1904,1105,
630000,青海省,2003,,,,,
630000,青海省,2002,,,,,
630000,青海省,2001,,,,,
630000,青海省,2000,,,,,
640000,宁夏回族自治区,2019,119.5791,0.646,49498,49193,116416
640000,宁夏回族自治区,2018,93.3227,0.6346,56445,46824,116111
640000,宁夏回族自治区,2017,90.346,0.5268,54326,44024,106489
640000,宁夏回族自治区,2016,83.5375,0.5231,41300,38518,96188
640000,宁夏回族自治区,2015,80.8278,0.5808,40292,33887,93406
640000,宁夏回族自治区,2014,82.192,0.4631,34536,33037,87001
640000,宁夏回族自治区,2013,72.7253,0.5255,31354,32474,85503
640000,宁夏回族自治区,2012,63.878,0.3802,81186,18942,86622
640000,宁夏回族自治区,2011,58.3413,0.3219,22039,12772,24378
640000,宁夏回族自治区,2010,48.9,0.3,14000,8000,15000
640000,宁夏回族自治区,2009,42.4483,0.2427,10554,6307,9661
640000,宁夏回族自治区,2008,37.5236,0.2274,9576,9593,5414
640000,宁夏回族自治区,2007,30.5334,0.1491,6109,4929,5431
640000,宁夏回族自治区,2006,24.1787,0.3094,3064,3227,3704
640000,宁夏回族自治区,2005,,,,,
640000,宁夏回族自治区,2004,,,,,
640000,宁夏回族自治区,2003,,,,,
640000,宁夏回族自治区,2002,,,,,
640000,宁夏回族自治区,2001,,,,,
640000,宁夏回族自治区,2000,,,,,
650000,新疆维吾尔自治区,2019,410.1872,2.554,148630,156442,282337
650000,新疆维吾尔自治区,2018,372.3645,2.4416,152210,133384,290148
650000,新疆维吾尔自治区,2017,345.0987,2.4982,143717,117721,271321
650000,新疆维吾尔自治区,2016,331.913,2.4174,136477,109251,245325
650000,新疆维吾尔自治区,2015,324.3587,2.852,139279,113845,218099
650000,新疆维吾尔自治区,2014,318.1764,2.7919,129652,105193,184356
650000,新疆维吾尔自治区,2013,309.4931,2.5066,113271,87786,159895
650000,新疆维吾尔自治区,2012,294.1074,2.3768,100746,83963,134410
650000,新疆维吾尔自治区,2011,274.6298,2.0067,77645,57645,117627
650000,新疆维吾尔自治区,2010,249.3,2.0,48000,33000,98000
650000,新疆维吾尔自治区,2009,232.2753,1.896,41588,25751,83301
650000,新疆维吾尔自治区,2008,214.5094,1.5884,36745,20175,67463
650000,新疆维吾尔自治区,2007,194.1223,1.3612,26957,13765,50892
650000,新疆维吾尔自治区,2006,161.3096,1.1709,19338,11494,35962
650000,新疆维吾尔自治区,2005,,,,,
650000,新疆维吾尔自治区,2004,,,,,
650000,新疆维吾尔自治区,2003,,,,,
650000,新疆维吾尔自治区,2002,,,,,
650000,新疆维吾尔自治区,2001,,,,,
650000,新疆维吾尔自治区,2000,,,,,
