省份编码,省份,年份,火灾发生数(起),火灾死亡人数(人),火灾受伤人数(人),火灾直接经济损失(万元),人口火灾发生率(1/10万人)
630000,青海省,2003,734,13,23,424.0,15.0687650982765
630000,青海省,2002,667,18,25,400.3,13.7
630000,青海省,2001,,,,,
630000,青海省,2000,670,9,10,479.3257,14.1576614079055
640000,宁夏回族自治区,2019,,,,,
640000,宁夏回族自治区,2018,,,,,
640000,宁夏回族自治区,2017,,,,,
640000,宁夏回族自治区,2016,,,,,
640000,宁夏回族自治区,2015,,,,,
640000,宁夏回族自治区,2014,,,,,
640000,宁夏回族自治区,2013,,,,,
640000,宁夏回族自治区,2012,3304,1,,487.1,50.1346077801506
640000,宁夏回族自治区,2011,3255,1,1,237.7,49.95
640000,宁夏回族自治区,2010,3447,5,1,1338.2,53.64
640000,宁夏回族自治区,2009,3938,4,,326.2,62.11
640000,宁夏回族自治区,2008,3600,5,3,533.7546,57.6445569367298
640000,宁夏回族自治区,2007,4039,10,8,520.7827,67.2307122011175
640000,宁夏回族自治区,2006,3176,4,3,455.1,53.9649635532598
640000,宁夏回族自治区,2005,3347,7,12,913.6,56.6927319985331
640000,宁夏回族自治区,2004,3384,4,24,800.8,58.3
640000,宁夏回族自治区,2003,2724,9,13,1010.3,47.5776612749975
640000,宁夏回族自治区,2002,3324,16,35,921.6,58.1
640000,宁夏回族自治区,2001,,,,,
640000,宁夏回族自治区,2000,2893,16,35,966.5082,53.2497338893786
650000,新疆维吾尔自治区,2019,,,,,
650000,新疆维吾尔自治区,2018,,,,,
650000,新疆维吾尔自治区,2017,,,,,
650000,新疆维吾尔自治区,2016,,,,,
650000,新疆维吾尔自治区,2015,,,,,
650000,新疆维吾尔自治区,2014,,,,,
650000,新疆维吾尔自治区,2013,,,,,
650000,新疆维吾尔自治区,2012,7286,33,39,9586.3,32.7306950218886
650000,新疆维吾尔自治区,2011,5093,33,21,5178.5,23.12
650000,新疆维吾尔自治区,2010,5209,60,41,3040.9,24.07
650000,新疆维吾尔自治区,2009,4962,44,14,2127.4,23.39
650000,新疆维吾尔自治区,2008,5404,46,37,32363.1185,25.9560897314126
650000,新疆维吾尔自治区,2007,6205,37,66,2384.0759,31.0710877444513
650000,新疆维吾尔自治区,2006,6464,42,57,3563.2,32.9406059573269
650000,新疆维吾尔自治区,2005,6209,61,73,2810.7,32.2448234308991
650000,新疆维吾尔自治区,2004,5513,28,95,2993.9,29.2
650000,新疆维吾尔自治区,2003,4482,50,88,2538.8,24.0913886024834
650000,新疆维吾尔自治区,2002,4190,44,106,4109.2,22.5
650000,新疆维吾尔自治区,2001,,,,,
650000,新疆维吾尔自治区,2000,3666,57,99,2372.1812,20.7897897066836
