省份编码,省份,年份,森林火灾次数(次),一般火灾次数(次),较大火灾次数(次),重大火灾次数(次),特别重大火灾次数(次),火场总面积(公顷),受害森林面积(公顷),天然林受害面积(公顷),人工林受害面积(公顷),森林火灾伤亡人数(人),森林火灾死亡人数(人),森林火灾其他损失折款(万元)
450000,广西壮族自治区,2006,549,218,,,,8616.432,1344.68,2.31,1315.77,15,11,207.867
450000,广西壮族自治区,2005,688,337,,,,13090.977,2466.617,6.07,2389.167,11,3,195.317
450000,广西壮族自治区,2004,1141,564,,1,,23770.287,4997.6,202.64,4540.96,32,26,324.75
450000,广西壮族自治区,2003,,,,,,,,,,,,
450000,广西壮族自治区,2002,,,,,,,,,,,,
450000,广西壮族自治区,2001,,,,,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,,,,,
460000,海南省,2019,32,12,20,,,78.86,54.01,,,,,26.91
460000,海南省,2018,29,17,12,,,62.31,38.67,,,1,,28.5
460000,海南省,2017,15,8,7,,,24.02,15.86,,,1,,2.6
460000,海南省,2016,57,20,37,,,200.902,117.151,,,1,,17.75
460000,海南省,2015,137,65,72,,,1032.67,573.527,,,,,117.18
460000,海南省,2014,91,49,42,,,388.773,268.279,,,,,88.502
460000,海南省,2013,42,21,21,,,166.067,116.204,,,1,,21.046
460000,海南省,2012,23,14,9,,,57.054,29.147,,,,,1.83
460000,海南省,2011,42,27,15,,,140.069,118.226,,118.029,,,8.4
460000,海南省,2010,121,85,36,,,246.543,126.47,,126.47,,,10.29
460000,海南省,2009,46,28,18,,,221.639,162.89,2.65,160.24,,,5.27
460000,海南省,2008,118,29,,,,207.72,100.476,,100.476,,,3.67
460000,海南省,2007,136,48,,,,438.01,270.07,10.6,259.47,1,,1.48
460000,海南省,2006,81,19,,,,295.308,86.056,3.0,83.056,,,26.07
460000,海南省,2005,221,86,,,,1127.78,542.03,96.14,457.89,,,6.0
460000,海南省,2004,127,28,,,,375.2,139.69,1.73,137.96,,,
460000,海南省,2003,,,,,,,,,,,,
460000,海南省,2002,,,,,,,,,,,,
460000,海南省,2001,,,,,,,,,,,,
460000,海南省,2000,,,,,,,,,,,,
500000,重庆市,2019,8,4,4,,,46.73,35.23,,,,,2.93
500000,重庆市,2018,13,10,3,,,51.99,35.63,,,,,42.08
500000,重庆市,2017,12,11,1,,,32.84,11.58,,,3,,16.45
500000,重庆市,2016,14,11,3,,,46.7134,9.4044,,,1,,6.79
500000,重庆市,2015,8,8,,,,13.6333333333333,5.152,,,,,13.34
500000,重庆市,2014,9,6,3,,,15.553,3.31,,,,,5.8
500000,重庆市,2013,34,21,13,,,249.207,83.664,,,2,,109.155
500000,重庆市,2012,38,29,9,,,235.784,94.532,,,3,,28.88
500000,重庆市,2011,162,115,47,,,752.661,295.95,27.744,265.833,2,1,183.139
500000,重庆市,2010,105,80,25,,,265.852,115.672,35.073,79.939,4,3,297.145
500000,重庆市,2009,87,78,9,,,246.97,65.538,6.96,53.108,,,23.825
500000,重庆市,2008,186,22,,,,406.689,122.563,10.189,112.374,1,1,35.217
500000,重庆市,2007,79,13,,,,369.36,129.18,,131.9,1,1,21.76
500000,重庆市,2006,241,56,,,,1827.32,664.3,23.52,634.83,2,2,106.365
500000,重庆市,2005,117,24,,,,348.423,135.613,15.1,120.513,2,2,53.224
500000,重庆市,2004,158,15,,,,290.727,155.525,18.56,136.755,2,2,33.011
500000,重庆市,2003,,,,,,,,,,,,
500000,重庆市,2002,,,,,,,,,,,,
500000,重庆市,2001,,,,,,,,,,,,
500000,重庆市,2000,,,,,,,,,,,,
510000,四川省,2019,138,105,31,1,1,2476.51,661.05,,,31,,1660.56
510000,四川省,2018,229,201,26,2,,3589.48,1540.16,,,2,,16286.16
510000,四川省,2017,171,152,18,1,,1610.86,1014.85,,,1,,379.94
510000,四川省,2016,263,230,33,,,1207.5941,217.1931,,,3,,313.8
510000,四川省,2015,220,183,37,,,1407.5241,302.9606,,,2,,187.4475
510000,四川省,2014,442,365,77,,,4713.0811,765.7255,,,3,,1113.8409
510000,四川省,2013,447,370,77,,,2673.5757,811.2057,,,12,,543.5503
510000,四川省,2012,486,394,92,,,3082.329,815.186,,,7,,468.032
510000,四川省,2011,309,245,64,,,3449.53,551.056,140.287,409.969,4,2,550.42
510000,四川省,2010,361,301,58,2,,4594.725,1241.458,1024.32,170.418,1,1,734.987
510000,四川省,2009,310,247,57,6,,5730.87,2577.91,2094.4,483.51,1,1,712.75
510000,四川省,2008,233,31,,,,4481.55,388.59,128.99,259.6,5,5,873.13
510000,四川省,2007,458,44,,,,2076.61,455.37,130.46,324.91,2,,54.04
510000,四川省,2006,511,48,,,,3108.955,453.089,138.86,314.229,,,470.515
510000,四川省,2005,252,46,,4,,6818.118,2256.541,2046.01,210.531,9,2,7305.45
510000,四川省,2004,169,18,,,,1330.217,206.627,115.157,61.37,2,,38.687
510000,四川省,2003,,,,,,,,,,,,
510000,四川省,2002,,,,,,,,,,,,
510000,四川省,2001,,,,,,,,,,,,
510000,四川省,2000,,,,,,,,,,,,
520000,贵州省,2019,10,8,2,,,139.52,18.78,,,,,9.14
520000,贵州省,2018,29,14,15,,,320.71,74.84,,,,,4.96
520000,贵州省,2017,18,13,5,,,234.17,42.35,,,,,7.68
520000,贵州省,2016,37,28,9,,,176.24,36.59,,,,,8.9
520000,贵州省,2015,153,110,43,,,1963.9,606.87,,,,,73.26
520000,贵州省,2014,201,136,65,,,1981.72,488.09,,,7,,253.7
520000,贵州省,2013,208,156,52,,,1721.43,410.51,,,2,,175.03
520000,贵州省,2012,275,210,65,,,2556.99,501.7,,,,,199.73
520000,贵州省,2011,430,300,130,,,2625.7,909.7,90.09,819.61,10,7,778.13
520000,贵州省,2010,2537,1699,835,3,,28674.508,9080.0,1207.39,7872.065,52,26,5259.403
520000,贵州省,2009,1626,1199,421,6,,12660.724,3702.391,382.766,3314.602,9,4,1216.009
520000,贵州省,2008,2612,833,,,,47627.539,4439.696,780.0,3573.951,28,12,1400.23
520000,贵州省,2007,1354,332,,,,7063.107,1779.378,237.777,1539.398,7,6,422.847
520000,贵州省,2006,1236,359,,,,7529.104,1848.945,292.353,1537.629,9,8,388.358
520000,贵州省,2005,1148,383,,,,8848.433,2045.171,197.187,1821.526,5,2,661.857
520000,贵州省,2004,1411,468,,,,8519.074,2040.591,401.819,1630.982,4,,831.746
520000,贵州省,2003,,,,,,,,,,,,
520000,贵州省,2002,,,,,,,,,,,,
520000,贵州省,2001,,,,,,,,,,,,
520000,贵州省,2000,,,,,,,,,,,,
530000,云南省,2019,104,50,54,,,2899.81,1023.82,,,1,,1375.79
530000,云南省,2018,60,24,36,,,1389.71,562.46,,,10,,861.85
530000,云南省,2017,49,20,29,,,1031.6,395.09,,,7,,110.17
530000,云南省,2016,73,27,46,,,1171.13,394.16,,,7,,10.92
530000,云南省,2015,130,71,59,,,3023.91,805.69,,,,,206.67
530000,云南省,2014,365,164,199,2,,15345.31,4236.27,,,34,,3112.16
530000,云南省,2013,264,73,191,,,11633.95,2400.7,,,,,1851.58
530000,云南省,2012,299,83,216,,,7901.75,2500.8,,,,,2194.18
530000,云南省,2011,115,64,51,,,2428.66,694.17,13.0,538.2,19,10,515.27
530000,云南省,2010,569,226,342,1,,21686.05,3233.65,346.9,1972.57,19,16,2412.78
530000,云南省,2009,510,320,190,,,10235.45,2222.31,238.26,1332.18,6,2,4711.93
530000,云南省,2008,287,98,,,,5272.84,937.36,36.35,597.66,2,1,636.28
530000,云南省,2007,498,163,,,,11983.11,1798.3,40.89,933.93,2,2,1246.59
530000,云南省,2006,602,181,,2,,19439.025,2860.334,639.98,1352.735,5,1,662.131
530000,云南省,2005,665,211,,,,14664.31,2353.04,124.42,1223.507,11,2,332.397
530000,云南省,2004,550,146,,,,11282.934,1257.948,47.65,472.207,24,2,328.95
530000,云南省,2003,,,,,,,,,,,,
530000,云南省,2002,,,,,,,,,,,,
530000,云南省,2001,,,,,,,,,,,,
530000,云南省,2000,,,,,,,,,,,,
540000,西藏自治区,2019,2,2,,,,,,,,,,
540000,西藏自治区,2018,1,,1,,,,,,,,,
540000,西藏自治区,2017,1,,1,,,6.66,6.66,,,,,
540000,西藏自治区,2016,,,,,,,,,,,,
540000,西藏自治区,2015,3,2,1,,,185.59,22.83,,,,,
540000,西藏自治区,2014,1,1,,,,0.4,0.13,,,,,0.29
540000,西藏自治区,2013,1,1,,,,0.8,,,,,,
540000,西藏自治区,2012,13,6,6,1,,181.8,135.04,,,1,,7.662
540000,西藏自治区,2011,3,3,,,,10.067,0.85,,,,,3.0
540000,西藏自治区,2010,8,6,2,,,165.74,16.24,,,8,2,19.3
540000,西藏自治区,2009,11,10,1,,,46.51,5.457,,,,,8.428
540000,西藏自治区,2008,9,3,,,,296.41,79.52,,,2,1,102.71
540000,西藏自治区,2007,16,5,,,,251.243,132.44,,,,,82.615
540000,西藏自治区,2006,14,2,,,,195.027,55.626,,,,,11.2
540000,西藏自治区,2005,17,2,,,,117.319,12.4,12.4,,,,66.239
540000,西藏自治区,2004,16,3,,,,292.63,27.99,27.99,,,,56.54
540000,西藏自治区,2003,,,,,,,,,,,,
540000,西藏自治区,2002,,,,,,,,,,,,
540000,西藏自治区,2001,,,,,,,,,,,,
540000,西藏自治区,2000,,,,,,,,,,,,
610000,陕西省,2019,202,115,87,,,1908.09,444.24,,,14,,80.44
610000,陕西省,2018,125,72,53,,,696.28,280.8,,,,,3.15
610000,陕西省,2017,181,136,45,,,362.08,148.36,,,,,5.99
610000,陕西省,2016,52,40,12,,,305.667,87.463,,,1,,44.29
610000,陕西省,2015,53,34,19,,,135.24,85.49,,,1,,11.15
610000,陕西省,2014,109,78,31,,,440.606,288.106,,,9,,212.87
610000,陕西省,2013,187,118,69,,,1012.84,373.59,,,19,,65.397
610000,陕西省,2012,67,30,37,,,389.94,16.228,,,,,3.42
610000,陕西省,2011,125,92,33,,,987.775,264.853,97.253,149.8,3,1,80.164
610000,陕西省,2010,95,86,9,,,347.077,84.384,1.03,83.354,1,,7.145
610000,陕西省,2009,55,47,8,,,281.63,108.12,3.8,104.32,3,,
610000,陕西省,2008,27,11,,,,90.15,33.29,10.03,23.26,1,,2.86
610000,陕西省,2007,79,32,,,,360.818,210.12,38.16,171.96,,,12.01
610000,陕西省,2006,34,13,,,,127.98,46.94,23.0,23.94,,,12.99
610000,陕西省,2005,73,24,,,,434.42,268.36,136.32,132.04,,,1.57
610000,陕西省,2004,41,20,,,,287.41,100.63,26.27,74.36,7,2,10.26
610000,陕西省,2003,,,,,,,,,,,,
610000,陕西省,2002,,,,,,,,,,,,
610000,陕西省,2001,,,,,,,,,,,,
610000,陕西省,2000,,,,,,,,,,,,
620000,甘肃省,2019,15,10,5,,,73.29,66.96,,,2,,18.7
620000,甘肃省,2018,9,6,3,,,31.14,19.45,,,1,,51.46
620000,甘肃省,2017,6,4,2,,,14.95,11.0,,,,,13.07
620000,甘肃省,2016,9,7,2,,,263.71,101.343,,,,,395.43258
620000,甘肃省,2015,8,5,3,,,14.69,10.94,,,,,0.9
620000,甘肃省,2014,21,18,3,,,101.39,36.85,,,,,36.523
620000,甘肃省,2013,16,13,3,,,32.37,8.87,,,,,
620000,甘肃省,2012,11,7,4,,,84.88,7.72,,,,,0.4
620000,甘肃省,2011,7,4,3,,,143.92,23.61,14.03,9.58,,,300.0
620000,甘肃省,2010,18,13,5,,,272.54,38.03,4.9,33.13,,,10.061
620000,甘肃省,2009,29,29,,,,77.888,2.35,,2.35,,,1.3
620000,甘肃省,2008,15,1,,,,9.74,3.042,,3.042,,,0.33
620000,甘肃省,2007,7,,,,,3.813,1.3,,0.5,,,3.4
620000,甘肃省,2006,12,2,,,,9.657,8.165,2.46,5.7,,,4.478
620000,甘肃省,2005,4,,,,,8.918,1.016,,1.016,,,
620000,甘肃省,2004,24,2,,,,41.034,7.774,,7.774,,,
620000,甘肃省,2003,,,,,,,,,,,,
620000,甘肃省,2002,,,,,,,,,,,,
620000,甘肃省,2001,,,,,,,,,,,,
620000,甘肃省,2000,,,,,,,,,,,,
630000,青海省,2019,18,9,9,,,162.62,80.3,,,,,83.56
630000,青海省,2018,21,10,11,,,168.24,97.15,,,,,144.89
630000,青海省,2017,16,13,3,,,178.33,129.05,,,,,182.8
630000,青海省,2016,11,11,,,,100.22,52.03,,,,,9.4
630000,青海省,2015,6,5,1,,,163.13,142.81,,,,,285.3
630000,青海省,2014,8,7,1,,,49.24,37.74,,,,,11.1525
630000,青海省,2013,7,6,1,,,116.11,64.74,,,,,91.2
630000,青海省,2012,6,6,,,,130.98,107.68,,,,,22.313
630000,青海省,2011,7,4,3,,,113.74,87.78,,23.6,,,2.04
630000,青海省,2010,21,17,4,,,621.51,303.38,,53.5,3,,62.492
630000,青海省,2009,16,14,2,,,153.92,103.37,,16.22,,,14.9
630000,青海省,2008,8,4,,,,29.57,18.59,,18.59,,,0.628
630000,青海省,2007,10,5,,,,66.86,42.798,21.62,21.198,,,0.29
630000,青海省,2006,10,6,,,,192.45,92.78,,80.87,,,5.329
630000,青海省,2005,7,5,,,,84.07,81.77,,76.82,,,11.27
630000,青海省,2004,12,10,,,,373.23,128.42,64.7,7.63,,,0.77
630000,青海省,2003,,,,,,,,,,,,
630000,青海省,2002,,,,,,,,,,,,
630000,青海省,2001,,,,,,,,,,,,
630000,青海省,2000,,,,,,,,,,,,
640000,宁夏回族自治区,2019,48,43,5,,,341.1,80.43,,,,,32.92
640000,宁夏回族自治区,2018,15,14,1,,,12.79,8.04,,,,,48.84
640000,宁夏回族自治区,2017,30,24,6,,,287.06,90.9,,,,,11.7
640000,宁夏回族自治区,2016,20,19,1,,,296.0967,12.438,,,,,5.52
640000,宁夏回族自治区,2015,7,5,2,,,32.6223,9.45,,,,,
640000,宁夏回族自治区,2014,24,24,,,,198.05,3.97,,,,,
640000,宁夏回族自治区,2013,45,45,,,,306.534,7.22,,,,,22.282
640000,宁夏回族自治区,2012,9,9,,,,3.674,3.64,,,,,
640000,宁夏回族自治区,2011,2,1,1,,,9.63,9.33,,,,,14.3
640000,宁夏回族自治区,2010,7,7,,,,49.436,29.0,,28.88,,,
640000,宁夏回族自治区,2009,8,8,,,,68.6,,,,,,3.1
640000,宁夏回族自治区,2008,14,4,,,,283.637,,75.97,9.32,,,79.916
640000,宁夏回族自治区,2007,16,3,,,,66.69,,9.6,,,,8.49
640000,宁夏回族自治区,2006,14,11,,,,66.0,,,66.0,,,
640000,宁夏回族自治区,2005,16,6,,,,57.0,10.0,,11.0,,,
640000,宁夏回族自治区,2004,1,1,,,,2.0,,,2.0,,,
640000,宁夏回族自治区,2003,,,,,,,,,,,,
640000,宁夏回族自治区,2002,,,,,,,,,,,,
640000,宁夏回族自治区,2001,,,,,,,,,,,,
640000,宁夏回族自治区,2000,,,,,,,,,,,,
650000,新疆维吾尔自治区,2019,23,21,2,,,13.86,11.49,,,,,27.12
650000,新疆维吾尔自治区,2018,42,36,6,,,23.53,13.22,,,1,,5.9
650000,新疆维吾尔自治区,2017,58,51,7,,,32.82,30.14,,,,,20.66
650000,新疆维吾尔自治区,2016,12,11,1,,,8.8466,7.016,,,,,1.2563
650000,新疆维吾尔自治区,2015,19,15,4,,,143.6941,117.2851,,,,,12.469
650000,新疆维吾尔自治区,2014,28,19,9,,,118.0776,86.8188,,,2,,6.9403
650000,新疆维吾尔自治区,2013,31,29,2,,,64.61357,12.7925,,,,,8.122
650000,新疆维吾尔自治区,2012,41,40,1,,,19.161,17.352,,,,,45.88
650000,新疆维吾尔自治区,2011,59,46,13,,,713.714,150.162,114.36,35.803,1,,1426.914
650000,新疆维吾尔自治区,2010,34,27,7,,,65.947,43.821,17.559,15.697,,,5.48
650000,新疆维吾尔自治区,2009,51,35,16,,,83.577,72.663,8.239,49.864,2,,52.29
650000,新疆维吾尔自治区,2008,67,19,,,,191.382,122.739,58.389,65.64,,,145.534
650000,新疆维吾尔自治区,2007,47,13,,,,137.092,75.343,31.443,39.37,1,,19.465
650000,新疆维吾尔自治区,2006,35,5,,,,258.274,94.102,78.278,1.391,,,9.257
650000,新疆维吾尔自治区,2005,28,1,,,,42.328,11.622,10.337,0.985,,,8.404
650000,新疆维吾尔自治区,2004,27,10,,,,291.744,139.642,120.291,31.45,,,96.351
650000,新疆维吾尔自治区,2003,,,,,,,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,,,,,,,
