省份编码,省份,年份,林业投资本年资金来源(万元),林业投资上年末结余资金(万元),林业投资本年资金来源小计(万元),林业投资国家预算资金(万元),林业投资国内贷款(万元),林业投资债券(万元),林业投资利用外资(万元),林业投资自筹资金(万元),林业投资其它资金(万元)
530000,云南省,2009,,,467020,324383,525,,90,18119,123903
530000,云南省,2008,335229,28443,306786,229020,900,,401,17292,59173
530000,云南省,2007,302041,24212,277829,211501,6351,,1224,24024,34729
530000,云南省,2006,212650,19961,192689,162050,,,663,12723,17253
530000,云南省,2005,227648,26140,201508,165056,12,,332,16448,19660
530000,云南省,2004,193889,22522,171367,147393,1210,,536,8070,14158
530000,云南省,2003,,,,,,,,,
530000,云南省,2002,,,,,,,,,
530000,云南省,2001,,,,,,,,,
530000,云南省,2000,,,,,,,,,
540000,西藏自治区,2019,,,,,,,,,
540000,西藏自治区,2018,,,,,,,,,
540000,西藏自治区,2017,,,,,,,,,
540000,西藏自治区,2016,,,,,,,,,
540000,西藏自治区,2015,310030,,310030,310030,,,,,
540000,西藏自治区,2014,135760,,135760,135760,,,,,
540000,西藏自治区,2013,164920,,164920,164920,,,,,
540000,西藏自治区,2012,165894,,165894,165894,,,,,
540000,西藏自治区,2011,191924,34473,157451,156634,,,,817,
540000,西藏自治区,2010,,,75774,73605,,,,,2169
540000,西藏自治区,2009,,,56573,56573,,,,,
540000,西藏自治区,2008,39543,,39543,38372,,,,,1171
540000,西藏自治区,2007,39543,,39543,38372,,,,,1171
540000,西藏自治区,2006,3491.5,,3491.5,3491.5,,,,,
540000,西藏自治区,2005,425,,425,425,,,,,
540000,西藏自治区,2004,9318,,9318,9318,,,,,
540000,西藏自治区,2003,,,,,,,,,
540000,西藏自治区,2002,,,,,,,,,
540000,西藏自治区,2001,,,,,,,,,
540000,西藏自治区,2000,,,,,,,,,
610000,陕西省,2019,,,,,,,,,
610000,陕西省,2018,,,,,,,,,
610000,陕西省,2017,,,,,,,,,
610000,陕西省,2016,,,,,,,,,
610000,陕西省,2015,1118397,3910,1114487,916779,,,2358,150601,44749
610000,陕西省,2014,1096182,2369,1093813,885650,950,,1751,102829,102633
610000,陕西省,2013,1027321,7694,1019627,912937,6460,,3400,64070,32760
610000,陕西省,2012,680481,6230,674251,514598,1300,,,82524,75829
610000,陕西省,2011,498166,9663,488503,421527,120,,630,33521,32705
610000,陕西省,2010,,,456327,362590,8700,,15,18252,66770
610000,陕西省,2009,,,468484,379505,,,,6748,82231
610000,陕西省,2008,311836,4742,307094,274721,2220,,601,8213,21339
610000,陕西省,2007,155302,7649,147653,139750,,,47,3671,4185
610000,陕西省,2006,137462,8581,128881,113766,,,865,3952,10298
610000,陕西省,2005,142830.56,8515,134315.56,127183.56,,,1512,1065,4555
610000,陕西省,2004,140949,12456,128493,113830,6,,1989,6737,5931
610000,陕西省,2003,,,,,,,,,
610000,陕西省,2002,,,,,,,,,
610000,陕西省,2001,,,,,,,,,
610000,陕西省,2000,,,,,,,,,
620000,甘肃省,2019,,,,,,,,,
620000,甘肃省,2018,,,,,,,,,
620000,甘肃省,2017,,,,,,,,,
620000,甘肃省,2016,,,,,,,,,
620000,甘肃省,2015,913962,,913962,812500,84358,,7091,8486,1527
620000,甘肃省,2014,813689,,813689,632597,147208,,12500,13181,8203
620000,甘肃省,2013,788001,4126,783875,594938,138764,,16811,17219,16143
620000,甘肃省,2012,756920,2240,754680,596809,93695,,16572,31349,16255
620000,甘肃省,2011,610611,5369,605242,487233,53000,,16000,8432,40577
620000,甘肃省,2010,,,715630,546432,34600,,6779,5187,122632
620000,甘肃省,2009,,,482817,353667,13000,,2733,693,112724
620000,甘肃省,2008,367149,37,367112,348690,10198,,1239,,6985
620000,甘肃省,2007,254377,,254377,241187,10850,,2340,,
620000,甘肃省,2006,233372,,233372,225811,6906,,612,,43
620000,甘肃省,2005,253385,,253385,239145,12398,,87,1751,4
620000,甘肃省,2004,206800,,206800,205410,676,,180,236,298
620000,甘肃省,2003,,,,,,,,,
620000,甘肃省,2002,,,,,,,,,
620000,甘肃省,2001,,,,,,,,,
620000,甘肃省,2000,,,,,,,,,
630000,青海省,2019,,,,,,,,,
630000,青海省,2018,,,,,,,,,
630000,青海省,2017,,,,,,,,,
630000,青海省,2016,,,,,,,,,
630000,青海省,2015,348088,,348088,316859,28930,,2299,,
630000,青海省,2014,281662,,281662,265290,13670,,2702,,
630000,青海省,2013,252175,249,251926,233728,15320,,2878,,
630000,青海省,2012,221647,,221647,193614,15198,,984,316,11535
630000,青海省,2011,209440,,209440,167230,6570,1500,5125,25170,3845
630000,青海省,2010,,,147661,144803,,,2858,,
630000,青海省,2009,,,119745,114690,,,3962,1093,
630000,青海省,2008,103003,1466,101537,101537,,,,,
630000,青海省,2007,94939,200,94739,91284,3180,,173,102,
630000,青海省,2006,64619,,64619,62024,1910,,370,191,124
630000,青海省,2005,72868,2718,70150,68517,1100,,507,,26
630000,青海省,2004,59245,,59245,58699,200,,266,80,
630000,青海省,2003,,,,,,,,,
630000,青海省,2002,,,,,,,,,
630000,青海省,2001,,,,,,,,,
630000,青海省,2000,,,,,,,,,
640000,宁夏回族自治区,2019,,,,,,,,,
640000,宁夏回族自治区,2018,,,,,,,,,
640000,宁夏回族自治区,2017,,,,,,,,,
640000,宁夏回族自治区,2016,,,,,,,,,
640000,宁夏回族自治区,2015,218420,,218420,117612,45347,,137,,55324
640000,宁夏回族自治区,2014,209506,,209506,117051,42843,,7549,,42063
640000,宁夏回族自治区,2013,196984,180,196804,152930,27893,,,11535,4446
640000,宁夏回族自治区,2012,143679,260,143419,131674,,,,320,11425
640000,宁夏回族自治区,2011,188696,,188696,158885,28862,,,949,
640000,宁夏回族自治区,2010,,,146529,127774,,,,,18755
640000,宁夏回族自治区,2009,,,110831,94672,3700,,,180,12279
640000,宁夏回族自治区,2008,105251,600,104651,93969,,,,3855,6827
640000,宁夏回族自治区,2007,33402,,33402,27126,,,,1755,4521
640000,宁夏回族自治区,2006,27935.8,,27935.8,22397.5,,,133.6,,5404.7
640000,宁夏回族自治区,2005,38195.5,,38195.5,33263.4,,,140,4792.1,
640000,宁夏回族自治区,2004,35148,,35148,29971,,,1248,3929,
640000,宁夏回族自治区,2003,,,,,,,,,
640000,宁夏回族自治区,2002,,,,,,,,,
640000,宁夏回族自治区,2001,,,,,,,,,
640000,宁夏回族自治区,2000,,,,,,,,,
650000,新疆维吾尔自治区,2019,,,,,,,,,
650000,新疆维吾尔自治区,2018,,,,,,,,,
650000,新疆维吾尔自治区,2017,,,,,,,,,
650000,新疆维吾尔自治区,2016,,,,,,,,,
650000,新疆维吾尔自治区,2015,1014325,99809,914516,500484,396,,2308,396686,14642
650000,新疆维吾尔自治区,2014,816310,93455,722855,481520,664,,202,205755,34714
650000,新疆维吾尔自治区,2013,751128,151430,599698,410652,23763,,1771,157661,5851
650000,新疆维吾尔自治区,2012,797767,75657,722110,437421,19428,,88,256972,8201
650000,新疆维吾尔自治区,2011,512574,45342,467232,324787,15658,372,50,93094,33271
650000,新疆维吾尔自治区,2010,,,373858,278395,,,218,81574,13671
650000,新疆维吾尔自治区,2009,,,341161,272473,720,,396,57538,10034
650000,新疆维吾尔自治区,2008,220767,6146,214621,171739,60,,850,33043,8929
650000,新疆维吾尔自治区,2007,199195,12418,186777,122555,50,,25,46279,17868
650000,新疆维吾尔自治区,2006,153401,6942,146459,104233,,,,35888,6338
650000,新疆维吾尔自治区,2005,135603,1573,134030,81231,11000,,,39835,1964
650000,新疆维吾尔自治区,2004,99813,2015,97798,59732,800,,234,35553,1479
650000,新疆维吾尔自治区,2003,,,,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,,,,
