省份编码,省份,年份,发生地质灾害起数(次),发生滑坡灾害起数(次),发生崩塌灾害起数(次),发生泥石流灾害起数(次),发生地面塌陷灾害起数(次),地质灾害人员伤亡(人),地质灾害死亡人数(人),地质灾害直接经济损失(万元),地质灾害防治项目数(个),地质灾害防治投资(万元)
510000,四川省,2010,2161,1482,273,345,18,197,77,90067.11,10126,445280.0
510000,四川省,2009,934,581,212,108,17,244,89,31904.06,12287,56657.06
510000,四川省,2008,6205,3395,2042,445,25,264,124,16844.0,377,128000.0
510000,四川省,2007,7707,4883,2368,235,138,247,134,61748.44,119,16430.0
510000,四川省,2006,295,156,80,46,6,137,65,10596.05,197,13617.62
510000,四川省,2005,175,98,43,28,4,150,71,39075.26,165,16605.1
510000,四川省,2004,973,670,192,60,24,286,144,29420.0,323,10540.0
510000,四川省,2003,,,,,,,,,,
510000,四川省,2002,,,,,,,,,,
510000,四川省,2001,,,,,,,,,,
510000,四川省,2000,,,,,,,,,,
520000,贵州省,2019,29,23,6,,,66,44,20607.0,,
520000,贵州省,2018,22,17,3,,2,1,,1612.0,,
520000,贵州省,2017,136,94,27,7,3,52,32,18144.62,459,99215.64
520000,贵州省,2016,86,66,12,7,1,84,55,12256.9,968,99408.39
520000,贵州省,2015,163,123,31,2,4,42,27,15979.7,2000,179461.59
520000,贵州省,2014,,,,,,,,,,
520000,贵州省,2013,98,63,21,,9,53,36,7703.65,287,109371.69
520000,贵州省,2012,181,117,45,6,10,25,12,5564.31,1445,42189.28
520000,贵州省,2011,214,153,45,2,9,10,5,12824.5,1481,52518.0
520000,贵州省,2010,827,486,188,13,54,123,53,10221.8,244,44280.0
520000,贵州省,2009,167,108,40,1,14,38,23,10649.83,23,6600.0
520000,贵州省,2008,381,257,77,5,23,55,37,3206.4,322,122116.88
520000,贵州省,2007,704,446,129,27,38,70,37,5566.62,195,11538.67
520000,贵州省,2006,157,105,32,5,11,43,25,4904.52,166,8259.53
520000,贵州省,2005,121,74,36,3,3,28,14,1191.29,123,10227.68
520000,贵州省,2004,276,150,74,11,39,140,89,4517.0,327,4512.0
520000,贵州省,2003,,,,,,,,,,
520000,贵州省,2002,,,,,,,,,,
520000,贵州省,2001,,,,,,,,,,
520000,贵州省,2000,,,,,,,,,,
530000,云南省,2019,117,81,14,20,1,35,28,8943.94,,
530000,云南省,2018,235,183,14,33,3,23,8,18214.42,,
530000,云南省,2017,338,247,48,36,2,57,20,13385.04,1403,201902.0
530000,云南省,2016,460,285,83,88,1,63,26,68676.15,874,204281.0
530000,云南省,2015,516,328,63,99,15,44,26,32100.63,982,225886.0
530000,云南省,2014,,,,,,,,,,
530000,云南省,2013,424,245,83,69,9,105,69,51672.28,2910,200001.24
530000,云南省,2012,571,318,70,102,33,145,46,29281.98,2418,107618.31
530000,云南省,2011,346,234,43,53,4,50,17,27564.67,2152,77980.75
530000,云南省,2010,812,559,95,133,11,277,102,30760.03,3208,48254.0
530000,云南省,2009,442,341,28,54,10,97,37,13118.48,253,40279.0
530000,云南省,2008,1035,870,73,70,8,224,94,109679.0,198,15624.0
530000,云南省,2007,1154,784,126,161,23,226,114,27521.89,174,8036.57
530000,云南省,2006,281,210,39,22,1,89,44,8334.92,41,536.8
530000,云南省,2005,34,20,6,8,,78,52,44877.13,324,5809.99
530000,云南省,2004,3056,2100,183,725,45,339,118,199086.0,161,8347.0
530000,云南省,2003,,,,,,,,,,
530000,云南省,2002,,,,,,,,,,
530000,云南省,2001,,,,,,,,,,
530000,云南省,2000,,,,,,,,,,
540000,西藏自治区,2019,58,20,8,30,,,,1084.38,,
540000,西藏自治区,2018,67,18,9,39,1,5,4,3787.35,,
540000,西藏自治区,2017,59,24,12,23,,4,4,4280.38,9,10255.91
540000,西藏自治区,2016,185,40,27,118,,9,8,24384.69,172,34361.08
540000,西藏自治区,2015,82,9,11,62,,5,3,7903.55,20,11418.15
540000,西藏自治区,2014,,,,,,,,,,
540000,西藏自治区,2013,138,50,13,75,,83,66,16611.0,6,4926.35
540000,西藏自治区,2012,59,13,11,35,,,,2458.54,14,10683.2
540000,西藏自治区,2011,139,32,30,77,,3,1,5237.41,4,5001.0
540000,西藏自治区,2010,247,26,62,152,7,7,4,33170.4,3,2609.0
540000,西藏自治区,2009,655,110,352,191,2,10,7,13075.75,4,3209.0
540000,西藏自治区,2008,125,28,16,72,9,,,1496.41,19,525.0
540000,西藏自治区,2007,55,5,5,41,1,42,6,2952.56,21,933.3
540000,西藏自治区,2006,11,3,,8,,7,2,440.8,24,1524.7
540000,西藏自治区,2005,10,4,2,4,,3,3,20.0,4,3580.0
540000,西藏自治区,2004,262,99,71,78,4,41,12,3836.0,3,3250.0
540000,西藏自治区,2003,,,,,,,,,,
540000,西藏自治区,2002,,,,,,,,,,
540000,西藏自治区,2001,,,,,,,,,,
540000,西藏自治区,2000,,,,,,,,,,
610000,陕西省,2019,64,37,11,16,,10,6,3557.6,,
610000,陕西省,2018,258,215,24,15,3,6,5,9874.1,,
610000,陕西省,2017,152,61,80,10,1,50,41,6242.3,258,48123.21
610000,陕西省,2016,45,18,23,1,2,10,7,1074.5,159,37870.63
610000,陕西省,2015,38,16,17,1,1,71,12,51196.5,121,263956.58
610000,陕西省,2014,,,,,,,,,,
610000,陕西省,2013,345,168,149,12,12,70,29,9011.03,157,32957.06
610000,陕西省,2012,240,170,42,21,2,13,8,6516.28,210,24468.91
610000,陕西省,2011,667,396,197,18,53,85,69,21863.92,70,21061.0
610000,陕西省,2010,1186,859,57,247,18,318,128,96050.0,169,16497.0
610000,陕西省,2009,224,107,96,9,10,14,10,3811.02,301,12610.0
610000,陕西省,2008,348,123,171,3,8,63,29,5035.49,239,21907.0
610000,陕西省,2007,270,139,43,36,52,109,59,3086.6,82,3690.64
610000,陕西省,2006,23,10,9,1,,25,22,842.73,53,2428.0
610000,陕西省,2005,263,198,37,22,3,79,49,3484.17,185,5924.23
610000,陕西省,2004,112,56,31,3,17,37,28,971.0,162,6726.0
610000,陕西省,2003,,,,,,,,,,
610000,陕西省,2002,,,,,,,,,,
610000,陕西省,2001,,,,,,,,,,
610000,陕西省,2000,,,,,,,,,,
620000,甘肃省,2019,33,19,13,1,,25,19,28678.91,,
620000,甘肃省,2018,479,351,41,75,6,22,12,48691.69,,
620000,甘肃省,2017,61,27,13,16,1,19,10,20834.85,82,40300.0
620000,甘肃省,2016,34,14,10,8,1,8,6,6178.6,153,96538.43
620000,甘肃省,2015,44,22,16,3,3,4,,14003.1,197,194288.17
620000,甘肃省,2014,,,,,,,,,,
620000,甘肃省,2013,3860,2562,410,583,69,98,53,667296.36,130,33622.0
620000,甘肃省,2012,144,70,29,36,5,12,7,15241.49,256,34911.0
620000,甘肃省,2011,115,62,24,18,5,15,4,51428.15,23,29777.0
620000,甘肃省,2010,297,144,35,80,5,1821,1537,22877.8,417,159225.0
620000,甘肃省,2009,161,78,20,53,3,25,19,11236.8,2422,6391.0
620000,甘肃省,2008,8245,1667,3148,126,1,634,157,37327.4,4,1080.0
620000,甘肃省,2007,95,43,6,3,14,14,10,4306.29,1,1240.0
620000,甘肃省,2006,142,55,19,12,16,1,,13872.08,5,1360.0
620000,甘肃省,2005,11,10,1,,,2,2,3435.0,,680.0
620000,甘肃省,2004,19,5,,6,1,24,8,4085.0,5,440.0
620000,甘肃省,2003,,,,,,,,,,
620000,甘肃省,2002,,,,,,,,,,
620000,甘肃省,2001,,,,,,,,,,
620000,甘肃省,2000,,,,,,,,,,
630000,青海省,2019,51,42,6,3,,3,1,1671.84,,
630000,青海省,2018,100,76,15,9,,4,3,5047.27,,
630000,青海省,2017,7,4,2,1,,15,12,888.5,24,11528.0
630000,青海省,2016,21,14,1,5,1,13,6,2512.06,12,8725.0
630000,青海省,2015,18,14,2,2,,3,2,746.2,16,5753.5
630000,青海省,2014,,,,,,,,,,
630000,青海省,2013,37,21,10,6,,16,,668.13,21,19035.0
630000,青海省,2012,30,18,10,2,,5,3,55.08,15,17340.0
630000,青海省,2011,19,12,6,1,,6,1,77.89,30,22937.0
630000,青海省,2010,37,25,4,8,,,,1233.2,8,5354.0
630000,青海省,2009,25,22,3,,,2,1,714.3,7,1576.0
630000,青海省,2008,23,13,6,4,,2,2,394.0,16,706.0
630000,青海省,2007,57,42,9,3,1,24,16,3786.05,8,552.1
630000,青海省,2006,23,7,6,7,3,1,,251.61,7,305.0
630000,青海省,2005,14,11,3,,,10,1,615.0,10,200.0
630000,青海省,2004,19,14,3,2,,4,4,571.0,4,200.0
630000,青海省,2003,,,,,,,,,,
630000,青海省,2002,,,,,,,,,,
630000,青海省,2001,,,,,,,,,,
630000,青海省,2000,,,,,,,,,,
640000,宁夏回族自治区,2019,8,3,5,,,3,2,103.0,,
640000,宁夏回族自治区,2018,3,1,1,,1,,,60.0,,
640000,宁夏回族自治区,2017,13,5,4,2,,,,30.0,,1000.0
640000,宁夏回族自治区,2016,3,,1,,,,,15.0,2,2000.0
640000,宁夏回族自治区,2015,5,2,2,,,,,39.0,1,1000.0
640000,宁夏回族自治区,2014,,,,,,,,,,
640000,宁夏回族自治区,2013,32,27,2,,3,,,2800.0,1,1697.0
640000,宁夏回族自治区,2012,5,2,2,,,,,28.0,1,2097.0
640000,宁夏回族自治区,2011,4,2,,1,1,,,350.0,2,1514.1
640000,宁夏回族自治区,2010,,,,,,,,,1,337.0
640000,宁夏回族自治区,2009,19,14,1,2,1,,,,,80.0
640000,宁夏回族自治区,2008,1,1,,,,,,5.0,6,120.0
640000,宁夏回族自治区,2007,1,,1,,,,,10.0,6,160.0
640000,宁夏回族自治区,2006,,,,,,,,,2,40.0
640000,宁夏回族自治区,2005,2,1,,,1,,,10.0,4,542.0
640000,宁夏回族自治区,2004,2,1,1,,,,,101.0,,
640000,宁夏回族自治区,2003,,,,,,,,,,
640000,宁夏回族自治区,2002,,,,,,,,,,
640000,宁夏回族自治区,2001,,,,,,,,,,
640000,宁夏回族自治区,2000,,,,,,,,,,
650000,新疆维吾尔自治区,2019,26,1,7,18,,6,4,334.1,,
650000,新疆维吾尔自治区,2018,28,3,6,18,1,1,,406.45,,
650000,新疆维吾尔自治区,2017,61,40,10,10,1,2,2,1751.59,57,28235.96
650000,新疆维吾尔自治区,2016,65,35,7,23,,50,35,29099.09,48,11005.77
650000,新疆维吾尔自治区,2015,13,1,1,10,1,,,344.5,3,1790.0
650000,新疆维吾尔自治区,2014,,,,,,,,,,
650000,新疆维吾尔自治区,2013,36,6,10,19,1,4,3,298.35,16,2921.75
650000,新疆维吾尔自治区,2012,44,7,7,29,1,34,28,103639.4,14,2378.12
650000,新疆维吾尔自治区,2011,24,19,4,1,,9,8,202.66,5,3310.0
650000,新疆维吾尔自治区,2010,321,114,16,186,1,13,11,12107.49,14,2313.0
650000,新疆维吾尔自治区,2009,6,3,1,2,,1,1,101.3,16,2409.0
650000,新疆维吾尔自治区,2008,21,3,8,5,5,,,363.8,17,1632.0
650000,新疆维吾尔自治区,2007,30,11,4,10,5,20,9,314.4,39,1665.0
650000,新疆维吾尔自治区,2006,46,30,1,8,6,,,483.15,26,553.0
650000,新疆维吾尔自治区,2005,95,27,14,51,3,5,,383.89,10,188.0
650000,新疆维吾尔自治区,2004,98,83,4,7,4,12,2,609.0,17,375.0
650000,新疆维吾尔自治区,2003,,,,,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,,,,,
