省份编码,省份,年份,等级运动员发展人数(人),等级女运动员发展人数(人),国际级运动健将发展人数(人),国际级女运动健将发展人数(人),运动健将发展人数(人),女运动健将发展数(人),一级运动员发展人数(人),一级女运动员发展人数(人),二级运动员发展人数(人),二级女运动员发展人数(人)
630000,青海省,2011,182,53,,,3,3,32,12,147,38
630000,青海省,2010,42,23,,,7,3,26,15,9,5
630000,青海省,2009,,,,,,,,,,
630000,青海省,2008,,,,,,,,,,
630000,青海省,2007,,,,,,,,,,
630000,青海省,2006,,,,,,,,,,
630000,青海省,2005,,,,,,,,,,
630000,青海省,2004,,,,,,,,,,
630000,青海省,2003,,,,,,,,,,
630000,青海省,2002,,,,,,,,,,
630000,青海省,2001,,,,,,,,,,
630000,青海省,2000,,,,,,,,,,
640000,宁夏回族自治区,2019,,,,,,,,,,
640000,宁夏回族自治区,2018,,,,,,,,,,
640000,宁夏回族自治区,2017,,,,,,,,,,
640000,宁夏回族自治区,2016,,,,,,,,,,
640000,宁夏回族自治区,2015,281,102,,,4,2,128,36,149,64
640000,宁夏回族自治区,2014,440,152,2,2,4,1,107,39,327,110
640000,宁夏回族自治区,2013,499,187,,,,,10,3,489,184
640000,宁夏回族自治区,2012,487,78,,,5,2,40,1,442,75
640000,宁夏回族自治区,2011,394,111,,,2,1,67,31,325,79
640000,宁夏回族自治区,2010,75,24,,,,,9,1,66,23
640000,宁夏回族自治区,2009,,,,,,,,,,
640000,宁夏回族自治区,2008,,,,,,,,,,
640000,宁夏回族自治区,2007,,,,,,,,,,
640000,宁夏回族自治区,2006,,,,,,,,,,
640000,宁夏回族自治区,2005,,,,,,,,,,
640000,宁夏回族自治区,2004,,,,,,,,,,
640000,宁夏回族自治区,2003,,,,,,,,,,
640000,宁夏回族自治区,2002,,,,,,,,,,
640000,宁夏回族自治区,2001,,,,,,,,,,
640000,宁夏回族自治区,2000,,,,,,,,,,
650000,新疆维吾尔自治区,2019,,,,,,,,,,
650000,新疆维吾尔自治区,2018,,,,,,,,,,
650000,新疆维吾尔自治区,2017,,,,,,,,,,
650000,新疆维吾尔自治区,2016,,,,,,,,,,
650000,新疆维吾尔自治区,2015,1103,338,2,,27,11,177,68,604,146
650000,新疆维吾尔自治区,2014,1122,399,,,,,254,89,868,310
650000,新疆维吾尔自治区,2013,1097,355,1,,31,5,132,43,933,307
650000,新疆维吾尔自治区,2012,727,273,1,1,18,8,79,23,629,241
650000,新疆维吾尔自治区,2011,267,110,1,1,17,2,26,13,223,94
650000,新疆维吾尔自治区,2010,622,231,,,18,5,167,70,437,156
650000,新疆维吾尔自治区,2009,,,,,,,,,,
650000,新疆维吾尔自治区,2008,,,,,,,,,,
650000,新疆维吾尔自治区,2007,,,,,,,,,,
650000,新疆维吾尔自治区,2006,,,,,,,,,,
650000,新疆维吾尔自治区,2005,,,,,,,,,,
650000,新疆维吾尔自治区,2004,,,,,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,,,,,
