省份编码,省份,年份,等级教练员发展人数(人),等级女教练员发展人数(人),国家级教练员发展人数(人),国家级女教练员发展人数(人),高级教练员发展人数(人),高级女教练员发展人数(人),中级教练员发展人数(人),中级女教练员发展人数(人),初级教练员发展人数(人),初级女教练员发展人数(人)
640000,宁夏回族自治区,2000,,,,,,,,,,
650000,新疆维吾尔自治区,2019,,,,,,,,,,
650000,新疆维吾尔自治区,2018,,,,,,,,,,
650000,新疆维吾尔自治区,2017,,,,,,,,,,
650000,新疆维吾尔自治区,2016,,,,,,,,,,
650000,新疆维吾尔自治区,2015,35,5,,,4,1,,,,
650000,新疆维吾尔自治区,2014,32,6,1,,2,1,,,,
650000,新疆维吾尔自治区,2013,29,9,,,,,,,,
650000,新疆维吾尔自治区,2012,30,5,,,13,2,10,2,7,1
650000,新疆维吾尔自治区,2011,26,7,,,6,2,5,,15,5
650000,新疆维吾尔自治区,2010,35,5,,,3,1,10,1,22,3
650000,新疆维吾尔自治区,2009,,,,,,,,,,
650000,新疆维吾尔自治区,2008,,,,,,,,,,
650000,新疆维吾尔自治区,2007,,,,,,,,,,
650000,新疆维吾尔自治区,2006,,,,,,,,,,
650000,新疆维吾尔自治区,2005,,,,,,,,,,
650000,新疆维吾尔自治区,2004,,,,,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,,,,,
