省份编码,省份,年份,社区卫生服务中心数(个),无床的社区卫生服务中心数(个),1-9张床位数的社区卫生服务中心数(个),10-29张床位数的社区卫生服务中心数(个),30-49张床位数的社区卫生服务中心数(个),50-99张床位数的社区卫生服务中心数(个),100张及以上床位数的社区卫生服务中心数(个),社区卫生服务站数(个),无床的社区卫生服务站数(个),1-9张床位数的社区卫生服务站数(个),10张及以上床位数的社区卫生服务站数(个)
530000,云南省,2006,,,,,,,,,,,
530000,云南省,2005,,,,,,,,,,,
530000,云南省,2004,,,,,,,,,,,
530000,云南省,2003,,,,,,,,,,,
530000,云南省,2002,,,,,,,,,,,
530000,云南省,2001,,,,,,,,,,,
530000,云南省,2000,,,,,,,,,,,
540000,西藏自治区,2019,9,,3,6,,,,5,,3,2
540000,西藏自治区,2018,9,,4,5,,,,5,,3,2
540000,西藏自治区,2017,9,,5,4,,,,3,1,2,
540000,西藏自治区,2016,8,1,5,2,,,,2,1,1,
540000,西藏自治区,2015,7,,4,3,,,,2,1,1,
540000,西藏自治区,2014,7,1,3,3,,,,2,,2,
540000,西藏自治区,2013,7,2,2,3,,,,2,,2,
540000,西藏自治区,2012,7,6,1,,,,,2,1,1,
540000,西藏自治区,2011,1,1,,,,,,7,7,,
540000,西藏自治区,2010,,,,,,,,8,5,3,
540000,西藏自治区,2009,,,,,,,,,,,
540000,西藏自治区,2008,,,,,,,,,,,
540000,西藏自治区,2007,,,,,,,,,,,
540000,西藏自治区,2006,,,,,,,,,,,
540000,西藏自治区,2005,,,,,,,,,,,
540000,西藏自治区,2004,,,,,,,,,,,
540000,西藏自治区,2003,,,,,,,,,,,
540000,西藏自治区,2002,,,,,,,,,,,
540000,西藏自治区,2001,,,,,,,,,,,
540000,西藏自治区,2000,,,,,,,,,,,
610000,陕西省,2019,265,129,21,61,34,20,,401,398,,3
610000,陕西省,2018,255,134,22,55,29,15,,370,337,22,11
610000,陕西省,2017,248,127,22,51,32,16,,356,330,19,7
610000,陕西省,2016,249,141,19,44,31,13,1,374,338,25,11
610000,陕西省,2015,242,130,20,42,31,17,2,364,321,25,18
610000,陕西省,2014,245,130,21,44,33,15,2,344,296,24,24
610000,陕西省,2013,246,132,20,42,33,16,3,337,276,29,32
610000,陕西省,2012,236,126,23,39,29,17,2,316,236,27,53
610000,陕西省,2011,224,110,20,45,31,16,2,301,212,37,52
610000,陕西省,2010,163,104,12,20,11,14,2,303,202,52,49
610000,陕西省,2009,,,,,,,,,,,
610000,陕西省,2008,,,,,,,,,,,
610000,陕西省,2007,,,,,,,,,,,
610000,陕西省,2006,,,,,,,,,,,
610000,陕西省,2005,,,,,,,,,,,
610000,陕西省,2004,,,,,,,,,,,
610000,陕西省,2003,,,,,,,,,,,
610000,陕西省,2002,,,,,,,,,,,
610000,陕西省,2001,,,,,,,,,,,
610000,陕西省,2000,,,,,,,,,,,
620000,甘肃省,2019,208,75,27,59,31,16,,467,332,88,47
620000,甘肃省,2018,198,81,25,56,20,15,1,430,299,84,47
620000,甘肃省,2017,204,86,25,59,24,9,1,398,262,86,50
620000,甘肃省,2016,201,85,27,54,21,13,1,380,255,80,45
620000,甘肃省,2015,205,88,28,56,21,11,1,406,284,83,39
620000,甘肃省,2014,203,91,27,54,19,11,1,394,283,76,35
620000,甘肃省,2013,204,94,28,53,20,7,2,411,287,87,37
620000,甘肃省,2012,198,90,28,53,17,8,2,418,292,85,41
620000,甘肃省,2011,176,81,25,45,19,5,1,391,285,73,33
620000,甘肃省,2010,110,51,15,24,16,3,1,312,219,63,30
620000,甘肃省,2009,,,,,,,,,,,
620000,甘肃省,2008,,,,,,,,,,,
620000,甘肃省,2007,,,,,,,,,,,
620000,甘肃省,2006,,,,,,,,,,,
620000,甘肃省,2005,,,,,,,,,,,
620000,甘肃省,2004,,,,,,,,,,,
620000,甘肃省,2003,,,,,,,,,,,
620000,甘肃省,2002,,,,,,,,,,,
620000,甘肃省,2001,,,,,,,,,,,
620000,甘肃省,2000,,,,,,,,,,,
630000,青海省,2019,36,12,4,13,2,4,1,241,99,124,18
630000,青海省,2018,32,10,3,11,3,3,2,224,101,102,21
630000,青海省,2017,32,12,7,5,3,4,1,223,104,108,11
630000,青海省,2016,30,13,5,5,3,2,2,205,108,85,12
630000,青海省,2015,29,11,5,6,2,4,1,181,79,84,18
630000,青海省,2014,23,7,4,7,1,2,2,182,66,89,27
630000,青海省,2013,16,4,2,6,,3,1,161,48,88,25
630000,青海省,2012,16,4,3,5,,3,1,158,74,69,15
630000,青海省,2011,16,3,2,7,,2,2,153,76,67,10
630000,青海省,2010,14,2,2,7,,2,1,149,66,73,10
630000,青海省,2009,,,,,,,,,,,
630000,青海省,2008,,,,,,,,,,,
630000,青海省,2007,,,,,,,,,,,
630000,青海省,2006,,,,,,,,,,,
630000,青海省,2005,,,,,,,,,,,
630000,青海省,2004,,,,,,,,,,,
630000,青海省,2003,,,,,,,,,,,
630000,青海省,2002,,,,,,,,,,,
630000,青海省,2001,,,,,,,,,,,
630000,青海省,2000,,,,,,,,,,,
640000,宁夏回族自治区,2019,36,21,1,12,2,,,186,154,29,3
640000,宁夏回族自治区,2018,26,15,1,8,2,,,158,127,26,5
640000,宁夏回族自治区,2017,20,12,1,6,1,,,146,120,19,7
640000,宁夏回族自治区,2016,18,13,,4,,1,,124,97,22,5
640000,宁夏回族自治区,2015,16,12,,3,1,,,115,90,20,5
640000,宁夏回族自治区,2014,16,13,,2,1,,,106,86,14,6
640000,宁夏回族自治区,2013,12,10,,1,1,,,100,76,19,5
640000,宁夏回族自治区,2012,12,10,1,1,,,,95,71,20,4
640000,宁夏回族自治区,2011,10,7,2,1,,,,87,61,21,5
640000,宁夏回族自治区,2010,9,6,2,1,,,,87,65,17,5
640000,宁夏回族自治区,2009,,,,,,,,,,,
640000,宁夏回族自治区,2008,,,,,,,,,,,
640000,宁夏回族自治区,2007,,,,,,,,,,,
640000,宁夏回族自治区,2006,,,,,,,,,,,
640000,宁夏回族自治区,2005,,,,,,,,,,,
640000,宁夏回族自治区,2004,,,,,,,,,,,
640000,宁夏回族自治区,2003,,,,,,,,,,,
640000,宁夏回族自治区,2002,,,,,,,,,,,
640000,宁夏回族自治区,2001,,,,,,,,,,,
640000,宁夏回族自治区,2000,,,,,,,,,,,
650000,新疆维吾尔自治区,2019,187,101,2,44,21,11,8,722,604,100,18
650000,新疆维吾尔自治区,2018,185,107,4,35,23,6,10,654,561,74,19
650000,新疆维吾尔自治区,2017,189,105,4,46,19,8,7,624,551,57,16
650000,新疆维吾尔自治区,2016,185,106,2,45,17,9,6,645,580,49,16
650000,新疆维吾尔自治区,2015,185,108,3,44,16,9,5,615,563,37,15
650000,新疆维吾尔自治区,2014,183,106,2,43,18,9,5,608,551,41,16
650000,新疆维吾尔自治区,2013,181,107,5,40,14,10,5,613,569,30,14
650000,新疆维吾尔自治区,2012,165,91,5,37,13,14,5,579,544,22,13
650000,新疆维吾尔自治区,2011,145,77,1,34,15,13,5,538,487,32,19
650000,新疆维吾尔自治区,2010,139,74,2,30,16,12,5,502,449,33,20
650000,新疆维吾尔自治区,2009,,,,,,,,,,,
650000,新疆维吾尔自治区,2008,,,,,,,,,,,
650000,新疆维吾尔自治区,2007,,,,,,,,,,,
650000,新疆维吾尔自治区,2006,,,,,,,,,,,
650000,新疆维吾尔自治区,2005,,,,,,,,,,,
650000,新疆维吾尔自治区,2004,,,,,,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,,,,,,
