省份编码,省份,年份,村卫生室个数(个),村办的村卫生室个数(个),乡卫生院设点的村卫生室个数(个),联合办的村卫生室个数(个),私人办的村卫生室个数(个),其他办的村卫生室个数(个),设卫生室的村数占行政村数%(%)
610000,陕西省,2017,24978,19639,565,380,3806,588,100.0
610000,陕西省,2016,25412,19645,652,455,4020,640,
610000,陕西省,2015,25717,19413,691,605,4231,777,100.0
610000,陕西省,2014,25969,19502,719,607,4360,781,97.5984666266
610000,陕西省,2013,26018,19915,785,690,4519,109,97.2599155171769
610000,陕西省,2012,26883,20031,634,804,4842,572,99.9739680178505
610000,陕西省,2011,27174,19955,593,811,5252,563,100.0
610000,陕西省,2010,26699,19228,498,817,5685,471,97.8
610000,陕西省,2009,25292,,,,,,92.4
610000,陕西省,2008,,,,,,,
610000,陕西省,2007,,,,,,,
610000,陕西省,2006,,,,,,,
610000,陕西省,2005,,,,,,,
610000,陕西省,2004,21973,14563,28,1032,4615,1735,77.8
610000,陕西省,2003,21379,13656,25,1023,4286,2389,73.2
610000,陕西省,2002,,,,,,,
610000,陕西省,2001,28530,,,,,,88.2
610000,陕西省,2000,,,,,,,
620000,甘肃省,2019,16461,6344,4722,689,3094,1612,100.0
620000,甘肃省,2018,16487,6523,3849,723,3921,1471,100.0
620000,甘肃省,2017,17032,6806,3764,752,4022,1688,100.0
620000,甘肃省,2016,16748,6829,1637,995,5316,1971,
620000,甘肃省,2015,16744,6843,1668,992,5418,1823,100.0
620000,甘肃省,2014,16681,6987,1622,958,5475,1639,100.0
620000,甘肃省,2013,16752,8571,1344,1088,5307,442,100.0
620000,甘肃省,2012,16711,8555,1304,1098,5369,385,100.0
620000,甘肃省,2011,16574,8448,1201,1052,5510,363,100.0
620000,甘肃省,2010,16415,8402,1008,1008,5615,382,100.0
620000,甘肃省,2009,15087,,,,,,93.4
620000,甘肃省,2008,,,,,,,
620000,甘肃省,2007,,,,,,,
620000,甘肃省,2006,,,,,,,
620000,甘肃省,2005,,,,,,,
620000,甘肃省,2004,13411,7907,575,874,3945,110,78.8
620000,甘肃省,2003,12890,7819,746,447,3802,76,72.7
620000,甘肃省,2002,,,,,,,
620000,甘肃省,2001,21870,,,,,,93.6
620000,甘肃省,2000,,,,,,,
630000,青海省,2019,4510,1778,700,621,908,503,100.0
630000,青海省,2018,4474,1789,636,596,927,526,100.0
630000,青海省,2017,4518,1823,625,581,1041,448,100.0
630000,青海省,2016,4518,1651,522,538,1057,750,
630000,青海省,2015,4491,1813,596,571,1072,439,100.0
630000,青海省,2014,4481,1820,595,571,1060,435,100.0
630000,青海省,2013,4354,2102,471,723,885,173,100.0
630000,青海省,2012,4314,2069,457,724,915,149,100.0
630000,青海省,2011,4289,2056,419,735,944,135,100.0
630000,青海省,2010,4243,1995,408,708,1002,130,100.0
630000,青海省,2009,4376,,,,,,100.0
630000,青海省,2008,,,,,,,
630000,青海省,2007,,,,,,,
630000,青海省,2006,,,,,,,
630000,青海省,2005,,,,,,,
630000,青海省,2004,4243,1812,24,224,2178,5,100.0
630000,青海省,2003,4100,2236,21,224,1614,5,99.3
630000,青海省,2002,,,,,,,
630000,青海省,2001,4051,,,,,,95.8
630000,青海省,2000,,,,,,,
640000,宁夏回族自治区,2019,2173,825,514,186,346,302,96.1930057547587
640000,宁夏回族自治区,2018,2300,818,467,215,472,328,100.0
640000,宁夏回族自治区,2017,2301,707,411,213,641,329,100.0
640000,宁夏回族自治区,2016,2365,721,345,207,757,335,
640000,宁夏回族自治区,2015,2453,774,340,209,777,353,100.0
640000,宁夏回族自治区,2014,2455,769,363,212,843,268,100.0
640000,宁夏回族自治区,2013,2461,853,219,193,1098,98,100.0
640000,宁夏回族自治区,2012,2431,876,181,118,1163,93,100.0
640000,宁夏回族自治区,2011,2527,882,139,119,1303,84,100.0
640000,宁夏回族自治区,2010,2544,839,122,115,1402,66,100.0
640000,宁夏回族自治区,2009,2547,,,,,,100.0
640000,宁夏回族自治区,2008,,,,,,,
640000,宁夏回族自治区,2007,,,,,,,
640000,宁夏回族自治区,2006,,,,,,,
640000,宁夏回族自治区,2005,,,,,,,
640000,宁夏回族自治区,2004,2529,1050,41,67,1341,30,100.0
640000,宁夏回族自治区,2003,2318,1078,34,144,1038,24,87.0
640000,宁夏回族自治区,2002,,,,,,,
640000,宁夏回族自治区,2001,2523,,,,,,94.7
640000,宁夏回族自治区,2000,,,,,,,
650000,新疆维吾尔自治区,2019,10063,2014,5863,965,437,784,100.0
650000,新疆维吾尔自治区,2018,10146,2041,5459,1058,503,1085,100.0
650000,新疆维吾尔自治区,2017,10363,1712,5673,1231,534,1213,100.0
650000,新疆维吾尔自治区,2016,10432,1713,5735,1233,557,1194,
650000,新疆维吾尔自治区,2015,10439,1705,5779,1241,561,1153,100.0
650000,新疆维吾尔自治区,2014,10588,1706,5777,1242,564,1299,100.0
650000,新疆维吾尔自治区,2013,10567,1762,5777,1302,580,1146,100.0
650000,新疆维吾尔自治区,2012,10500,1756,5654,1267,599,1224,100.0
650000,新疆维吾尔自治区,2011,9825,1689,5120,1301,629,1086,100.0
650000,新疆维吾尔自治区,2010,8350,1492,4090,961,706,1101,94.9
650000,新疆维吾尔自治区,2009,6956,,,,,,78.8
650000,新疆维吾尔自治区,2008,,,,,,,
650000,新疆维吾尔自治区,2007,,,,,,,
650000,新疆维吾尔自治区,2006,,,,,,,
650000,新疆维吾尔自治区,2005,,,,,,,
650000,新疆维吾尔自治区,2004,4753,1600,1134,1144,586,289,53.0
650000,新疆维吾尔自治区,2003,4609,1651,1430,774,589,165,48.7
650000,新疆维吾尔自治区,2002,,,,,,,
650000,新疆维吾尔自治区,2001,7932,,,,,,84.8
650000,新疆维吾尔自治区,2000,,,,,,,
