省份编码,省份,年份,公共电视节目套数(套),付费电视节目套数(套),全年公共电视节目播出时间(小时),全年制作电视节目时间(小时),全年电视剧播出部数(万部),全年电视剧播出集数(万集),进口电视剧播出部数(部),进口电视剧播出集数(万集),全年动画电视播出小时数(小时),进口动画播出小时数(小时)
510000,四川省,2011,204,,1038580.7,104908.95,1.8359,48.3878,298,0.996,17890.9333333333,990.25
510000,四川省,2010,205,,993456.85,109491,1.9094,49.6762,499,1.1597,,
510000,四川省,2009,203,,928740.25,109624,1.738,43.9413,693,1.2538,,
510000,四川省,2008,170,,835416.4,106873,1.5966,37.9091,488,1.2119,,
510000,四川省,2007,,,,,,,,,,
510000,四川省,2006,,,,,,,,,,
510000,四川省,2005,,,,,,,,,,
510000,四川省,2004,,,,,,,,,,
510000,四川省,2003,,,,,,,,,,
510000,四川省,2002,,,,,,,,,,
510000,四川省,2001,,,,,,,,,,
510000,四川省,2000,,,,,,,,,,
520000,贵州省,2019,104,,,,0.4183,,13,,8230,260
520000,贵州省,2018,104,,,,0.46,,20,,7972,40
520000,贵州省,2017,103,,,,0.5196,,32,,6394.4,
520000,贵州省,2016,103,,,,0.2658,,65,,2826.67,
520000,贵州省,2015,103,,,,0.2381,,50,,2505.85,
520000,贵州省,2014,102,,,,0.2141,,50,,2001.25,
520000,贵州省,2013,102,,,,0.2471,,107,,2038.08333333333,
520000,贵州省,2012,101,,240031,46149,0.2619,,115,,2484,
520000,贵州省,2011,101,,227163.016666667,31043.1333333333,0.2663,6.4549,127,0.26,2733.25,50
520000,贵州省,2010,101,,246874.133333333,43501,0.3003,7.2443,140,0.386,,
520000,贵州省,2009,100,,234894.683333333,37405,0.2675,6.2878,84,0.3217,,
520000,贵州省,2008,99,,247815.3,39987,0.2701,5.5907,153,0.5045,,
520000,贵州省,2007,,,,,,,,,,
520000,贵州省,2006,,,,,,,,,,
520000,贵州省,2005,,,,,,,,,,
520000,贵州省,2004,,,,,,,,,,
520000,贵州省,2003,,,,,,,,,,
520000,贵州省,2002,,,,,,,,,,
520000,贵州省,2001,,,,,,,,,,
520000,贵州省,2000,,,,,,,,,,
530000,云南省,2019,183,,,,0.7735,,,,19011,90
530000,云南省,2018,174,,,,0.9559,,42,,17940,173
530000,云南省,2017,175,,,,0.9138,,,,16161.08,538
530000,云南省,2016,173,,,,1.0885,,3,,11024.17,373.33
530000,云南省,2015,163,,,,1.0951,,1,,9655.8666666667,318.3333333333
530000,云南省,2014,158,,,,1.0359,,5,,10287.8,365
530000,云南省,2013,159,,,,0.9936,,,,10274.6666666667,347.333333333333
530000,云南省,2012,159,,773078,97612,0.9984,,,,9319,243
530000,云南省,2011,158,,767825.466666667,95342.5166666667,1.0064,26.3715,,0.0,10162.3333333333,
530000,云南省,2010,158,,744111.516666667,95029,0.9812,25.1246,61,0.2716,,
530000,云南省,2009,162,,720879.9,89150,0.9625,22.8398,73,0.2928,,
530000,云南省,2008,157,,663781.383333333,92180,0.8023,19.5908,121,0.3884,,
530000,云南省,2007,,,,,,,,,,
530000,云南省,2006,,,,,,,,,,
530000,云南省,2005,,,,,,,,,,
530000,云南省,2004,,,,,,,,,,
530000,云南省,2003,,,,,,,,,,
530000,云南省,2002,,,,,,,,,,
530000,云南省,2001,,,,,,,,,,
530000,云南省,2000,,,,,,,,,,
540000,西藏自治区,2019,82,,,,0.1388,,,,1739,
540000,西藏自治区,2018,82,,,,0.0757,,,,4103,
540000,西藏自治区,2017,44,,,,0.0385,,,,4246,
540000,西藏自治区,2016,14,,,,0.0602,,,,1265.7,
540000,西藏自治区,2015,14,,,,0.0711,,,,837,
540000,西藏自治区,2014,12,,,,0.0738,,,,652,
540000,西藏自治区,2013,12,,,,0.0674,,3,,877,
540000,西藏自治区,2012,10,,45620,8438,0.0568,,1,,587,
540000,西藏自治区,2011,10,,45594,7097,0.0521,1.1415,,0.0,514,
540000,西藏自治区,2010,10,,47044,5623,0.0495,1.1245,,0.0,,
540000,西藏自治区,2009,10,,45845.5833333333,5504,0.0474,1.0991,33,0.08,,
540000,西藏自治区,2008,10,,43225.8333333333,5316,0.0546,0.4109,39,0.0984,,
540000,西藏自治区,2007,,,,,,,,,,
540000,西藏自治区,2006,,,,,,,,,,
540000,西藏自治区,2005,,,,,,,,,,
540000,西藏自治区,2004,,,,,,,,,,
540000,西藏自治区,2003,,,,,,,,,,
540000,西藏自治区,2002,,,,,,,,,,
540000,西藏自治区,2001,,,,,,,,,,
540000,西藏自治区,2000,,,,,,,,,,
610000,陕西省,2019,117,,,,0.7263,,5,,6832,
610000,陕西省,2018,122,,,,0.8,,,,5455,
610000,陕西省,2017,122,,,,0.7599,,,,6597.65,
610000,陕西省,2016,123,,,,0.8686,,,,6052.58,
610000,陕西省,2015,123,,,,0.9278,,,,6476.1,
610000,陕西省,2014,123,,,,0.7243,,,,7709.7333333333,
610000,陕西省,2013,123,,,,0.8559,,12,,6775.25,
610000,陕西省,2012,123,,597998,102135,0.8261,,29,,6599,
610000,陕西省,2011,123,,586010.233333333,107374.95,0.9205,26.0463,14,0.0315,7503.73333333333,
610000,陕西省,2010,123,,577862.016666667,83275,0.755,17.6025,15,0.0315,,
610000,陕西省,2009,123,,557044.433333333,79415,0.7032,17.7507,29,0.1138,,
610000,陕西省,2008,123,,546678.85,73746,0.7267,17.9419,44,0.0912,,
610000,陕西省,2007,,,,,,,,,,
610000,陕西省,2006,,,,,,,,,,
610000,陕西省,2005,,,,,,,,,,
610000,陕西省,2004,,,,,,,,,,
610000,陕西省,2003,,,,,,,,,,
610000,陕西省,2002,,,,,,,,,,
610000,陕西省,2001,,,,,,,,,,
610000,陕西省,2000,,,,,,,,,,
620000,甘肃省,2019,116,,,,0.6085,,7,,11361,150
620000,甘肃省,2018,117,,,,0.6852,,6,,12761,286
620000,甘肃省,2017,111,,,,0.7068,,15,,12684.87,278
620000,甘肃省,2016,111,,,,0.7257,,10,,9893.78,120
620000,甘肃省,2015,110,,,,0.7414,,100,,9644.1,120
620000,甘肃省,2014,107,,,,0.6646,,110,,9562.3333333333,120
620000,甘肃省,2013,106,,,,0.6773,,5,,8290.95,
620000,甘肃省,2012,106,,435812,58226,0.7069,,10,,11039,73
620000,甘肃省,2011,106,,423256.85,59424.2666666667,0.6709,18.674,54,0.1918,9121.13333333333,92
620000,甘肃省,2010,104,,414821.566666667,58860,0.6293,17.2196,37,0.133,,
620000,甘肃省,2009,103,,392990.75,59015,0.7287,17.2457,33,0.1052,,
620000,甘肃省,2008,103,,382499.666666667,59385,0.5763,15.2227,75,0.199,,
620000,甘肃省,2007,,,,,,,,,,
620000,甘肃省,2006,,,,,,,,,,
620000,甘肃省,2005,,,,,,,,,,
620000,甘肃省,2004,,,,,,,,,,
620000,甘肃省,2003,,,,,,,,,,
620000,甘肃省,2002,,,,,,,,,,
620000,甘肃省,2001,,,,,,,,,,
620000,甘肃省,2000,,,,,,,,,,
630000,青海省,2019,50,,,,0.213,,,,4982,
630000,青海省,2018,50,,,,0.1951,,,,3775,
630000,青海省,2017,46,,,,0.1739,,2,,3199.25,
630000,青海省,2016,17,,,,0.1102,,,,2100.37,
630000,青海省,2015,17,,,,0.124,,20,,2156.8333333333,
630000,青海省,2014,16,,,,0.1048,,1,,2407.6333333333,
630000,青海省,2013,16,,,,0.0973,,,,2075.06666666667,
630000,青海省,2012,15,,89285,19073,0.1164,,4,,1430,
630000,青海省,2011,13,,69344.3333333333,21917.3333333333,0.1065,3.1288,16,0.0559,1334.33333333333,
630000,青海省,2010,13,,69724,19093,0.1033,3.3297,7,0.034,,
630000,青海省,2009,13,,66811.5,26932,0.105,3.3201,14,0.034,,
630000,青海省,2008,13,,68437.5833333333,15496,0.0806,3.0867,13,0.032,,
630000,青海省,2007,,,,,,,,,,
630000,青海省,2006,,,,,,,,,,
630000,青海省,2005,,,,,,,,,,
630000,青海省,2004,,,,,,,,,,
630000,青海省,2003,,,,,,,,,,
630000,青海省,2002,,,,,,,,,,
630000,青海省,2001,,,,,,,,,,
630000,青海省,2000,,,,,,,,,,
640000,宁夏回族自治区,2019,29,,,,0.2114,,,,5148,
640000,宁夏回族自治区,2018,30,,,,0.2105,,,,4728,354
640000,宁夏回族自治区,2017,29,,,,0.2206,,,,5124.08,547
640000,宁夏回族自治区,2016,28,,,,0.212,,,,5268.25,450
640000,宁夏回族自治区,2015,28,,,,0.2111,,3,,5359.8333333333,450
640000,宁夏回族自治区,2014,28,,,,0.2492,,15,,4290.45,17.3333333333
640000,宁夏回族自治区,2013,28,,,,0.2026,,12,,3773.5,
640000,宁夏回族自治区,2012,28,,153742,23986,0.1823,,15,,4687,
640000,宁夏回族自治区,2011,28,,153113,25111.7166666667,0.1795,4.3991,20,0.0922,4857,
640000,宁夏回族自治区,2010,28,,152501.416666667,28362,0.1773,4.3103,27,0.1179,,
640000,宁夏回族自治区,2009,28,,148463.166666667,27445,0.1885,4.3642,2,0.0885,,
640000,宁夏回族自治区,2008,28,,146928.916666667,34506,0.2081,4.4941,16,0.1195,,
640000,宁夏回族自治区,2007,,,,,,,,,,
640000,宁夏回族自治区,2006,,,,,,,,,,
640000,宁夏回族自治区,2005,,,,,,,,,,
640000,宁夏回族自治区,2004,,,,,,,,,,
640000,宁夏回族自治区,2003,,,,,,,,,,
640000,宁夏回族自治区,2002,,,,,,,,,,
640000,宁夏回族自治区,2001,,,,,,,,,,
640000,宁夏回族自治区,2000,,,,,,,,,,
650000,新疆维吾尔自治区,2019,216,,,,1.3506,,19,,28419,429
650000,新疆维吾尔自治区,2018,219,,,,1.511,,55,,23837,718
650000,新疆维吾尔自治区,2017,220,,,,1.9277,,305,,23455.08,743
650000,新疆维吾尔自治区,2016,221,,,,1.7964,,857,,23688.45,1630.5
650000,新疆维吾尔自治区,2015,220,,,,1.7092,,854,,23819.9666666667,1841.8333333333
650000,新疆维吾尔自治区,2014,216,,,,1.7389,,859,,22507.1666666667,1637.5
650000,新疆维吾尔自治区,2013,192,,,,1.8357,,992,,20247.5833333333,1440.15
650000,新疆维吾尔自治区,2012,198,,967134,92503,1.9643,,1280,,18669,1398
650000,新疆维吾尔自治区,2011,198,,949265,85002.9166666667,2.0641,48.0871,1717,3.2093,16899.2166666667,1427.38333333333
650000,新疆维吾尔自治区,2010,196,,937133.6,76467,2.6705,48.3959,3243,3.9215,,
650000,新疆维吾尔自治区,2009,188,,853774.566666667,66321,2.0215,44.81,3214,5.921,,
650000,新疆维吾尔自治区,2008,193,,577684.816666667,55789,1.6998,27.8003,694,1.1214,,
650000,新疆维吾尔自治区,2007,,,,,,,,,,
650000,新疆维吾尔自治区,2006,,,,,,,,,,
650000,新疆维吾尔自治区,2005,,,,,,,,,,
650000,新疆维吾尔自治区,2004,,,,,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,,,,,
