省份编码,省份,年份,总户数(人口抽样调查)(户),家庭户户数(人口抽样调查)(户),集体户户数(人口抽样调查)(户),家庭户人口数(人口抽样调查)(人),家庭户男性人口数(人口抽样调查)(人),家庭户女性人口数(人口抽样调查)(人),集体户人口数(人口抽样调查)(人),集体户男性人口数(人口抽样调查)(人),集体户女性人口数(人口抽样调查)(人)
460000,海南省,2005,28422,27779,644,106797,56085,50712,2804,1440,1364
460000,海南省,2004,1900,1876,24,7800,4060,3739,117,69,47
460000,海南省,2003,1983,1958,25,7786,4112,3674,153,105,48
460000,海南省,2002,1860,1829,30,7732,4067,3665,160,69,92
460000,海南省,2001,,,,,,,,,
460000,海南省,2000,,,,,,,,,
500000,重庆市,2019,8584,8536,47,24081,12025,12057,192,122,70
500000,重庆市,2018,8685,8590,96,24920,12501,12419,496,229,267
500000,重庆市,2017,9099,9044,55,25142,12553,12589,196,89,107
500000,重庆市,2016,9209,9132,77,25129,12700,12430,430,292,138
500000,重庆市,2015,159905,152828,7077,435853,219030,216824,32710,15956,16753
500000,重庆市,2014,8952,8678,274,23578,11986,11592,1109,710,399
500000,重庆市,2013,9071,8771,300,23315,11843,11472,1197,651,546
500000,重庆市,2012,9081,8892,188,23774,11966,11808,799,404,395
500000,重庆市,2011,8787,8609,178,23969,12085,11884,970,631,339
500000,重庆市,2010,,,,,,,,,
500000,重庆市,2009,9136,9053,83,24935,12622,12313,349,61,288
500000,重庆市,2008,8852,8798,54,25376,12821,12554,169,56,112
500000,重庆市,2007,8883,8816,67,25669,12995,12673,181,93,88
500000,重庆市,2006,8712,8626,86,25672,13055,12616,334,112,222
500000,重庆市,2005,130399,129342,1057,366415,183737,182678,3951,2886,1065
500000,重庆市,2004,10477,10467,10,30523,15204,15319,30,19,11
500000,重庆市,2003,8954,8941,13,30649,15585,15064,64,40,24
500000,重庆市,2002,9165,9157,9,30693,15669,15024,31,20,11
500000,重庆市,2001,,,,,,,,,
500000,重庆市,2000,,,,,,,,,
510000,四川省,2019,23555,23283,273,64069,31670,32399,1161,403,758
510000,四川省,2018,23359,23142,217,67227,33424,33804,1116,520,596
510000,四川省,2017,23096,22756,340,67106,33777,33328,1504,856,648
510000,四川省,2016,22929,22751,178,68636,34421,34215,821,261,560
510000,四川省,2015,413182,398375,14807,1203114,601755,601359,74174,39718,34457
510000,四川省,2014,24765,24259,506,65198,32582,32616,1981,707,1274
510000,四川省,2013,24136,23612,524,65186,32826,32361,1718,1286,432
510000,四川省,2012,22925,22423,502,63841,32229,31611,3546,3063,483
510000,四川省,2011,23453,22994,459,65029,32539,32490,3748,2595,1153
510000,四川省,2010,,,,,,,,,
510000,四川省,2009,24042,23894,148,71883,36112,35771,588,291,298
510000,四川省,2008,24279,24055,224,72861,36883,35977,861,458,403
510000,四川省,2007,24827,24750,77,74924,37654,37270,277,159,118
510000,四川省,2006,25558,25404,154,75575,38073,37502,749,696,53
510000,四川省,2005,368516,366256,2260,1079070,537480,541591,7939,4498,3441
510000,四川省,2004,25380,25268,112,84362,42534,41828,557,313,244
510000,四川省,2003,25825,25758,67,85388,43290,42098,350,202,148
510000,四川省,2002,26219,26133,86,85250,42724,42527,454,250,203
510000,四川省,2001,,,,,,,,,
510000,四川省,2000,,,,,,,,,
520000,贵州省,2019,8891,8843,48,28041,14500,13542,204,128,76
520000,贵州省,2018,9034,8991,43,29292,15273,14019,194,130,64
520000,贵州省,2017,8704,8630,75,29372,15198,14175,240,125,115
520000,贵州省,2016,8986,8940,46,29753,15332,14421,161,106,55
520000,贵州省,2015,160492,156383,4109,529135,271976,257159,21037,12571,8465
520000,贵州省,2014,9075,8917,158,27557,14409,13148,1393,397,996
520000,贵州省,2013,9296,9099,197,27970,14501,13469,935,443,491
520000,贵州省,2012,9288,9185,103,28495,14466,14028,576,469,107
520000,贵州省,2011,9236,9155,81,28448,14737,13711,1188,920,268
520000,贵州省,2010,,,,,,,,,
520000,贵州省,2009,9335,9316,19,33676,17397,16279,104,67,37
520000,贵州省,2008,9465,9451,14,34065,17694,16370,61,42,19
520000,贵州省,2007,9763,9741,22,34521,17852,16669,66,36,30
520000,贵州省,2006,9717,9671,46,34549,17851,16698,117,67,50
520000,贵州省,2005,142854,142031,823,490715,252090,238626,3000,2113,887
520000,贵州省,2004,10350,10323,27,37682,19522,18160,98,49,49
520000,贵州省,2003,10372,10348,24,37852,19610,18242,81,53,28
520000,贵州省,2002,10286,10270,15,37618,19444,18174,68,46,22
520000,贵州省,2001,,,,,,,,,
520000,贵州省,2000,,,,,,,,,
530000,云南省,2019,11482,11313,170,37105,18956,18149,769,365,404
530000,云南省,2018,11840,11683,157,38592,19783,18808,993,740,253
530000,云南省,2017,11090,10831,259,38260,19661,18599,1449,902,547
530000,云南省,2016,11282,11002,279,39058,19907,19152,1082,378,704
530000,云南省,2015,207401,199586,7815,696533,354952,341581,42079,23324,18755
530000,云南省,2014,11638,11489,149,37947,19448,18499,955,514,441
530000,云南省,2013,11739,11606,133,38077,19616,18461,602,428,175
530000,云南省,2012,11746,11450,296,37301,19270,18031,1574,723,851
530000,云南省,2011,11701,11401,300,37699,19340,18359,1865,839,1026
530000,云南省,2010,,,,,,,,,
530000,云南省,2009,11327,11180,147,40080,20753,19327,379,255,124
530000,云南省,2008,11277,11121,156,40325,20752,19573,623,538,85
530000,云南省,2007,11279,11169,110,40767,21002,19765,502,264,238
530000,云南省,2006,11366,11248,118,40938,21165,19773,421,229,192
530000,云南省,2005,163945,161443,2502,578788,298092,280695,10251,5801,4450
530000,云南省,2004,11486,11468,19,42657,21581,21075,63,36,27
530000,云南省,2003,10866,10822,44,42641,22248,20393,195,126,69
530000,云南省,2002,11187,11157,30,42325,21857,20468,204,89,115
530000,云南省,2001,,,,,,,,,
530000,云南省,2000,,,,,,,,,
540000,西藏自治区,2019,665,656,9,2708,1355,1353,35,19,16
540000,西藏自治区,2018,729,716,13,2767,1372,1395,50,29,21
540000,西藏自治区,2017,695,686,9,2735,1370,1365,62,34,28
540000,西藏自治区,2016,686,675,10,2721,1363,1357,69,46,22
540000,西藏自治区,2015,12066,11513,553,47581,23638,23943,3053,1970,1083
540000,西藏自治区,2014,642,642,,2620,1317,1303,,,
540000,西藏自治区,2013,636,632,4,2562,1300,1262,14,8,5
540000,西藏自治区,2012,630,627,3,2552,1271,1281,15,4,10
540000,西藏自治区,2011,611,598,13,2516,1270,1246,75,53,22
540000,西藏自治区,2010,,,,,,,,,
540000,西藏自治区,2009,543,543,,2556,1256,1300,,,
540000,西藏自治区,2008,560,560,,2576,1253,1323,,,
540000,西藏自治区,2007,550,550,,2587,1270,1317,,,
540000,西藏自治区,2006,530,526,4,2552,1246,1306,23,13,10
540000,西藏自治区,2005,7282,7227,55,36346,17951,18395,320,198,123
540000,西藏自治区,2004,549,549,,2635,1284,1350,1,1,
540000,西藏自治区,2003,538,537,1,2625,1256,1369,13,10,3
540000,西藏自治区,2002,616,615,2,2604,1253,1351,5,3,2
540000,西藏自治区,2001,,,,,,,,,
540000,西藏自治区,2000,,,,,,,,,
610000,陕西省,2019,10053,9921,131,29604,14829,14775,553,472,81
610000,陕西省,2018,10434,10193,241,30407,15235,15172,1276,644,632
610000,陕西省,2017,10090,9813,277,30310,15407,14903,1339,207,1132
610000,陕西省,2016,9758,9510,248,30710,15580,15130,1304,580,725
610000,陕西省,2015,181904,171859,10046,539791,272628,267163,49555,25814,23741
610000,陕西省,2014,10124,9918,206,30481,15539,14942,674,569,105
610000,陕西省,2013,10203,10032,171,30584,15609,14975,478,303,175
610000,陕西省,2012,10107,9962,145,30574,15740,14834,742,453,289
610000,陕西省,2011,9983,9715,268,30724,15732,14992,1251,678,574
610000,陕西省,2010,,,,,,,,,
610000,陕西省,2009,10557,10424,133,32923,16676,16246,581,289,293
610000,陕西省,2008,10616,10540,76,33636,17041,16595,362,192,171
610000,陕西省,2007,10654,10602,52,34130,17194,16936,253,130,123
610000,陕西省,2006,10625,10533,92,34111,17150,16961,464,239,224
610000,陕西省,2005,151049,149873,1176,488076,246030,242046,4334,2629,1705
610000,陕西省,2004,9956,9921,35,35763,18360,17403,258,165,94
610000,陕西省,2003,10166,10101,65,35947,18373,17574,367,244,123
610000,陕西省,2002,9965,9920,45,36077,18508,17569,220,149,71
610000,陕西省,2001,,,,,,,,,
610000,陕西省,2000,,,,,,,,,
620000,甘肃省,2019,6105,6000,105,20113,10068,10045,529,365,163
620000,甘肃省,2018,6265,6156,108,21126,10680,10446,488,321,167
620000,甘肃省,2017,6479,6449,30,21636,10991,10645,84,43,41
620000,甘肃省,2016,6374,6353,21,21887,11097,10791,73,38,35
620000,甘肃省,2015,112147,107046,5101,377899,191674,186225,26965,16826,10139
620000,甘肃省,2014,6257,6194,63,20741,10650,10091,640,432,208
620000,甘肃省,2013,6280,6222,57,20862,10673,10189,449,275,174
620000,甘肃省,2012,6593,6533,61,21038,10742,10296,469,325,144
620000,甘肃省,2011,6679,6593,86,21375,11001,10374,533,383,150
620000,甘肃省,2010,,,,,,,,,
620000,甘肃省,2009,6541,6531,10,23382,11903,11479,23,18,5
620000,甘肃省,2008,6594,6587,7,23717,11997,11720,22,13,9
620000,甘肃省,2007,6496,6494,2,23980,12159,11820,10,2,8
620000,甘肃省,2006,6489,6476,13,24069,12182,11888,40,23,16
620000,甘肃省,2005,93512,92736,775,340445,171212,169233,2919,2024,896
620000,甘肃省,2004,6468,6453,15,25341,13052,12289,68,43,24
620000,甘肃省,2003,6412,6384,28,25409,13065,12345,219,81,138
620000,甘肃省,2002,6427,6416,11,25491,13077,12414,55,38,17
620000,甘肃省,2001,,,,,,,,,
620000,甘肃省,2000,,,,,,,,,
630000,青海省,2019,1526,1508,18,4674,2402,2272,59,44,15
630000,青海省,2018,1523,1485,39,4821,2482,2340,123,89,34
630000,青海省,2017,1471,1459,11,4908,2518,2390,31,22,9
630000,青海省,2016,1482,1471,11,4945,2534,2411,42,30,12
630000,青海省,2015,26200,24792,1408,85696,43473,42223,5915,4367,1548
630000,青海省,2014,1496,1461,35,4663,2380,2283,151,40,111
630000,青海省,2013,1414,1394,20,4693,2380,2313,75,49,26
630000,青海省,2012,1408,1374,34,4669,2376,2293,114,89,25
630000,青海省,2011,1372,1316,56,4599,2348,2251,255,110,145
630000,青海省,2010,,,,,,,,,
630000,青海省,2009,1379,1359,20,4861,2441,2421,72,41,31
630000,青海省,2008,1365,1353,12,4963,2497,2465,45,26,18
630000,青海省,2007,1381,1371,10,5003,2531,2472,42,25,17
630000,青海省,2006,1377,1364,13,5002,2530,2472,46,33,13
630000,青海省,2005,19566,19245,321,70595,35590,35005,1308,738,570
630000,青海省,2004,1346,1337,9,5187,2656,2531,26,19,7
630000,青海省,2003,1335,1329,6,5189,2639,2550,36,27,9
630000,青海省,2002,1256,1248,8,5130,2613,2517,59,48,11
630000,青海省,2001,,,,,,,,,
630000,青海省,2000,,,,,,,,,
640000,宁夏回族自治区,2019,1752,1741,11,5352,2751,2601,53,30,23
640000,宁夏回族自治区,2018,1747,1722,26,5461,2789,2672,177,6,172
640000,宁夏回族自治区,2017,1772,1731,41,5380,2754,2626,247,16,232
640000,宁夏回族自治区,2016,1783,1776,8,5634,2907,2727,32,17,14
640000,宁夏回族自治区,2015,31774,30513,1261,98074,49882,48192,5745,3580,2165
640000,宁夏回族自治区,2014,1710,1698,12,5428,2786,2642,32,21,11
640000,宁夏回族自治区,2013,1684,1675,10,5361,2726,2635,38,31,8
640000,宁夏回族自治区,2012,1600,1545,55,5177,2650,2526,223,109,114
640000,宁夏回族自治区,2011,1622,1566,56,5164,2649,2514,299,225,74
640000,宁夏回族自治区,2010,,,,,,,,,
640000,宁夏回族自治区,2009,1582,1571,11,5444,2772,2672,60,37,23
640000,宁夏回族自治区,2008,1549,1545,4,5520,2811,2710,13,6,7
640000,宁夏回族自治区,2007,1525,1520,5,5539,2810,2730,21,12,8
640000,宁夏回族自治区,2006,1509,1501,8,5493,2784,2709,46,38,8
640000,宁夏回族自治区,2005,22075,21917,158,78435,39417,39018,457,316,141
640000,宁夏回族自治区,2004,1542,1534,8,5632,2849,2782,30,13,17
640000,宁夏回族自治区,2003,1515,1503,12,5615,2851,2764,34,20,15
640000,宁夏回族自治区,2002,1484,1461,23,5499,2792,2707,86,66,20
640000,宁夏回族自治区,2001,,,,,,,,,
640000,宁夏回族自治区,2000,,,,,,,,,
650000,新疆维吾尔自治区,2019,5932,5859,73,19387,9741,9646,273,173,100
650000,新疆维吾尔自治区,2018,6560,6529,31,20246,10097,10149,130,78,51
650000,新疆维吾尔自治区,2017,6383,6339,43,20078,10143,9935,133,68,64
650000,新疆维吾尔自治区,2016,6046,6025,22,20082,10257,9824,83,46,37
650000,新疆维吾尔自治区,2015,110839,106374,4465,349747,177000,172747,17884,10526,7358
650000,新疆维吾尔自治区,2014,5924,5889,35,18870,9626,9244,99,67,32
650000,新疆维吾尔自治区,2013,5634,5583,51,18435,9382,9053,253,201,52
650000,新疆维吾尔自治区,2012,5900,5825,75,18407,9360,9046,223,136,87
650000,新疆维吾尔自治区,2011,5901,5798,103,18536,9447,9088,335,232,103
650000,新疆维吾尔自治区,2010,,,,,,,,,
650000,新疆维吾尔自治区,2009,5436,5422,14,18937,9596,9341,41,15,26
650000,新疆维吾尔自治区,2008,5387,5368,19,18955,9619,9335,50,30,20
650000,新疆维吾尔自治区,2007,5332,5317,15,18827,9567,9259,45,29,16
650000,新疆维吾尔自治区,2006,5180,5169,11,18648,9427,9220,34,25,9
650000,新疆维吾尔自治区,2005,76677,76020,657,264066,133565,130500,1750,1153,597
650000,新疆维吾尔自治区,2004,5414,5402,12,18842,9580,9262,38,25,13
650000,新疆维吾尔自治区,2003,5298,5229,69,18606,9421,9184,228,170,59
650000,新疆维吾尔自治区,2002,5648,5623,25,19689,9937,9752,110,72,37
650000,新疆维吾尔自治区,2001,,,,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,,,,
