省份编码,省份,年份,15岁及以上人口数(人口抽样调查)(人),15岁及以上男性人口数(人口抽样调查)(人),15岁及以上女性人口数(人口抽样调查)(人),15岁及以上文盲人口数(人口抽样调查)(人),15岁及以上男性文盲人口数(人口抽样调查)(人),15岁及以上女性文盲人口数(人口抽样调查)(人)
610000,陕西省,2014,26511,13590,12921,1508,441,1067
610000,陕西省,2013,26377,13409,12968,1132,317,815
610000,陕西省,2012,26912,13798,13115,1243,384,859
610000,陕西省,2011,27172,13772,13400,1410,461,950
610000,陕西省,2010,,,,,,
610000,陕西省,2009,28199,14063,14136,2030,632,1398
610000,陕西省,2008,28407,14153,14254,2326,690,1637
610000,陕西省,2007,28415,14068,14347,2525,713,1813
610000,陕西省,2006,28183,13888,14295,2635,771,1864
610000,陕西省,2005,396108,195982,200127,40903,12024,28879
610000,陕西省,2004,28886,14672,14215,3051,933,2118
610000,陕西省,2003,28725,14531,14194,3421,1092,2329
610000,陕西省,2002,28186,14305,13881,4385,1504,2881
610000,陕西省,2001,,,,,,
610000,陕西省,2000,,,,,,
620000,甘肃省,2019,17111,8586,8525,1794,457,1337
620000,甘肃省,2018,17812,8975,8837,1844,490,1354
620000,甘肃省,2017,17909,8960,8949,1642,444,1198
620000,甘肃省,2016,18235,9127,9109,1587,460,1127
620000,甘肃省,2015,335638,171228,164410,37969,11614,26355
620000,甘肃省,2014,17881,9186,8696,1546,469,1077
620000,甘肃省,2013,17709,9037,8672,1309,421,887
620000,甘肃省,2012,17947,9169,8778,1559,489,1070
620000,甘肃省,2011,18211,9355,8856,1778,566,1212
620000,甘肃省,2010,,,,,,
620000,甘肃省,2009,18985,9520,9465,3026,955,2071
620000,甘肃省,2008,18840,9368,9472,3349,1022,2327
620000,甘肃省,2007,19023,9503,9519,3677,1145,2532
620000,甘肃省,2006,18859,9377,9481,4201,1294,2907
620000,甘肃省,2005,263000,130485,132515,54780,16601,38180
620000,甘肃省,2004,19797,10086,9711,3844,1323,2521
620000,甘肃省,2003,19739,10066,9673,4013,1429,2584
620000,甘肃省,2002,19375,9842,9533,4090,1419,2670
620000,甘肃省,2001,,,,,,
620000,甘肃省,2000,,,,,,
630000,青海省,2019,3809,1966,1843,404,112,292
630000,青海省,2018,3978,2061,1917,407,118,289
630000,青海省,2017,3950,2027,1922,380,118,262
630000,青海省,2016,4004,2065,1938,538,192,347
630000,青海省,2015,73230,38321,34909,12178,4276,7903
630000,青海省,2014,3935,1964,1969,516,171,345
630000,青海省,2013,3821,1945,1876,517,173,345
630000,青海省,2012,3797,1944,1852,465,154,310
630000,青海省,2011,3856,1929,1927,409,133,275
630000,青海省,2010,,,,,,
630000,青海省,2009,3899,1944,1955,575,151,423
630000,青海省,2008,3919,1963,1956,654,191,463
630000,青海省,2007,3914,1966,1947,720,216,505
630000,青海省,2006,3908,1970,1938,754,235,519
630000,青海省,2005,54595,27343,27252,13143,4101,9042
630000,青海省,2004,3997,2027,1971,883,275,608
630000,青海省,2003,3937,1981,1957,924,280,643
630000,青海省,2002,3851,1970,1881,954,291,663
630000,青海省,2001,,,,,,
630000,青海省,2000,,,,,,
640000,宁夏回族自治区,2019,4284,2187,2097,359,103,256
640000,宁夏回族自治区,2018,4507,2200,2307,416,119,297
640000,宁夏回族自治区,2017,4593,2218,2375,330,88,242
640000,宁夏回族自治区,2016,4581,2345,2236,312,82,230
640000,宁夏回族自治区,2015,82957,42440,40517,7609,2254,5355
640000,宁夏回族自治区,2014,4382,2232,2151,353,101,252
640000,宁夏回族自治区,2013,4306,2178,2128,339,109,230
640000,宁夏回族自治区,2012,4246,2140,2106,318,100,218
640000,宁夏回族自治区,2011,4320,2264,2056,362,110,252
640000,宁夏回族自治区,2010,,,,,,
640000,宁夏回族自治区,2009,4328,2188,2140,428,128,300
640000,宁夏回族自治区,2008,4267,2154,2113,430,123,308
640000,宁夏回族自治区,2007,4255,2137,2118,587,167,420
640000,宁夏回族自治区,2006,4203,2121,2082,649,189,460
640000,宁夏回族自治区,2005,58454,29123,29330,10935,3271,7664
640000,宁夏回族自治区,2004,4200,2106,2094,657,201,456
640000,宁夏回族自治区,2003,4163,2094,2069,731,220,511
640000,宁夏回族自治区,2002,4093,2087,2006,716,222,495
640000,宁夏回族自治区,2001,,,,,,
640000,宁夏回族自治区,2000,,,,,,
650000,新疆维吾尔自治区,2019,14914,7439,7474,553,219,334
650000,新疆维吾尔自治区,2018,15765,7790,7975,580,215,365
650000,新疆维吾尔自治区,2017,15586,7838,7748,497,182,315
650000,新疆维吾尔自治区,2016,15624,7925,7699,591,219,373
650000,新疆维吾尔自治区,2015,287414,146113,141301,12818,5039,7779
650000,新疆维吾尔自治区,2014,14960,7621,7338,486,182,304
650000,新疆维吾尔自治区,2013,14795,7570,7225,598,234,364
650000,新疆维吾尔自治区,2012,14812,7538,7274,507,207,299
650000,新疆维吾尔自治区,2011,15107,7787,7320,541,221,320
650000,新疆维吾尔自治区,2010,,,,,,
650000,新疆维吾尔自治区,2009,14954,7555,7399,509,199,311
650000,新疆维吾尔自治区,2008,15026,7626,7400,698,277,421
650000,新疆维吾尔自治区,2007,14825,7501,7324,637,238,399
650000,新疆维吾尔自治区,2006,14475,7340,7135,964,389,574
650000,新疆维吾尔自治区,2005,203235,102669,100566,16919,6370,10549
650000,新疆维吾尔自治区,2004,14714,7489,7225,1038,422,616
650000,新疆维吾尔自治区,2003,14178,7220,6957,984,384,600
650000,新疆维吾尔自治区,2002,14891,7519,7373,1223,487,736
650000,新疆维吾尔自治区,2001,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,
