省份编码,省份,年份,15岁及以上人口数(人口抽样调查)(人),15岁及以上男性人口数(人口抽样调查)(人),15岁及以上女性人口数(人口抽样调查)(人),15岁及以上未婚人口数(人口抽样调查)(人),15岁及以上男性未婚人口数(人口抽样调查)(人),15岁及以上女性未婚人口数(人口抽样调查)(人),15岁及以上有配偶人口数(人口抽样调查)(人),15岁及以上男性有配偶人口数(人口抽样调查)(人),15岁及以上女性有配偶人口数(人口抽样调查)(人),15岁及以上初婚有配偶人口数(人口抽样调查)(人),15岁及以上男性初婚有配偶人口数(人口抽样调查)(人),15岁及以上女性初婚有配偶人口数(人口抽样调查)(人),15岁及以上再婚有配偶人口数(人口抽样调查)(人),15岁及以上男性再婚有配偶人口数(人口抽样调查)(人),15岁及以上女性再婚有配偶人口数(人口抽样调查)(人),15岁及以上离婚人口数(人口抽样调查)(人),15岁及以上男性离婚人口数(人口抽样调查)(人),15岁及以上女性离婚人口数(人口抽样调查)(人),15岁及以上丧偶人口数(人口抽样调查)(人),15岁及以上男性丧偶人口数(人口抽样调查)(人),15岁及以上女性丧偶人口数(人口抽样调查)(人)
340000,安徽省,2010,,,,,,,,,,,,,,,,,,,,,
340000,安徽省,2009,44116,22139,21977,8111,4979,3132,,,,32128,15619,16509,596,254,342,407,283,124,2874,1004,1870
340000,安徽省,2008,44335,22090,22244,7535,4441,3094,,,,32804,16110,16694,649,293,356,407,275,132,2940,972,1968
340000,安徽省,2007,44509,21805,22704,7752,4331,3421,,,,32811,15952,16858,655,289,366,367,261,106,2924,971,1953
340000,安徽省,2006,44746,22133,22613,8382,4947,3435,,,,32407,15719,16688,674,283,391,336,246,90,2948,938,2009
340000,安徽省,2005,623028,303519,319509,107540,63216,44325,,,,459328,219875,239453,10094,4183,5911,4305,2896,1409,41760,13349,28412
340000,安徽省,2004,49000,24669,24331,8743,5189,3554,,,,36207,17962,18245,641,297,344,440,314,125,2969,906,2063
340000,安徽省,2003,48983,24798,24186,9923,5989,3934,,,,35195,17374,17821,666,305,362,422,249,173,2776,881,1895
340000,安徽省,2002,47593,23887,23706,8728,5180,3548,,,,34834,17250,17584,572,214,359,348,259,89,3110,983,2127
340000,安徽省,2001,,,,,,,,,,,,,,,,,,,,,
340000,安徽省,2000,,,,,,,,,,,,,,,,,,,,,
350000,福建省,2019,25661,13132,12529,3642,2397,1245,20196,10172,10024,,,,,,,472,265,207,1351,298,1053
350000,福建省,2018,26907,13845,13063,4458,2885,1573,20555,10367,10188,,,,,,,470,261,209,1425,332,1093
350000,福建省,2017,26265,13205,13060,4594,2688,1906,19863,9960,9903,,,,,,,436,234,202,1373,323,1049
350000,福建省,2016,26534,13292,13241,4207,2537,1670,20412,10164,10248,,,,,,,409,227,183,1506,366,1140
350000,福建省,2015,491456,249598,241858,95280,57892,37388,359561,179761,179800,,,,,,,6622,3720,2902,26110,6238,19872
350000,福建省,2014,25884,13328,12554,4518,2761,1756,,,,19440,9881,9558,454,219,235,308,180,128,1164,287,877
350000,福建省,2013,25899,13292,12606,4759,2912,1847,,,,19181,9718,9462,427,214,214,269,150,119,1263,298,964
350000,福建省,2012,26044,12967,13077,5002,2834,2167,,,,18985,9449,9536,390,194,195,301,169,132,1367,320,1047
350000,福建省,2011,26774,13033,13740,6532,3082,3450,,,,18373,9276,9098,339,173,166,268,151,117,1261,351,909
350000,福建省,2010,,,,,,,,,,,,,,,,,,,,,
350000,福建省,2009,26616,13105,13510,4657,2745,1912,,,,19446,9525,9921,399,193,206,274,173,101,1839,469,1371
350000,福建省,2008,26720,13250,13470,4887,2865,2022,,,,19291,9542,9750,415,199,216,240,149,92,1887,495,1392
350000,福建省,2007,26987,13309,13678,5377,3025,2352,,,,19255,9504,9751,361,166,195,208,150,58,1787,465,1321
350000,福建省,2006,26959,13349,13610,5796,3244,2552,,,,18898,9337,9562,377,180,197,243,155,88,1646,434,1211
350000,福建省,2005,381435,188037,193398,81372,46360,35012,,,,267788,130941,136846,6456,2961,3495,3103,2001,1101,22716,5773,16943
350000,福建省,2004,27488,13553,13935,6227,3427,2801,,,,18927,9328,9599,402,182,220,249,160,89,1682,456,1227
350000,福建省,2003,26935,13505,13430,5913,3486,2426,,,,18860,9322,9538,348,166,182,223,127,97,1590,403,1187
350000,福建省,2002,26930,13875,13055,6220,3837,2383,,,,18625,9344,9281,328,143,185,224,147,77,1533,404,1129
350000,福建省,2001,,,,,,,,,,,,,,,,,,,,,
350000,福建省,2000,,,,,,,,,,,,,,,,,,,,,
360000,江西省,2019,28980,14471,14509,5761,3452,2309,21218,10354,10864,,,,,,,536,316,220,1465,350,1115
360000,江西省,2018,30355,15236,15119,5878,3463,2415,22318,11046,11273,,,,,,,549,316,233,1609,411,1198
360000,江西省,2017,29919,15160,14758,5633,3370,2264,22132,11025,11107,,,,,,,473,308,165,1680,458,1223
360000,江西省,2016,30389,15452,14937,5829,3626,2203,22395,11104,11290,,,,,,,427,245,182,1739,476,1263
360000,江西省,2015,558012,279649,278362,105919,63004,42916,412865,203291,209574,,,,,,,7336,4554,2783,30573,8120,22452
360000,江西省,2014,29710,15208,14501,5854,3656,2198,,,,21219,10526,10693,502,242,260,478,304,174,1657,480,1176
360000,江西省,2013,29968,15317,14650,6640,4031,2609,,,,21070,10454,10616,347,166,181,360,232,128,1552,435,1117
360000,江西省,2012,29495,14874,14621,5680,3437,2243,,,,21518,10593,10925,436,205,231,302,188,113,1559,451,1108
360000,江西省,2011,30114,15532,14582,5875,3566,2309,,,,21855,11082,10772,445,213,233,313,192,121,1626,479,1147
360000,江西省,2010,,,,,,,,,,,,,,,,,,,,,
360000,江西省,2009,30564,15095,15469,5270,3086,2184,,,,22914,11179,11735,446,217,229,249,159,90,1686,454,1231
360000,江西省,2008,30628,15114,15515,5265,3060,2205,,,,22881,11228,11652,425,199,226,243,152,91,1815,474,1341
360000,江西省,2007,30897,15243,15655,5132,3054,2078,,,,23178,11322,11856,496,232,264,279,168,111,1812,467,1345
360000,江西省,2006,30243,14922,15321,4934,2993,1941,,,,22711,11035,11677,473,225,248,236,158,78,1889,512,1378
360000,江西省,2005,427446,209866,217579,71072,42527,28545,,,,318555,153907,164648,8445,3974,4471,2974,1906,1069,26399,7553,18846
360000,江西省,2004,32561,16367,16195,5976,3532,2444,,,,23982,11925,12056,403,201,203,266,175,90,1934,533,1401
360000,江西省,2003,32045,16118,15927,5749,3390,2359,,,,23794,11835,11959,490,247,243,282,175,107,1729,471,1258
360000,江西省,2002,31332,15668,15664,5742,3504,2238,,,,22946,11281,11665,495,237,257,243,154,89,1907,491,1415
360000,江西省,2001,,,,,,,,,,,,,,,,,,,,,
360000,江西省,2000,,,,,,,,,,,,,,,,,,,,,
370000,山东省,2019,64477,31997,32480,8632,5157,3475,50612,25063,25549,,,,,,,889,568,321,4343,1209,3134
370000,山东省,2018,67566,33435,34131,8963,5277,3686,53211,26359,26852,,,,,,,893,511,382,4498,1288,3211
370000,山东省,2017,67914,33725,34188,9779,5625,4154,53300,26425,26875,,,,,,,818,483,335,4017,1192,2825
370000,山东省,2016,69325,34752,34573,10634,6207,4426,53971,26796,27175,,,,,,,769,489,281,3950,1260,2691
370000,山东省,2015,1280426,645541,634885,216398,130405,85993,974605,483047,491558,,,,,,,13703,8514,5189,74614,23006,51609
370000,山东省,2014,68037,33953,34082,9970,5905,4065,,,,52145,25851,26294,1294,601,693,695,422,272,3933,1174,2758
370000,山东省,2013,67898,34119,33779,9948,5916,4032,,,,52436,26034,26402,990,428,562,684,440,245,3840,1301,2539
370000,山东省,2012,67769,33826,33944,10598,6121,4477,,,,51669,25722,25947,999,431,568,617,395,222,3886,1156,2730
370000,山东省,2011,69550,34507,35043,11562,6631,4932,,,,52177,25840,26337,1029,447,581,622,350,271,4161,1239,2922
370000,山东省,2010,,,,,,,,,,,,,,,,,,,,,
370000,山东省,2009,70735,35197,35538,11414,6553,4861,,,,53971,26599,27372,1037,496,541,471,350,122,3841,1199,2642
370000,山东省,2008,71724,35377,36347,11743,6493,5250,,,,54501,26776,27725,1114,509,605,519,349,170,3848,1250,2598
370000,山东省,2007,72490,35954,36535,12689,7235,5454,,,,54099,26633,27466,1208,517,691,400,258,143,4093,1312,2782
370000,山东省,2006,72821,36145,36676,13829,7951,5877,,,,53246,26097,27150,1147,484,663,446,307,139,4153,1306,2847
370000,山东省,2005,1029220,507409,521811,185411,103594,81817,,,,760077,373871,386206,19451,8284,11168,5773,3819,1954,58507,17841,40666
370000,山东省,2004,73816,36477,37339,13035,7203,5831,,,,55123,27348,27775,1279,539,740,389,236,152,3991,1151,2840
370000,山东省,2003,73300,36226,37074,13017,7245,5772,,,,54563,27033,27529,1275,546,730,374,230,144,4071,1172,2899
370000,山东省,2002,72804,36380,36423,13854,7710,6145,,,,53373,26706,26667,1063,465,598,439,256,183,4075,1244,2831
370000,山东省,2001,,,,,,,,,,,,,,,,,,,,,
370000,山东省,2000,,,,,,,,,,,,,,,,,,,,,
410000,河南省,2019,59273,29292,29981,11539,6802,4737,43410,20888,22522,,,,,,,926,546,381,3398,1057,2341
410000,河南省,2018,61918,30535,31383,11082,6468,4614,46395,22493,23902,,,,,,,878,515,363,3562,1058,2504
410000,河南省,2017,62529,31292,31237,11841,6910,4931,46251,22698,23553,,,,,,,885,540,345,3552,1145,2408
410000,河南省,2016,63480,31520,31960,12159,6931,5228,47045,22823,24221,,,,,,,769,497,272,3507,1268,2239
410000,河南省,2015,1166364,579747,586617,232766,134160,98606,854788,414685,440102,,,,,,,12871,7917,4954,65885,22952,42933
410000,河南省,2014,61575,30309,31267,12548,7124,5424,,,,44325,21150,23176,965,520,445,749,439,310,2988,1076,1912
410000,河南省,2013,61555,29957,31597,12349,7030,5319,,,,44335,20937,23397,669,318,351,781,460,322,3421,1212,2208
410000,河南省,2012,62353,30621,31733,12881,7175,5707,,,,44804,21535,23268,717,348,369,718,458,260,3233,1105,2129
410000,河南省,2011,63576,32155,31421,14498,8835,5664,,,,44354,21468,22886,687,302,384,494,298,196,3543,1251,2291
410000,河南省,2010,,,,,,,,,,,,,,,,,,,,,
410000,河南省,2009,67885,33335,34550,13033,7458,5575,,,,49751,23842,25909,814,372,442,461,323,138,3827,1341,2486
410000,河南省,2008,68058,33399,34659,13240,7373,5867,,,,50016,24205,25810,801,351,450,439,284,155,3563,1186,2377
410000,河南省,2007,68846,34050,34797,13794,7782,6012,,,,50036,24321,25714,955,448,507,423,296,128,3638,1203,2435
410000,河南省,2006,68956,33827,35129,13731,7732,5999,,,,50143,24180,25963,842,358,484,400,282,118,3839,1275,2564
410000,河南省,2005,979235,483364,495872,198308,113209,85099,,,,705908,341961,363947,14433,6183,8250,6542,4377,2165,54044,17633,36411
410000,河南省,2004,74339,37263,37076,14913,8455,6458,,,,53559,26496,27063,1121,515,606,627,407,220,4118,1390,2729
410000,河南省,2003,73564,37159,36405,14324,8288,6036,,,,53463,26659,26803,1015,426,589,593,410,183,4170,1376,2794
410000,河南省,2002,72133,35991,36142,14285,8012,6273,,,,52395,25973,26422,868,364,503,488,366,122,4096,1275,2821
410000,河南省,2001,,,,,,,,,,,,,,,,,,,,,
410000,河南省,2000,,,,,,,,,,,,,,,,,,,,,
420000,湖北省,2019,38921,19328,19593,7043,4038,3005,28709,14165,14544,,,,,,,859,459,400,2310,667,1644
420000,湖北省,2018,41053,20896,20158,8627,5343,3283,29243,14419,14824,,,,,,,796,446,350,2388,688,1700
420000,湖北省,2017,40983,20847,20136,8311,5196,3115,29421,14384,15037,,,,,,,804,488,316,2447,779,1668
420000,湖北省,2016,41739,21236,20503,7885,4886,2999,30667,15152,15516,,,,,,,785,456,329,2402,742,1659
420000,湖北省,2015,771249,388088,383161,155661,92185,63476,555563,273501,282062,,,,,,,12161,7071,5090,45455,14095,31360
420000,湖北省,2014,40330,20247,20082,7195,4422,2773,,,,29354,14313,15041,844,399,445,636,385,250,2301,728,1573
420000,湖北省,2013,40707,20446,20262,7915,4668,3248,,,,29365,14457,14908,621,295,325,551,296,255,2256,730,1526
420000,湖北省,2012,41428,20880,20548,8283,4824,3460,,,,29336,14549,14787,660,335,325,521,273,249,2627,900,1727
420000,湖北省,2011,42154,21402,20752,8005,4748,3257,,,,30297,15093,15204,674,331,344,513,299,214,2664,930,1734
420000,湖北省,2010,,,,,,,,,,,,,,,,,,,,,
420000,湖北省,2009,43505,21951,21554,7767,4715,3052,,,,31789,15584,16205,758,373,385,521,304,217,2670,974,1696
420000,湖北省,2008,44106,22058,22047,8528,4991,3536,,,,31486,15369,16116,806,394,413,482,267,214,2804,1037,1768
420000,湖北省,2007,44177,22140,22037,8611,5013,3599,,,,31242,15318,15923,898,445,453,508,308,200,2919,1057,1862
420000,湖北省,2006,44059,21943,22116,7883,4680,3202,,,,31729,15497,16232,1003,486,517,478,294,184,2967,987,1980
420000,湖北省,2005,613088,305444,307644,107940,65272,42668,,,,446127,216780,229347,15139,7081,8058,5363,3367,1996,38519,12944,25575
420000,湖北省,2004,47234,23554,23679,9939,5771,4168,,,,33609,16416,17194,563,262,301,402,239,163,2721,867,1854
420000,湖北省,2003,46673,23525,23148,9500,5715,3785,,,,33319,16297,17022,668,338,330,401,261,141,2784,914,1871
420000,湖北省,2002,45591,22902,22690,8403,5271,3132,,,,32822,15950,16873,891,429,462,293,196,97,3182,1056,2125
420000,湖北省,2001,,,,,,,,,,,,,,,,,,,,,
420000,湖北省,2000,,,,,,,,,,,,,,,,,,,,,
430000,湖南省,2019,43087,21597,21491,7691,4795,2896,31465,15347,16118,,,,,,,1097,655,442,2835,800,2035
430000,湖南省,2018,45503,22539,22964,8027,4918,3110,33575,16272,17303,,,,,,,1043,570,472,2858,779,2079
430000,湖南省,2017,46220,22980,23240,7996,4840,3156,34299,16787,17512,,,,,,,992,541,451,2934,812,2122
430000,湖南省,2016,46880,23678,23201,8152,5002,3150,34753,17226,17527,,,,,,,965,574,391,3009,876,2133
430000,湖南省,2015,861699,429028,432671,151578,87826,63752,639681,315666,324015,,,,,,,15789,9246,6543,53513,15706,37807
430000,湖南省,2014,45424,22877,22547,8205,5024,3181,,,,32647,16060,16587,969,468,501,778,493,285,2825,832,1993
430000,湖南省,2013,45131,22842,22289,8354,5028,3326,,,,32367,16064,16303,782,359,423,738,451,288,2890,940,1949
430000,湖南省,2012,45065,22876,22189,7828,4805,3023,,,,32810,16317,16493,771,359,413,652,429,223,3003,966,2038
430000,湖南省,2011,46264,23459,22805,8479,5136,3343,,,,33182,16582,16599,854,398,456,713,449,263,3037,895,2142
430000,湖南省,2010,,,,,,,,,,,,,,,,,,,,,
430000,湖南省,2009,47036,23660,23376,8404,5103,3301,,,,34264,16841,17424,742,345,397,617,391,226,3008,980,2027
430000,湖南省,2008,48037,24496,23541,8880,5569,3311,,,,34716,17163,17553,1039,510,528,495,321,175,2907,933,1974
430000,湖南省,2007,48587,24657,23930,9061,5601,3460,,,,35018,17320,17698,771,385,387,582,356,226,3154,996,2159
430000,湖南省,2006,48207,24084,24123,8628,5145,3483,,,,35001,17173,17827,919,445,474,525,326,199,3135,995,2140
430000,湖南省,2005,680670,342170,338500,136313,81936,54377,,,,477887,234618,243268,15960,7216,8744,6621,4281,2340,43888,14118,29770
430000,湖南省,2004,52986,26849,26136,10638,6312,4326,,,,37984,18867,19117,639,301,338,486,326,160,3239,1043,2196
430000,湖南省,2003,52835,27187,25647,10813,6560,4253,,,,37567,18859,18709,813,372,441,464,310,155,3177,1087,2090
430000,湖南省,2002,52114,26633,25481,10847,6640,4207,,,,36600,18116,18484,861,403,458,515,349,166,3291,1125,2166
430000,湖南省,2001,,,,,,,,,,,,,,,,,,,,,
430000,湖南省,2000,,,,,,,,,,,,,,,,,,,,,
440000,广东省,2019,75151,40566,34585,20103,12832,7272,50966,26454,24512,,,,,,,986,569,417,3095,711,2384
440000,广东省,2018,77295,41568,35726,19017,11858,7160,54072,28433,25639,,,,,,,1038,543,495,3167,735,2433
440000,广东省,2017,76450,40422,36028,19202,11386,7816,53147,27802,25345,,,,,,,1063,509,554,3038,726,2313
440000,广东省,2016,76689,40344,36345,21475,12922,8553,51226,26207,25019,,,,,,,888,438,450,3100,777,2324
440000,广东省,2015,1412318,746104,666213,380284,228961,151323,959346,494519,464827,,,,,,,14627,7631,6997,55416,13658,41758
440000,广东省,2014,73926,40022,33904,22238,14577,7661,,,,46886,23792,23093,789,431,358,734,440,295,3279,782,2497
440000,广东省,2013,73194,38115,35079,20453,12169,8284,,,,48510,24541,23969,592,317,275,547,304,244,3092,785,2307
440000,广东省,2012,73925,38665,35260,21053,12546,8507,,,,48830,24881,23950,437,231,206,557,274,283,3048,734,2314
440000,广东省,2011,74285,39321,34964,22926,13709,9217,,,,47133,24249,22884,618,348,270,488,286,202,3120,729,2391
440000,广东省,2010,,,,,,,,,,,,,,,,,,,,,
440000,广东省,2009,70246,34811,35435,20433,10994,9439,,,,45860,22510,23350,399,232,167,479,254,224,3076,821,2255
440000,广东省,2008,69879,35265,34614,19409,10916,8493,,,,46300,22986,23313,499,245,254,399,233,167,3272,884,2387
440000,广东省,2007,69264,34726,34538,19963,11078,8884,,,,45455,22379,23075,423,221,202,367,209,157,3056,837,2219
440000,广东省,2006,68166,34362,33804,19653,10955,8699,,,,44719,22201,22518,520,276,244,375,211,164,2899,720,2180
440000,广东省,2005,956604,473198,483406,287066,155264,131802,,,,611909,299796,312113,8789,4547,4242,6014,3387,2627,42826,10204,32622
440000,广东省,2004,58117,29133,28984,14856,8357,6498,,,,39146,19503,19644,425,210,215,378,245,133,3312,819,2494
440000,广东省,2003,57083,28411,28672,14018,7913,6105,,,,38930,19197,19732,491,254,238,360,222,138,3284,825,2459
440000,广东省,2002,57744,29217,28528,15052,8727,6325,,,,38611,19252,19359,458,221,237,393,222,171,3229,793,2436
440000,广东省,2001,,,,,,,,,,,,,,,,,,,,,
440000,广东省,2000,,,,,,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2019,30215,15462,14753,6571,4105,2466,21253,10590,10663,,,,,,,572,344,229,1819,423,1396
450000,广西壮族自治区,2018,31532,16285,15248,7126,4500,2627,21954,10962,10992,,,,,,,495,309,186,1957,514,1443
450000,广西壮族自治区,2017,31397,16222,15175,7284,4569,2715,21683,10839,10844,,,,,,,486,282,204,1944,532,1412
450000,广西壮族自治区,2016,31991,16441,15550,7430,4632,2798,22134,11003,11131,,,,,,,499,278,221,1928,528,1400
450000,广西壮族自治区,2015,578067,292388,285679,129709,78509,51199,402118,198464,203654,,,,,,,8513,5083,3429,36937,9920,27017
450000,广西壮族自治区,2014,30643,15728,14914,6687,4199,2487,,,,21061,10410,10651,520,272,248,477,292,185,1898,555,1343
450000,广西壮族自治区,2013,30586,15862,14724,7005,4488,2516,,,,20811,10367,10444,339,169,170,455,286,169,1976,552,1425
450000,广西壮族自治区,2012,30243,15480,14762,6917,4204,2713,,,,20703,10327,10376,374,186,188,384,231,153,1864,532,1332
450000,广西壮族自治区,2011,30969,16127,14842,7311,4730,2581,,,,20931,10422,10509,385,180,205,373,224,150,1970,573,1397
450000,广西壮族自治区,2010,,,,,,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2009,33769,17446,16324,7673,4948,2725,,,,23256,11463,11793,452,227,225,286,189,97,2103,618,1485
450000,广西壮族自治区,2008,33798,17402,16396,7308,4722,2586,,,,23665,11639,12026,467,218,250,241,162,79,2117,661,1456
450000,广西壮族自治区,2007,33925,17406,16519,7933,4965,2968,,,,23164,11447,11717,461,208,253,250,172,78,2118,614,1504
450000,广西壮族自治区,2006,33682,17338,16343,7904,5002,2902,,,,23030,11306,11724,401,176,225,229,163,66,2116,690,1426
450000,广西壮族自治区,2005,470371,238765,231606,107908,67455,40453,,,,321121,156264,164857,7024,3471,3553,3785,2442,1343,30533,9133,21400
450000,广西壮族自治区,2004,37473,19170,18302,9605,5731,3874,,,,24707,12251,12456,505,263,241,364,230,135,2291,695,1596
450000,广西壮族自治区,2003,37377,19275,18102,10001,6229,3772,,,,24185,11888,12297,454,241,213,342,218,125,2395,699,1696
450000,广西壮族自治区,2002,37014,18973,18041,9469,5798,3671,,,,24316,11991,12325,502,255,247,336,216,120,2390,713,1678
450000,广西壮族自治区,2001,,,,,,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,,,,,,,,,,,,,,
460000,海南省,2019,5917,2994,2923,1642,921,720,3899,1946,1953,,,,,,,97,59,38,280,67,212
460000,海南省,2018,6189,3107,3082,1743,931,812,4126,2081,2045,,,,,,,71,39,32,249,56,193
460000,海南省,2017,6126,3170,2956,1621,961,660,4166,2099,2067,,,,,,,68,44,24,272,66,206
460000,海南省,2016,6178,3228,2950,1645,1042,602,4159,2063,2096,,,,,,,73,46,27,301,76,225
460000,海南省,2015,113538,58818,54720,30828,19230,11599,76068,37715,38353,,,,,,,1150,654,496,5470,1208,4262
460000,海南省,2014,6035,3211,2826,1726,1103,624,,,,3885,1959,1926,75,40,35,70,43,28,279,66,213
460000,海南省,2013,6004,3113,2891,1687,1023,665,,,,3937,1963,1974,56,31,25,45,27,18,278,68,210
460000,海南省,2012,5985,3146,2839,1767,1071,695,,,,3872,1955,1917,51,28,23,46,29,17,250,63,186
460000,海南省,2011,6003,3077,2926,1740,1004,736,,,,3933,1971,1961,43,23,20,44,26,18,243,53,190
460000,海南省,2010,,,,,,,,,,,,,,,,,,,,,
460000,海南省,2009,6053,3182,2871,1636,1054,582,,,,3977,1972,2005,72,40,32,45,34,11,322,81,241
460000,海南省,2008,6015,3092,2922,1482,925,557,,,,4091,2023,2069,70,36,34,41,28,13,330,80,250
460000,海南省,2007,6053,3111,2941,1592,992,599,,,,4017,1980,2037,76,38,38,41,24,18,327,78,249
460000,海南省,2006,5987,3079,2908,1538,950,588,,,,4026,1988,2038,62,33,29,46,31,16,314,77,238
460000,海南省,2005,83637,43036,40601,21852,13323,8529,,,,55980,27723,28257,1110,585,525,556,357,199,4140,1049,3091
460000,海南省,2004,6024,3074,2951,1662,975,687,,,,3968,1971,1996,57,30,27,33,20,13,306,78,228
460000,海南省,2003,6026,3121,2905,1586,981,606,,,,4017,1995,2022,70,37,32,46,29,18,307,79,228
460000,海南省,2002,5860,3011,2849,1627,968,659,,,,3834,1911,1924,68,33,35,40,27,14,290,72,218
460000,海南省,2001,,,,,,,,,,,,,,,,,,,,,
460000,海南省,2000,,,,,,,,,,,,,,,,,,,,,
500000,重庆市,2019,20201,9989,10212,3382,2007,1375,15017,7323,7694,,,,,,,609,310,299,1192,348,844
500000,重庆市,2018,21113,10459,10654,3691,2181,1509,15641,7638,8003,,,,,,,548,284,264,1234,355,879
500000,重庆市,2017,21184,10445,10739,3421,1990,1432,15718,7678,8040,,,,,,,698,352,346,1347,426,921
500000,重庆市,2016,21611,10852,10759,3699,2205,1494,15938,7880,8059,,,,,,,620,312,309,1352,455,897
500000,重庆市,2015,395462,196313,199149,75123,42661,32462,283763,139352,144411,,,,,,,10194,5589,4605,24970,7993,16977
500000,重庆市,2014,20920,10678,10242,3903,2360,1543,,,,14635,7331,7304,555,257,298,485,285,200,1342,445,897
500000,重庆市,2013,20687,10448,10239,3849,2382,1467,,,,14357,7042,7315,489,227,262,493,269,224,1500,529,971
500000,重庆市,2012,20537,10210,10327,3552,2056,1496,,,,14670,7218,7452,470,217,253,430,253,177,1415,467,948
500000,重庆市,2011,20938,10616,10322,3715,2245,1470,,,,14919,7446,7473,476,214,261,445,239,206,1384,471,913
500000,重庆市,2010,,,,,,,,,,,,,,,,,,,,,
500000,重庆市,2009,20635,10170,10465,3402,1920,1483,,,,14810,7279,7532,531,226,304,416,240,176,1476,506,970
500000,重庆市,2008,20687,10272,10416,3173,1875,1298,,,,15099,7455,7644,504,219,285,324,195,129,1588,528,1060
500000,重庆市,2007,20957,10445,10512,3046,1808,1238,,,,15543,7675,7869,509,213,296,337,196,141,1522,553,969
500000,重庆市,2006,20946,10366,10580,3266,1910,1356,,,,15346,7515,7831,540,245,295,296,178,118,1498,518,980
500000,重庆市,2005,293816,145638,148178,43319,27417,15903,,,,215741,104593,111148,9418,3992,5426,4458,2562,1896,20880,7075,13805
500000,重庆市,2004,24176,11885,12292,3169,1959,1209,,,,18134,8833,9301,617,265,352,388,205,183,1869,623,1246
500000,重庆市,2003,24945,12503,12442,3968,2424,1543,,,,18391,9065,9326,637,285,351,413,230,183,1537,499,1038
500000,重庆市,2002,24695,12440,12255,3856,2416,1441,,,,18256,9015,9240,609,265,344,355,200,155,1618,544,1075
500000,重庆市,2001,,,,,,,,,,,,,,,,,,,,,
500000,重庆市,2000,,,,,,,,,,,,,,,,,,,,,
510000,四川省,2019,54523,26488,28035,9303,5156,4147,40072,19437,20635,,,,,,,1478,833,645,3670,1062,2608
510000,四川省,2018,57159,28048,29111,9911,5724,4187,41848,20384,21464,,,,,,,1536,850,686,3864,1090,2773
510000,四川省,2017,57749,28912,28837,10809,6514,4296,41562,20368,21194,,,,,,,1505,874,631,3874,1157,2717
510000,四川省,2016,58371,28868,29503,10583,6132,4451,42053,20548,21505,,,,,,,1589,890,699,4145,1298,2847
510000,四川省,2015,1074458,534664,539794,202254,117507,84747,776169,380537,395632,,,,,,,23438,13498,9940,70523,22035,48489
510000,四川省,2014,56286,27676,28609,10725,6155,4569,,,,38352,18763,19589,1652,729,923,1370,731,639,4187,1298,2889
510000,四川省,2013,55831,28322,27510,11340,7088,4252,,,,37941,18587,19354,1404,629,776,1282,748,534,3864,1269,2594
510000,四川省,2012,56449,29551,26898,10277,6167,4110,,,,40506,21162,19343,1123,522,601,963,554,410,3580,1146,2434
510000,四川省,2011,57636,29278,28358,9837,5615,4222,,,,41577,21215,20361,1188,541,646,977,559,418,4058,1348,2710
510000,四川省,2010,,,,,,,,,,,,,,,,,,,,,
510000,四川省,2009,59999,29753,30246,9866,5922,3944,,,,43617,21346,22271,1246,533,713,927,555,372,4343,1397,2947
510000,四川省,2008,60928,30601,30327,10530,6375,4155,,,,43602,21587,22015,1212,558,654,870,518,352,4714,1563,3151
510000,四川省,2007,60809,30125,30684,9581,5776,3804,,,,44541,21675,22866,1336,596,740,714,461,252,4637,1617,3021
510000,四川省,2006,61143,30537,30606,10002,6320,3682,,,,44255,21512,22744,1504,656,849,765,451,314,4617,1599,3018
510000,四川省,2005,849493,415877,433616,126300,77715,48585,,,,621161,298556,322606,26462,11382,15080,10247,6098,4148,65324,22127,43197
510000,四川省,2004,68253,33996,34257,10321,6083,4238,,,,51621,25475,26146,1363,632,731,889,489,400,4060,1317,2742
510000,四川省,2003,68569,34325,34244,11450,6945,4505,,,,50432,24751,25681,1495,684,811,857,502,354,4336,1442,2893
510000,四川省,2002,67689,33464,34225,10590,6426,4164,,,,50379,24424,25955,1494,702,792,850,464,386,4377,1449,2929
510000,四川省,2001,,,,,,,,,,,,,,,,,,,,,
510000,四川省,2000,,,,,,,,,,,,,,,,,,,,,
520000,贵州省,2019,21960,11202,10759,4423,2752,1671,15431,7620,7811,,,,,,,674,407,267,1432,423,1009
520000,贵州省,2018,22929,11817,11112,4886,3008,1877,15881,7944,7937,,,,,,,677,435,243,1485,430,1055
520000,贵州省,2017,23307,11905,11402,5254,3163,2091,16022,7961,8061,,,,,,,608,348,260,1422,433,990
520000,贵州省,2016,23252,11848,11404,5120,3084,2036,16077,7938,8138,,,,,,,567,339,228,1489,487,1002
520000,贵州省,2015,426708,217321,209387,93165,56375,36790,296878,146648,150230,,,,,,,9385,5719,3666,26204,7989,18215
520000,贵州省,2014,22553,11336,11217,5679,3098,2581,,,,14490,7248,7242,507,255,252,505,276,229,1372,459,913
520000,贵州省,2013,22520,11470,11050,5328,3059,2270,,,,14920,7456,7464,442,230,212,450,266,184,1379,459,920
