省份编码,省份,年份,人口数(人口抽样调查)(人),男性人口数(人口抽样调查)(人),女性人口数(人口抽样调查)(人),性别比(女=100)(人口抽样调查)(女=100)
650000,新疆维吾尔自治区,2015,367631,187526,180105,104.12
650000,新疆维吾尔自治区,2014,18969,9693,9276,104.5
650000,新疆维吾尔自治区,2013,18688,9583,9105,105.25
650000,新疆维吾尔自治区,2012,18630,9496,9134,103.97
650000,新疆维吾尔自治区,2011,18871,9679,9191,105.31
650000,新疆维吾尔自治区,2010,,,,
650000,新疆维吾尔自治区,2009,18979,9611,9367,102.61
650000,新疆维吾尔自治区,2008,19004,9649,9355,103.14
650000,新疆维吾尔自治区,2007,18872,9597,9275,103.47
650000,新疆维吾尔自治区,2006,18681,9452,9229,102.41
650000,新疆维吾尔自治区,2005,265815,134718,131097,102.76
650000,新疆维吾尔自治区,2004,18880,9605,9275,103.56
650000,新疆维吾尔自治区,2003,18834,9591,9243,103.77
650000,新疆维吾尔自治区,2002,19799,10010,9789,102.25
650000,新疆维吾尔自治区,2001,,,,
650000,新疆维吾尔自治区,2000,,,,
