省份编码,省份,年份,城区面积(平方公里),建成区面积(平方公里),城市建设用地面积(平方公里),征用土地面积(平方公里),城市人口密度(人/平方公里)
520000,贵州省,2017,3184.43,986.35,945.3,18.7,2302.0
520000,贵州省,2016,3104.81,844.56,776.85,33.82,2182.0
520000,贵州省,2015,2679.97,789.06,702.18,21.05,2396.0
520000,贵州省,2014,2643.57,723.76,635.65,16.05,2393.0
520000,贵州省,2013,1828.34,695.4,600.71,12.47,3406.0
520000,贵州省,2012,1816.64,586.06,555.53,17.07,3324.0
520000,贵州省,2011,1673.75,508.28,524.22,6.58,3502.0
520000,贵州省,2010,1658.36,463.96,477.07,5.26,3266.0
520000,贵州省,2009,1657.86,460.31,496.51,3.79,3217.0
520000,贵州省,2008,1655.86,407.42,474.38,2.15,3172.0
520000,贵州省,2007,,395.8,471.38,4.81,3094.0
520000,贵州省,2006,,404.65,465.3,1.97,3044.63559092142
520000,贵州省,2005,,371.86,446.24,7.67,906.53611535502
520000,贵州省,2004,,332.25,432.25,3.46,1080.0
520000,贵州省,2003,,,,,
520000,贵州省,2002,,,,,
520000,贵州省,2001,,,,,
520000,贵州省,2000,,,,,
530000,云南省,2019,3203.56,1217.6,,,3132.54629224987
530000,云南省,2018,3186.56,1163.97,1144.19,37.94,3021.44004820245
530000,云南省,2017,3157.4,1142.13,1087.65,51.13,3000.0
530000,云南省,2016,3127.68,1131.34,1027.24,34.65,2995.0
530000,云南省,2015,3029.44,1060.14,975.18,18.82,2943.0
530000,云南省,2014,2903.33,977.04,910.52,40.33,2853.0
530000,云南省,2013,3337.32,935.77,790.68,66.45,2415.0
530000,云南省,2012,2143.79,859.87,846.58,62.48,4029.0
530000,云南省,2011,2084.64,804.14,887.48,61.16,3811.0
530000,云南省,2010,1929.97,751.34,832.86,85.23,3795.0
530000,云南省,2009,1851.58,666.57,755.09,240.35,3561.0
530000,云南省,2008,1819.5,623.76,726.05,95.53,3386.0
530000,云南省,2007,,578.43,695.14,45.39,3322.0
530000,云南省,2006,,542.26,535.99,57.28,3080.70271614714
530000,云南省,2005,,472.37,449.96,16.24,497.225430217562
530000,云南省,2004,,428.36,402.05,20.99,373.0
530000,云南省,2003,,,,,
530000,云南省,2002,,,,,
530000,云南省,2001,,,,,
530000,云南省,2000,,,,,
540000,西藏自治区,2019,632.17,164.42,,,1670.91130550327
540000,西藏自治区,2018,632.17,163.67,152.93,5.78,1750.32032522897
540000,西藏自治区,2017,603.22,147.56,124.84,11.96,1232.0
540000,西藏自治区,2016,449.83,145.18,186.83,5.05,2624.0
540000,西藏自治区,2015,432.6,144.52,143.36,5.05,1750.0
540000,西藏自治区,2014,361.6,126.34,124.68,,1857.0
540000,西藏自治区,2013,339,120.29,111.05,,1820.0
540000,西藏自治区,2012,337,119.7,111.03,,1655.0
540000,西藏自治区,2011,948,89.68,40.2,3.1,515.0
540000,西藏自治区,2010,782,84.88,82.51,2.94,575.0
540000,西藏自治区,2009,295,81.3,79.2,,1574.0
540000,西藏自治区,2008,295,79.0,79.0,,1557.0
540000,西藏自治区,2007,,78.8,78.7,,1258.0
540000,西藏自治区,2006,,78.0,77.8,3.0,1146.34146341463
540000,西藏自治区,2005,,74.8,73.8,0.7,1256.87732342007
540000,西藏自治区,2004,,72.43,72.34,0.37,1137.0
540000,西藏自治区,2003,,,,,
540000,西藏自治区,2002,,,,,
540000,西藏自治区,2001,,,,,
540000,西藏自治区,2000,,,,,
610000,陕西省,2019,2431.31,1357.51,,,5139.61609173655
610000,陕西省,2018,2691.88,1355.51,1285.46,31.75,4450.16122561184
610000,陕西省,2017,2620.92,1287.05,1229.9,37.95,4101.0
610000,陕西省,2016,2334.76,1127.35,1096.26,44.17,4240.0
610000,陕西省,2015,2311.7,1073.36,1037.89,31.11,4031.0
610000,陕西省,2014,1610.32,967.56,946.44,22.5,5474.0
610000,陕西省,2013,1555.04,915.02,885.04,21.53,5541.0
610000,陕西省,2012,1504.44,863.51,776.18,28.68,5483.0
610000,陕西省,2011,1373.4,809.01,706.48,33.83,5821.0
610000,陕西省,2010,1430.6,758.48,704.86,41.52,5506.0
610000,陕西省,2009,1405.56,685.62,667.6,44.93,5530.0
610000,陕西省,2008,1379.2,659.74,739.63,27.47,5488.0
610000,陕西省,2007,,653.34,662.32,22.14,5938.0
610000,陕西省,2006,,628.56,653.31,8.47,6307.37620080808
610000,陕西省,2005,,561.65,580.77,13.29,2531.08981358959
610000,陕西省,2004,,541.29,585.46,24.17,2247.0
610000,陕西省,2003,,,,,
610000,陕西省,2002,,,,,
610000,陕西省,2001,,,,,
610000,陕西省,2000,,,,,
620000,甘肃省,2019,1977.76,875.72,,,3260.40571151201
620000,甘肃省,2018,1994.48,891.36,888.46,29.06,3237.33504472344
620000,甘肃省,2017,1590.66,868.71,861.12,34.84,4066.0
620000,甘肃省,2016,1580.08,870.42,805.97,37.24,4076.0
620000,甘肃省,2015,1569.92,834.39,771.42,31.9,4049.0
620000,甘肃省,2014,1554.78,779.28,756.59,39.42,3682.0
620000,甘肃省,2013,1450.12,726.66,657.79,36.26,3916.0
620000,甘肃省,2012,1292.43,681.55,642.69,52.88,4369.0
620000,甘肃省,2011,1436.55,655.63,615.37,33.62,3824.0
620000,甘肃省,2010,1426.32,632.8,594.35,23.83,3793.0
620000,甘肃省,2009,1397.72,604.44,566.67,20.08,3814.0
620000,甘肃省,2008,1391.98,581.28,534.9,13.61,3802.0
620000,甘肃省,2007,,553.09,514.92,7.18,3807.0
620000,甘肃省,2006,,523.82,505.03,10.84,3890.57414255032
620000,甘肃省,2005,,507.44,525.41,18.08,6030.86165262972
620000,甘肃省,2004,,495.48,463.62,7.51,5880.0
620000,甘肃省,2003,,,,,
620000,甘肃省,2002,,,,,
620000,甘肃省,2001,,,,,
620000,甘肃省,2000,,,,,
630000,青海省,2019,696.03,215.19,,,2958.34949642975
630000,青海省,2018,688.15,202.23,184.56,0.5,2803.8944997457
630000,青海省,2017,688.15,199.87,178.7,5.4,2777.0
630000,青海省,2016,688.15,197.41,175.97,3.31,2710.0
630000,青海省,2015,688.15,194.26,173.1,6.68,2692.0
630000,青海省,2014,635.78,165.84,156.47,4.22,2604.0
630000,青海省,2013,559.78,157.36,149.39,7.11,2924.0
630000,青海省,2012,512.28,122.11,121.98,2.89,2674.0
630000,青海省,2011,512.28,122.11,121.68,0.76,2487.0
630000,青海省,2010,512.28,113.88,113.45,,2320.0
630000,青海省,2009,512.28,112.39,111.96,0.67,2189.0
630000,青海省,2008,512.28,110.65,108.99,0.08,2051.0
630000,青海省,2007,,110.65,108.99,1.2,1962.0
630000,青海省,2006,,109.45,107.76,0.95,2112.9070039822
630000,青海省,2005,,105.92,105.08,1.28,2001.32702994111
630000,青海省,2004,,103.26,126.12,8.04,1966.0
630000,青海省,2003,,,,,
630000,青海省,2002,,,,,
630000,青海省,2001,,,,,
630000,青海省,2000,,,,,
640000,宁夏回族自治区,2019,951.5,489.05,,,3059.27482921703
640000,宁夏回族自治区,2018,2162.28,481.99,436.0,11.69,1370.54405534898
640000,宁夏回族自治区,2017,2159.18,458.12,402.58,14.39,1388.0
640000,宁夏回族自治区,2016,2119.18,441.8,384.07,9.51,1343.0
640000,宁夏回族自治区,2015,2119.18,455.05,384.45,5.95,1336.0
640000,宁夏回族自治区,2014,2110.95,441.31,376.37,2.89,1295.0
640000,宁夏回族自治区,2013,2106.16,420.69,356.65,6.79,1253.0
640000,宁夏回族自治区,2012,2103.16,399.57,332.94,10.69,1251.0
640000,宁夏回族自治区,2011,2063.49,371.29,312.95,10.47,1147.0
640000,宁夏回族自治区,2010,2049.72,343.79,284.37,8.3,1093.0
640000,宁夏回族自治区,2009,2425.74,321.11,331.57,13.17,902.0
640000,宁夏回族自治区,2008,2421.06,310.89,299.45,9.59,883.0
640000,宁夏回族自治区,2007,,292.29,206.31,12.26,840.0
640000,宁夏回族自治区,2006,,269.37,264.63,21.45,6144.58200539348
640000,宁夏回族自治区,2005,,248.94,236.91,19.59,188.515217263825
640000,宁夏回族自治区,2004,,236.37,216.53,24.91,186.0
640000,宁夏回族自治区,2003,,,,,
640000,宁夏回族自治区,2002,,,,,
640000,宁夏回族自治区,2001,,,,,
640000,宁夏回族自治区,2000,,,,,
650000,新疆维吾尔自治区,2019,2280.85,1421.62,,,3667.49238222592
650000,新疆维吾尔自治区,2018,2999.98,1312.24,1262.89,29.57,2525.2168347789
650000,新疆维吾尔自治区,2017,3093.66,1243.58,1230.78,14.96,2436.0
650000,新疆维吾尔自治区,2016,3034.88,1199.37,1187.0,23.18,2456.0
650000,新疆维吾尔自治区,2015,2835.38,1185.36,1166.74,37.69,2557.0
650000,新疆维吾尔自治区,2014,1691.75,1118.4,1110.06,19.88,4280.0
650000,新疆维吾尔自治区,2013,1620.2,1064.87,1050.52,31.77,4361.0
650000,新疆维吾尔自治区,2012,1558.54,959.64,954.07,32.41,4312.0
650000,新疆维吾尔自治区,2011,1429.73,921.82,932.95,15.68,4563.0
650000,新疆维吾尔自治区,2010,1267.62,838.21,852.35,17.65,4977.0
650000,新疆维吾尔自治区,2009,1248.93,800.36,834.19,7.83,4922.0
650000,新疆维吾尔自治区,2008,1183.18,750.96,783.4,6.66,4987.0
650000,新疆维吾尔自治区,2007,,678.67,697.92,10.18,4836.0
650000,新疆维吾尔自治区,2006,,673.87,703.73,5.63,5403.15181335135
650000,新疆维吾尔自治区,2005,,595.5,606.42,11.52,230.197079582697
650000,新疆维吾尔自治区,2004,,585.42,581.26,7.02,213.0
650000,新疆维吾尔自治区,2003,,,,,
650000,新疆维吾尔自治区,2002,,,,,
650000,新疆维吾尔自治区,2001,,,,,
650000,新疆维吾尔自治区,2000,,,,,
