省份编码,省份,年份,国有经济能源工业固定资产投资(亿元),国有经济煤炭采选业固定资产投资(亿元),国有经济石油和天然气开采业固定资产投资(亿元),国有经济电力、蒸汽、热水生产和供应业固定资产投资(亿元),国有经济石油加工及炼焦业固定资产投资(亿元),国有经济煤气生产和供应业固定资产投资(亿元)
460000,海南省,2011,32,,,32,,
460000,海南省,2010,26.9461,,,23.4818,0.8017,2.6626
460000,海南省,2009,36.7297,,,35.0213,0.2593,1.4491
460000,海南省,2008,30.2353,,,30.2353,,
460000,海南省,2007,19.8192,,,15.2096,2.8096,1.8
460000,海南省,2006,46.6216,,,8.1212,38.3004,0.2
460000,海南省,2005,70.7713,,,8.101,62.5303,0.14
460000,海南省,2004,23.997,,,10.2334,13.6153,0.1483
460000,海南省,2003,7.6502,,,7.594,,0.06
460000,海南省,2002,4.92,,,4.86,,0.06
460000,海南省,2001,10.14,,3.1,5.78,,1.26
460000,海南省,2000,13.01,,5.0,6.43,,1.58
500000,重庆市,2019,,,,,,
500000,重庆市,2018,,,,,,
500000,重庆市,2017,204,6.51,6.36,148,,43.19
500000,重庆市,2016,193.4077,5.8521,9.5106,163.0857,0.94,14.0193
500000,重庆市,2015,452,20.33,136.03,233,9.85,52.23
500000,重庆市,2014,385.2547,20.6063,113.5619,218.9921,1.5167,30.5777
500000,重庆市,2013,329.7011,27.3812,24.2949,208.1943,9.3871,60.4436
500000,重庆市,2012,265.7445,20.2647,11.839,219.4833,0.6,13.5575
500000,重庆市,2011,174,13.13,4.88,150,,6.27
500000,重庆市,2010,150.5397,14.37,6.1954,125.4303,0.028,4.516
500000,重庆市,2009,150.229,9.713,8.3118,120.5268,0.2537,11.4237
500000,重庆市,2008,126.3568,9.4637,7.126,103.1455,0.2394,6.3822
500000,重庆市,2007,136.2084,10.0903,3.1377,116.2794,0.2222,6.4788
500000,重庆市,2006,139.9228,15.6893,0.24,121.3697,0.1428,2.481
500000,重庆市,2005,73.9502,5.0634,0.2782,67.1196,0.0909,1.3981
500000,重庆市,2004,41.7253,1.6342,0.6051,37.7484,0.245,1.4926
500000,重庆市,2003,34.09,1.1927,1.1477,30.7509,0.1418,0.86
500000,重庆市,2002,32.74,1.0,0.32,29.83,0.13,1.47
500000,重庆市,2001,34.55,1.2,0.12,31.9,0.17,1.16
500000,重庆市,2000,42.89,1.08,0.09,40.85,0.15,0.72
510000,四川省,2019,,,,,,
510000,四川省,2018,,,,,,
510000,四川省,2017,729,7.33,82.2,603,2.03,33.54
510000,四川省,2016,806.3944,5.0111,50.4127,688.8462,8.3473,53.7771
510000,四川省,2015,901,25.46,86.17,744,2.54,42.7
510000,四川省,2014,918.8595,15.5462,8.8301,870.8272,1.0442,22.6118
510000,四川省,2013,744.0648,11.4524,1.896,709.1266,1.2302,20.3596
510000,四川省,2012,751.2117,15.0934,3.1612,717.0559,2.5183,13.3829
510000,四川省,2011,669,25.46,,545,62.93,36.34
510000,四川省,2010,513.4953,15.6759,7.4485,474.9953,5.4675,9.9081
510000,四川省,2009,386.2004,8.8993,11.6633,348.6794,9.155,7.8034
510000,四川省,2008,317.2824,7.0535,19.3733,275.0994,10.2157,5.5405
510000,四川省,2007,328.0598,6.5796,19.5016,294.7219,3.0653,4.1914
510000,四川省,2006,273.1087,7.6536,15.19,240.1348,0.03,10.1003
510000,四川省,2005,182.9078,6.9017,13.6511,157.5192,0.33,4.5058
510000,四川省,2004,122.7396,3.6609,12.7389,103.2245,0.7365,2.3788
510000,四川省,2003,66.5191,3.8744,5.0024,52.9863,0.7,3.96
510000,四川省,2002,89.1,2.43,6.13,77.19,0.68,2.68
510000,四川省,2001,80.25,1.89,6.28,68.1,0.37,3.6
510000,四川省,2000,94.62,2.21,6.87,82.51,0.03,3.0
520000,贵州省,2019,,,,,,
520000,贵州省,2018,,,,,,
520000,贵州省,2017,137,25.31,,107,0.1,4.67
520000,贵州省,2016,144.6943,41.4786,,98.0959,,5.1198
520000,贵州省,2015,319,47.49,,264,2.32,5.27
520000,贵州省,2014,330.7226,39.8685,,269.7497,2.6191,18.4853
520000,贵州省,2013,268.353,45.0631,,210.3811,2.7044,10.2044
520000,贵州省,2012,229.554,61.5758,,163.0167,4.4185,0.543
520000,贵州省,2011,283,56.44,0.56,218,2.38,5.61
520000,贵州省,2010,263.1067,42.5759,,218.048,1.3116,1.1712
520000,贵州省,2009,240.7122,35.9711,0.4172,202.4867,1.0574,0.7798
520000,贵州省,2008,242.099,49.9226,,191.861,,0.3154
520000,贵州省,2007,201.5745,32.1693,,167.6414,1.3615,0.4023
520000,贵州省,2006,186.9394,30.1095,0.5421,156.0847,,0.2031
520000,贵州省,2005,179.6413,21.5562,0.5216,157.0707,0.1321,0.3607
520000,贵州省,2004,169.8413,15.1916,0.4688,153.6068,0.0679,0.5062
520000,贵州省,2003,140.4097,9.7623,0.3927,129.3148,,0.94
520000,贵州省,2002,114.03,4.2,0.69,108.71,0.01,0.42
520000,贵州省,2001,94.99,3.85,0.52,90.33,0.19,0.09
520000,贵州省,2000,67.38,4.46,,62.37,0.07,0.49
530000,云南省,2019,,,,,,
530000,云南省,2018,,,,,,
530000,云南省,2017,247,8.22,,222,0.5,15.37
530000,云南省,2016,374.3859,5.5186,,351.7617,0.2264,16.8792
530000,云南省,2015,722,12.66,,621,75.02,12.72
530000,云南省,2014,544.9451,13.4027,,434.9757,92.8071,3.7596
530000,云南省,2013,535.0507,20.9444,,446.3741,57.1917,10.5405
530000,云南省,2012,453.1754,21.5264,,422.9351,2.4097,6.3042
530000,云南省,2011,358,14.33,0.17,332,8.56,3.5
530000,云南省,2010,347.8832,23.3544,0.7316,308.7176,9.2211,5.8585
530000,云南省,2009,381.5209,22.9649,0.6705,343.7663,10.203,3.9162
530000,云南省,2008,266.6756,17.9468,0.289,242.293,3.0265,3.1203
530000,云南省,2007,214.8599,10.5662,,198.2457,,6.048
530000,云南省,2006,206.8684,8.6922,,197.1769,,0.9993
530000,云南省,2005,140.5145,6.3,,130.401,0.6566,3.1569
530000,云南省,2004,85.9955,6.5954,,78.2405,0.5391,0.6205
530000,云南省,2003,55.9894,1.8825,,53.508,,0.6
530000,云南省,2002,75.3,2.53,,72.38,,0.38
530000,云南省,2001,52.6,2.02,,50.43,0.04,0.11
530000,云南省,2000,49.37,1.9,0.03,47.18,0.06,0.19
540000,西藏自治区,2019,,,,,,
540000,西藏自治区,2018,,,,,,
540000,西藏自治区,2017,205,,,205,,0.07
540000,西藏自治区,2016,125.0702,,0.2446,121.5282,0.941,2.3564
540000,西藏自治区,2015,107,,0.28,106,,1.08
540000,西藏自治区,2014,201.5483,,,152.2985,,49.2498
540000,西藏自治区,2013,144.1422,,,100.8867,,43.2555
540000,西藏自治区,2012,77.0065,0.2,,74.6178,0.2,1.9887
540000,西藏自治区,2011,49,,,48,,0.72
540000,西藏自治区,2010,44.3984,,,44.0019,,0.3965
540000,西藏自治区,2009,38.9245,,,38.11,0.0266,0.7879
540000,西藏自治区,2008,30.1511,,,29.9079,,0.2432
540000,西藏自治区,2007,17.8365,,,17.7405,,0.096
540000,西藏自治区,2006,12.7216,,0.029,12.6926,,
540000,西藏自治区,2005,15.0502,,,15.0502,,
540000,西藏自治区,2004,15.3267,,,15.2636,,0.0631
540000,西藏自治区,2003,20.6532,,,20.6532,,
540000,西藏自治区,2002,14.65,,,14.65,,
540000,西藏自治区,2001,6.58,,,6.58,,
540000,西藏自治区,2000,9.73,,,9.73,,
610000,陕西省,2019,,,,,,
610000,陕西省,2018,,,,,,
610000,陕西省,2017,797,118.33,11.67,438,171.44,58.29
610000,陕西省,2016,745.2868,112.6954,10.3341,433.9616,149.0442,39.2515
610000,陕西省,2015,1021,183.61,422.2,315,56.08,44.2
610000,陕西省,2014,1036.9371,136.0121,358.8421,350.7912,87.9438,103.3479
610000,陕西省,2013,1026.3138,211.6231,396.2086,256.3718,93.8173,68.293
610000,陕西省,2012,766.1932,216.7491,275.0149,189.0508,51.4458,33.9326
610000,陕西省,2011,717,200.54,273.57,164,53.86,25.17
610000,陕西省,2010,667.1307,146.3239,233.3751,208.4689,58.2449,20.7179
610000,陕西省,2009,579.5451,75.8417,177.3599,263.9316,50.7053,11.7066
610000,陕西省,2008,470.5337,36.5341,161.4881,216.8333,50.1759,5.5023
610000,陕西省,2007,425.4537,24.6889,172.301,196.7309,25.7092,6.0237
610000,陕西省,2006,276.0799,20.2777,126.4985,107.4475,18.1776,3.6786
610000,陕西省,2005,237.7428,12.9253,94.6925,109.9993,16.9172,3.2085
610000,陕西省,2004,183.7289,12.6132,80.4999,76.5983,11.9753,2.0422
610000,陕西省,2003,124.8796,8.3572,55.0076,50.1967,8.4902,2.83
610000,陕西省,2002,91.26,6.12,31.72,47.75,3.42,2.25
610000,陕西省,2001,83.31,2.88,29.07,46.36,1.8,3.2
610000,陕西省,2000,94.33,3.2,23.98,63.09,1.7,2.37
620000,甘肃省,2019,,,,,,
620000,甘肃省,2018,,,,,,
620000,甘肃省,2017,164,8.45,5.91,143,1.32,5.47
620000,甘肃省,2016,256.4243,16.5067,13.297,214.2178,1.3384,11.0644
620000,甘肃省,2015,401,56.22,57.3,263,6.33,17.88
620000,甘肃省,2014,463.037,66.1263,110.4943,245.8387,29.1657,11.412
620000,甘肃省,2013,532.0902,86.1328,73.1891,315.3836,38.5175,18.8672
620000,甘肃省,2012,372.6247,66.3771,74.0928,208.3658,7.2807,16.5083
620000,甘肃省,2011,384,78.32,17.65,236,40.85,11.74
620000,甘肃省,2010,416.1428,60.6314,10.8193,277.513,59.0808,8.0983
620000,甘肃省,2009,312.4582,46.1123,15.2259,187.5773,57.5805,5.9622
620000,甘肃省,2008,195.4062,10.3176,22.3532,136.4095,20.8998,5.4261
620000,甘肃省,2007,146.907,11.5626,14.229,92.4079,21.9137,6.7938
620000,甘肃省,2006,97.1455,8.9637,8.046,41.9167,36.5085,1.7106
620000,甘肃省,2005,97.1384,10.2068,5.7633,44.0578,36.3129,0.7976
620000,甘肃省,2004,79.795,9.8645,5.0881,49.7467,14.4717,0.624
620000,甘肃省,2003,67.1696,6.4468,3.1541,45.9015,10.2216,1.45
620000,甘肃省,2002,39.54,3.86,0.08,34.44,0.64,0.51
620000,甘肃省,2001,45.03,5.34,0.01,39.29,0.09,0.3
620000,甘肃省,2000,53.01,4.97,6.57,38.85,2.26,0.36
630000,青海省,2019,,,,,,
630000,青海省,2018,,,,,,
630000,青海省,2017,123,0.5,,117,0.2,5.52
630000,青海省,2016,208.6771,0.6962,,206.634,0.2,1.1469
630000,青海省,2015,344,20.21,45.009,274,0.27,3.88
630000,青海省,2014,218.4838,15.2432,47.9827,153.8654,,1.3925
630000,青海省,2013,235.3509,17.9289,60.1485,156.0503,,1.2232
630000,青海省,2012,180.1294,5.0137,38.6708,136.1022,0.1036,0.2391
630000,青海省,2011,111,4.61,0.05,104,1.0,1.46
630000,青海省,2010,56.5242,2.287,0.15,51.5913,0.3796,2.1163
630000,青海省,2009,74.855,1.1993,,73.5185,0.1372,
630000,青海省,2008,34.3009,1.2764,0.585,32.4395,,
630000,青海省,2007,31.6951,1.4271,0.915,29.2431,,0.1099
630000,青海省,2006,41.9029,0.4844,1.07,40.2516,,0.0969
630000,青海省,2005,21.3753,0.4176,4.54,16.328,,0.0897
630000,青海省,2004,35.1765,0.5315,28.2154,6.3673,,0.0623
630000,青海省,2003,29.6908,0.9395,19.0245,9.7268,,
630000,青海省,2002,18.41,0.11,4.44,13.67,,0.19
630000,青海省,2001,15.22,0.19,1.89,12.9,0.18,0.06
630000,青海省,2000,10.59,0.01,1.76,8.82,,
640000,宁夏回族自治区,2019,,,,,,
640000,宁夏回族自治区,2018,,,,,,
640000,宁夏回族自治区,2017,234,107.51,1.5,124,0.05,0.71
640000,宁夏回族自治区,2016,280.1958,12.555,2.0012,264.6797,0.065,0.8949
640000,宁夏回族自治区,2015,398,30.28,,366,1.3,0.63
640000,宁夏回族自治区,2014,285.8905,106.2269,1.3407,177.1539,,1.169
640000,宁夏回族自治区,2013,212.649,104.2531,5.1079,98.5094,2.8626,1.916
640000,宁夏回族自治区,2012,188.3458,76.6093,,110.3918,0.25,1.0947
640000,宁夏回族自治区,2011,243,75.67,,165,0.1,1.55
640000,宁夏回族自治区,2010,198.6115,77.7609,0.0472,119.8207,,0.9827
640000,宁夏回族自治区,2009,182.2491,77.8787,0.1518,103.521,,0.6976
640000,宁夏回族自治区,2008,141.1685,69.7556,,70.8423,,0.5706
640000,宁夏回族自治区,2007,104.677,58.6691,,45.6831,,0.3248
640000,宁夏回族自治区,2006,75.9286,32.4217,,43.0382,,0.4687
640000,宁夏回族自治区,2005,60.7899,32.8773,,27.2155,0.4868,0.2103
640000,宁夏回族自治区,2004,27.3635,11.6024,,14.7841,0.4676,0.5094
640000,宁夏回族自治区,2003,31.5852,4.9152,,26.151,,0.52
640000,宁夏回族自治区,2002,34.38,3.51,,30.56,,0.31
640000,宁夏回族自治区,2001,20.85,0.56,,19.93,,0.36
640000,宁夏回族自治区,2000,16.32,2.79,,13.01,0.05,0.47
650000,新疆维吾尔自治区,2019,,,,,,
650000,新疆维吾尔自治区,2018,,,,,,
650000,新疆维吾尔自治区,2017,444,18.23,15.43,373,14.9,22.11
650000,新疆维吾尔自治区,2016,672.7495,47.7163,66.6311,453.6685,85.3802,19.3534
650000,新疆维吾尔自治区,2015,1210,100.9,206.95,842,19.92,40.58
650000,新疆维吾尔自治区,2014,876.6772,74.6978,189.0855,546.4067,9.0663,57.4209
650000,新疆维吾尔自治区,2013,860.3324,84.9238,290.6711,441.1839,15.6372,27.9164
650000,新疆维吾尔自治区,2012,615.5268,59.2443,215.8038,317.6131,8.9745,13.8911
650000,新疆维吾尔自治区,2011,308,33.1,18.05,234,10.28,11.65
650000,新疆维吾尔自治区,2010,277.2555,49.7468,11.1817,178.3749,31.8555,6.0966
650000,新疆维吾尔自治区,2009,239.0593,49.3082,16.0251,156.7046,12.1958,4.8256
650000,新疆维吾尔自治区,2008,173.2568,18.6982,37.3542,107.9128,4.7193,4.5723
650000,新疆维吾尔自治区,2007,106.2385,15.28,26.1265,59.8278,2.5335,2.4707
650000,新疆维吾尔自治区,2006,89.479,15.897,40.4266,28.8617,1.6939,2.5998
650000,新疆维吾尔自治区,2005,74.0289,6.9201,21.2346,37.2683,7.1095,1.4964
650000,新疆维吾尔自治区,2004,64.814,5.5013,18.03,29.5302,9.0238,2.7298
650000,新疆维吾尔自治区,2003,61.0113,4.0429,17.6345,34.4943,1.8677,2.97
650000,新疆维吾尔自治区,2002,54.87,2.43,2.17,44.21,2.97,3.09
650000,新疆维吾尔自治区,2001,59.69,1.57,15.81,34.99,6.29,1.02
650000,新疆维吾尔自治区,2000,49.9,2.15,10.61,34.39,2.07,0.68
