省份编码,省份,年份,勘察设计机构单位数(个),勘察设计机构年底职工人数(人),勘察设计机构高级职称职工人数(人),勘察设计机构中级职称职工人数(人),勘察设计机构初级职称职工人数(人),勘察设计机构其他人员数(人)
630000,青海省,2017,154,7369,1555,1906,1555,
630000,青海省,2016,133,6756,1349,1641,1538,
630000,青海省,2015,140,6527,1368,1687,1453,
630000,青海省,2014,131,6403,1341,1615,1508,
630000,青海省,2013,126,6244,1189,1569,1571,
630000,青海省,2012,121,5901,1169,1512,1449,
630000,青海省,2011,110,6071,1067,1547,1437,2020
630000,青海省,2010,105,5882,1087,1610,1496,1689
630000,青海省,2009,101,5339,1070,1574,1419,1276
630000,青海省,2008,100,5456,1090,1645,1412,1309
630000,青海省,2007,97,4743,926,1504,1164,1149
630000,青海省,2006,94,4543,889,1500,1039,1115
630000,青海省,2005,92,4207,805,1523,939,940
630000,青海省,2004,,,,,,
630000,青海省,2003,,,,,,
630000,青海省,2002,,,,,,
630000,青海省,2001,,,,,,
630000,青海省,2000,,,,,,
640000,宁夏回族自治区,2019,123,5455,1082,1576,1265,
640000,宁夏回族自治区,2018,116,5129,1040,1431,1353,
640000,宁夏回族自治区,2017,109,5387,1092,1472,1435,
640000,宁夏回族自治区,2016,81,5021,945,1206,1302,
640000,宁夏回族自治区,2015,101,6227,1110,1420,1502,
640000,宁夏回族自治区,2014,67,5977,874,1063,1085,
640000,宁夏回族自治区,2013,91,5383,1057,1351,1488,
640000,宁夏回族自治区,2012,89,5338,1107,1336,1425,
640000,宁夏回族自治区,2011,89,5217,1079,1332,1374,1432
640000,宁夏回族自治区,2010,86,5472,1083,1292,1298,1799
640000,宁夏回族自治区,2009,92,5147,1085,1135,1282,1645
640000,宁夏回族自治区,2008,89,4573,1096,1139,1138,1200
640000,宁夏回族自治区,2007,87,4888,968,1096,1062,1762
640000,宁夏回族自治区,2006,82,3571,877,984,899,811
640000,宁夏回族自治区,2005,85,3783,1005,1109,1059,610
640000,宁夏回族自治区,2004,,,,,,
640000,宁夏回族自治区,2003,,,,,,
640000,宁夏回族自治区,2002,,,,,,
640000,宁夏回族自治区,2001,,,,,,
640000,宁夏回族自治区,2000,,,,,,
650000,新疆维吾尔自治区,2019,313,30367,5365,7898,3837,
650000,新疆维吾尔自治区,2018,308,28451,6151,7995,4356,
650000,新疆维吾尔自治区,2017,364,32297,6964,8909,4702,
650000,新疆维吾尔自治区,2016,319,24430,5821,7403,4434,
650000,新疆维吾尔自治区,2015,348,21982,5869,7558,3698,
650000,新疆维吾尔自治区,2014,330,23247,5802,7453,3926,
650000,新疆维吾尔自治区,2013,304,23050,5653,7337,4279,
650000,新疆维吾尔自治区,2012,269,19623,4868,6593,3768,
650000,新疆维吾尔自治区,2011,227,19266,4833,6031,3875,4527
650000,新疆维吾尔自治区,2010,207,18099,4678,5852,3366,4203
650000,新疆维吾尔自治区,2009,205,17740,4525,5621,3423,4171
650000,新疆维吾尔自治区,2008,243,18548,4588,5964,3909,4087
650000,新疆维吾尔自治区,2007,251,18558,4696,6332,3770,3760
650000,新疆维吾尔自治区,2006,248,17771,4528,6219,3695,3329
650000,新疆维吾尔自治区,2005,247,17681,4462,6057,3926,3236
650000,新疆维吾尔自治区,2004,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,
