省份编码,省份,年份,建设工程监理企业单位数(个),建设工程监理企业从业人数(人),建设工程监理企业高、中级职称人员数(人),建设工程监理企业注册执业人数(人),建设工程监理企业注册监理工程师(人),建设工程监理企业其他注册执业人员(人)
630000,青海省,2002,,,,,,
630000,青海省,2001,,,,,,
630000,青海省,2000,,,,,,
640000,宁夏回族自治区,2019,67,6243,2833,1520,939,
640000,宁夏回族自治区,2018,65,6718,2721,1371,860,
640000,宁夏回族自治区,2017,63,6448,2767,1467,896,
640000,宁夏回族自治区,2016,57,6407,2491,1283,808,
640000,宁夏回族自治区,2015,61,6501,2936,1254,799,
640000,宁夏回族自治区,2014,58,6533,2750,1083,735,
640000,宁夏回族自治区,2013,50,5919,,929,,
640000,宁夏回族自治区,2012,53,5492,2427,888,620,
640000,宁夏回族自治区,2011,56,5324,2309,847,603,244
640000,宁夏回族自治区,2010,52,4548,1978,724,474,250
640000,宁夏回族自治区,2009,31,2494,1117,520,388,132
640000,宁夏回族自治区,2008,48,3099,1412,576,468,108
640000,宁夏回族自治区,2007,55,3329,1624,440,392,48
640000,宁夏回族自治区,2006,58,3517,543,461,434,27
640000,宁夏回族自治区,2005,55,3078,1559,466,415,51
640000,宁夏回族自治区,2004,,,,,,
640000,宁夏回族自治区,2003,,,,,,
640000,宁夏回族自治区,2002,,,,,,
640000,宁夏回族自治区,2001,,,,,,
640000,宁夏回族自治区,2000,,,,,,
650000,新疆维吾尔自治区,2019,144,17691,9105,5052,3107,
650000,新疆维吾尔自治区,2018,130,16441,7893,4661,2917,
650000,新疆维吾尔自治区,2017,119,15917,7385,4663,2814,
650000,新疆维吾尔自治区,2016,108,14165,7181,3877,2414,
650000,新疆维吾尔自治区,2015,98,14156,7021,3416,2346,
650000,新疆维吾尔自治区,2014,99,14328,7043,2794,2065,
650000,新疆维吾尔自治区,2013,104,13721,,2606,,
650000,新疆维吾尔自治区,2012,99,12352,5869,2385,1802,
650000,新疆维吾尔自治区,2011,93,10807,5292,2223,1713,510
650000,新疆维吾尔自治区,2010,85,8985,4655,1940,1436,504
650000,新疆维吾尔自治区,2009,59,6575,3650,1882,1275,607
650000,新疆维吾尔自治区,2008,90,8234,4440,1818,1289,529
650000,新疆维吾尔自治区,2007,88,7522,4459,1584,1059,525
650000,新疆维吾尔自治区,2006,96,7352,1056,1874,1501,373
650000,新疆维吾尔自治区,2005,93,6563,3884,1709,1418,291
650000,新疆维吾尔自治区,2004,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,
